1.122044718, Sport: ,Soccer, Time: ,Wed Dec 02 21:00:00 CET 2015, Time: ,Wed Dec 02 21:00:00 CET 2015, Event: ,Uniao Madeira v Porto, Favorite: ,Porto, 48785   size:30015.23,Price: ,1.02,Uniao Madeira, 505985   size:22.8,Price: ,300.0,The Draw, 58805   size:16.56,Price: ,48.0,ok
1.121990627, Sport: ,Ice Hockey, Time: ,Thu Dec 03 17:00:00 CET 2015, Time: ,Thu Dec 03 17:00:00 CET 2015, Event: ,Lokomotiv v Severstal, Favorite: ,Lokomotiv, 2240051   size:93.99,Price: ,1.58,Severstal, 2560282   size:22.0,Price: ,5.2,Tie, 60104   size:24.99,Price: ,4.9,ok
1.122101833, Sport: ,Soccer, Time: ,Thu Dec 03 11:30:00 CET 2015, Time: ,Thu Dec 03 11:30:00 CET 2015, Event: ,Kuban Krasnodar (Y) v FK Krasnodar (Y), Favorite: ,Kuban Krasnodar (Y), 7227084   size:12.07,Price: ,1.84,FK Krasnodar (Y), 9045039   size:3.44,Price: ,3.15,The Draw, 58805   size:3.37,Price: ,3.35,x
1.122100188, Sport: ,Basketball, Time: ,Thu Dec 03 16:00:00 CET 2015, Time: ,Thu Dec 03 16:00:00 CET 2015, Event: ,Spartak MR (W) v Besiktas (W), Favorite: ,Spartak MR (W), 8978715   size:2.81,Price: ,1.03,Besiktas (W), 10466210   size:2.81,Price: ,1.03,ok
1.121999682, Sport: ,Ice Hockey, Time: ,Thu Dec 03 18:30:00 CET 2015, Time: ,Thu Dec 03 18:30:00 CET 2015, Event: ,Storhamar v Stjernen, Favorite: ,Storhamar, 71258   size:255.78,Price: ,1.31,Stjernen, 61434   size:81.8,Price: ,5.3,Tie, 60104   size:73.28,Price: ,5.8,x
1.121996723, Sport: ,Basketball, Time: ,Thu Dec 03 07:00:00 CET 2015, Time: ,Thu Dec 03 07:00:00 CET 2015, Event: ,SMU @ TCU, Favorite: ,SMU, 723285   size:114.09,Price: ,1.37,TCU, 711186   size:30.14,Price: ,2.4,ok
1.122100184, Sport: ,Basketball, Time: ,Thu Dec 03 18:00:00 CET 2015, Time: ,Thu Dec 03 18:00:00 CET 2015, Event: ,PEAC Pecs (W) v Nymburk (W), Favorite: ,PEAC Pecs (W), 8978753   size:2.81,Price: ,1.03,Nymburk (W), 10466213   size:2.81,Price: ,1.03,ok
1.122084296, Sport: ,Basketball, Time: ,Thu Dec 03 02:05:00 CET 2015, Time: ,Thu Dec 03 02:05:00 CET 2015, Event: ,Toronto @ Atlanta, Favorite: ,Atlanta, 13114   size:44.24,Price: ,1.71,Toronto, 13113   size:9.18,Price: ,2.34,x
1.122100180, Sport: ,Basketball, Time: ,Thu Dec 03 19:30:00 CET 2015, Time: ,Thu Dec 03 19:30:00 CET 2015, Event: ,Orduspor (W) v TTT Riga (W), Favorite: ,Orduspor (W), 8978711   size:2.81,Price: ,1.03,TTT Riga (W), 10388076   size:2.81,Price: ,1.03,ok
1.122101393, Sport: ,Soccer, Time: ,Thu Dec 03 11:00:00 CET 2015, Time: ,Thu Dec 03 11:00:00 CET 2015, Event: ,FC Meshakhte Tkibuli v Matchak Khelvachauri, Favorite: ,FC Meshakhte Tkibuli, 7106239   size:3.76,Price: ,1.11,Matchak Khelvachauri, 7760342   size:3.76,Price: ,1.11,The Draw, 58805   size:19.7,Price: ,3.1,x
1.122091398, Sport: ,Soccer, Time: ,Wed Dec 02 20:45:00 CET 2015, Time: ,Wed Dec 02 20:45:00 CET 2015, Event: ,Carlton Town v Barwell, Favorite: ,The Draw, 58805   size:12.55,Price: ,1.05,Carlton Town, 7550622   size:11.0,Price: ,1.19,Barwell, 4597907   size:209.1,Price: ,1.25,x
1.122093451, Sport: ,Cricket, Time: ,Thu Dec 03 04:00:00 CET 2015, Time: ,Thu Dec 03 04:00:00 CET 2015, Event: ,Bangladesh (W) v Zimbabwe (W), Favorite: ,Bangladesh (W), 7659197   size:1266.48,Price: ,1.04,Zimbabwe (W), 10534098   size:1266.48,Price: ,1.04,ok
1.122116896, Sport: ,Tennis, Time: ,Wed Dec 02 21:30:00 CET 2015, Time: ,Wed Dec 02 21:30:00 CET 2015, Event: ,Brito, Fernanda v Seguel, Daniela, Favorite: ,Daniela Seguel, 8476179   size:96.5,Price: ,1.24,Fernanda Brito, 9042246   size:6.34,Price: ,3.9,ok
1.122084501, Sport: ,Basketball, Time: ,Wed Dec 02 23:05:00 CET 2015, Time: ,Wed Dec 02 23:05:00 CET 2015, Event: ,Caxias do Sul v Paulistano, Favorite: ,Paulistano, 8876562   size:138.99,Price: ,1.18,Caxias do Sul, 10484471   size:5.99,Price: ,5.4,ok
1.122101723, Sport: ,Soccer, Time: ,Thu Dec 03 17:40:00 CET 2015, Time: ,Thu Dec 03 17:40:00 CET 2015, Event: ,Al Arabi v Kuwait SC, Favorite: ,Kuwait SC, 3013377   size:8.0,Price: ,1.6,Al Arabi, 3922362   size:8.0,Price: ,2.84,The Draw, 58805   size:16.0,Price: ,3.15,x
1.121999672, Sport: ,Ice Hockey, Time: ,Thu Dec 03 18:30:00 CET 2015, Time: ,Thu Dec 03 18:30:00 CET 2015, Event: ,Valerenga v Sparta Sarpsborg, Favorite: ,Sparta Sarpsborg, 61430   size:16.3,Price: ,2.28,Valerenga, 61435   size:16.3,Price: ,2.44,Tie, 60104   size:9.94,Price: ,3.8,x
1.121990630, Sport: ,Soccer, Time: ,Thu Dec 03 18:30:00 CET 2015, Time: ,Thu Dec 03 18:30:00 CET 2015, Event: ,Panachaiki v Panathinaikos, Favorite: ,Panathinaikos, 50334   size:2.12,Price: ,1.33,Panachaiki, 1348729   size:2.0,Price: ,9.2,The Draw, 58805   size:2.8,Price: ,4.9,ok
1.122102494, Sport: ,Soccer, Time: ,Thu Dec 03 20:00:00 CET 2015, Time: ,Thu Dec 03 20:00:00 CET 2015, Event: ,Sabadell v Elche Ilicitano, Favorite: ,Sabadell, 565026   size:3.76,Price: ,1.11,Elche Ilicitano, 10243224   size:3.76,Price: ,1.11,The Draw, 58805   size:18.29,Price: ,3.15,x
1.121992012, Sport: ,Soccer, Time: ,Thu Dec 03 18:00:00 CET 2015, Time: ,Thu Dec 03 18:00:00 CET 2015, Event: ,Carpi v Vicenza, Favorite: ,Carpi, 4893598   size:24.57,Price: ,2.22,Vicenza, 7338   size:2.75,Price: ,3.75,The Draw, 58805   size:126.21,Price: ,3.25,ok
