1.121362354, Sport: ,Basketball, Time: ,Thu Oct 22 19:04:00 CEST 2015, Time: ,Thu Oct 22 19:04:00 CEST 2015, Event: ,Boras v Jamtland, Favorite: ,Boras, 7037205   size:40.05,Price: ,1.01,Jamtland, 7037208   size:69.06,Price: ,1.03,ok
1.121263839, Sport: ,Soccer, Time: ,Fri Oct 23 02:00:00 CEST 2015, Time: ,Fri Oct 23 02:00:00 CEST 2015, Event: ,Montego Bay Utd v Arabe Unido, Favorite: ,Montego Bay Utd, 10105826   size:67.54,Price: ,2.72,Arabe Unido, 4067827   size:33.69,Price: ,2.74,The Draw, 58805   size:123.79,Price: ,3.4,x
1.121349939, Sport: ,Ice Hockey, Time: ,Fri Oct 23 04:35:00 CEST 2015, Time: ,Fri Oct 23 04:35:00 CEST 2015, Event: ,Los Angeles @ San Jose, Favorite: ,San Jose, 2110001   size:97.0,Price: ,2.6,Los Angeles, 2112286   size:13.93,Price: ,2.68,Tie, 60104   size:95.57,Price: ,4.0,x
1.121349934, Sport: ,Ice Hockey, Time: ,Fri Oct 23 04:05:00 CEST 2015, Time: ,Fri Oct 23 04:05:00 CEST 2015, Event: ,Washington @ Vancouver, Favorite: ,Vancouver, 2109691   size:102.62,Price: ,2.56,Washington, 2109756   size:102.26,Price: ,2.62,Tie, 60104   size:331.48,Price: ,4.0,x
1.121033856, Sport: ,Soccer, Time: ,Thu Oct 22 19:00:00 CEST 2015, Time: ,Thu Oct 22 19:00:00 CEST 2015, Event: ,Sporting Lisbon v Skenderbeu, Favorite: ,Sporting Lisbon, 2506293   size:0.0,Price: ,0.0,Skenderbeu, 5658051   size:85.8,Price: ,1000.0,The Draw, 58805   size:2.0,Price: ,370.0,ok
1.121372563, Sport: ,Soccer, Time: ,Fri Oct 23 00:30:00 CEST 2015, Time: ,Fri Oct 23 00:30:00 CEST 2015, Event: ,Pelotas v Lajeadense, Favorite: ,Lajeadense, 6149522   size:12.04,Price: ,1.1,Pelotas, 5258795   size:5.0,Price: ,2.48,The Draw, 58805   size:12.42,Price: ,1.29,ok
1.121396135, Sport: ,Tennis, Time: ,Fri Oct 23 04:30:00 CEST 2015, Time: ,Fri Oct 23 04:30:00 CEST 2015, Event: ,Y Wang v K Zhang, Favorite: ,Yafan Wang, 7695509   size:101.06,Price: ,1.41,Kai Lin Zhang, 8716046   size:130.03,Price: ,3.15,x
1.121034783, Sport: ,Soccer, Time: ,Thu Oct 22 21:05:00 CEST 2015, Time: ,Thu Oct 22 21:05:00 CEST 2015, Event: ,Villarreal v Dinamo Minsk, Favorite: ,Villarreal, 28191   size:22326.76,Price: ,1.22,Dinamo Minsk, 198689   size:9.0,Price: ,20.0,The Draw, 58805   size:112.54,Price: ,7.6,ok
1.121394876, Sport: ,Ice Hockey, Time: ,Thu Oct 22 19:00:00 CEST 2015, Time: ,Thu Oct 22 19:00:00 CEST 2015, Event: ,Lulea v Rogle, Favorite: ,Lulea, 337769   size:321.81,Price: ,1.02,Rogle, 247122   size:321.81,Price: ,1.02,Tie, 60104   size:321.81,Price: ,1.03,x
1.121385070, Sport: ,Tennis, Time: ,Fri Oct 23 09:00:00 CEST 2015, Time: ,Fri Oct 23 09:00:00 CEST 2015, Event: ,Menendez-Maceiras v De Greef, Favorite: ,Adrian Menendez-Maceira, 9128710   size:7.73,Price: ,1.46,Arthur De Greef, 7287672   size:10.93,Price: ,2.74,ok
1.121375718, Sport: ,Tennis, Time: ,Thu Oct 22 19:50:00 CEST 2015, Time: ,Thu Oct 22 19:50:00 CEST 2015, Event: ,Van Uytvanck v A Ivanovic, Favorite: ,Ana Ivanovic, 2249841   size:1332.0,Price: ,1.44,Alison Van Uytvanck, 5548385   size:2.19,Price: ,3.2,x
1.121033959, Sport: ,Soccer, Time: ,Thu Oct 22 21:05:00 CEST 2015, Time: ,Thu Oct 22 21:05:00 CEST 2015, Event: ,Bordeaux v Sion, Favorite: ,Bordeaux, 10501   size:6.93,Price: ,1.7,Sion, 65785   size:52.87,Price: ,6.2,The Draw, 58805   size:291.39,Price: ,3.95,x
1.121396083, Sport: ,Tennis, Time: ,Thu Oct 22 22:30:00 CEST 2015, Time: ,Thu Oct 22 22:30:00 CEST 2015, Event: ,Peer v Robillard Millette, Favorite: ,Shahar Peer, 2248472   size:2.24,Price: ,1.31,Charlotte Robillard-Mil, 9633099   size:5.83,Price: ,3.85,x
1.121396086, Sport: ,Tennis, Time: ,Thu Oct 22 19:00:00 CEST 2015, Time: ,Thu Oct 22 19:00:00 CEST 2015, Event: ,Chang v Kenin, Favorite: ,Sophie Chang, 9348383   size:2.76,Price: ,1.73,Sofia Kenin, 9149629   size:2.76,Price: ,1.87,x
1.121032911, Sport: ,Soccer, Time: ,Thu Oct 22 19:00:00 CEST 2015, Time: ,Thu Oct 22 19:00:00 CEST 2015, Event: ,AZ Alkmaar v Augsburg, Favorite: ,Augsburg, 498560   size:3198.92,Price: ,1.49,Az Alkmaar, 3631356   size:54.26,Price: ,10.0,The Draw, 58805   size:403.98,Price: ,4.2,ok
