1.122344751, Sport: ,Soccer, Time: ,Tue Dec 22 20:45:00 CET 2015, Time: ,Tue Dec 22 20:45:00 CET 2015, Event: ,Dorchester Town v Cirencester, Favorite: ,Dorchester Town, 1222693   size:4.19,Price: ,1.97,Cirencester, 1282867   size:4.26,Price: ,3.55,The Draw, 58805   size:4.68,Price: ,3.5,x
1.122371434, Sport: ,Tennis, Time: ,Wed Dec 23 10:00:00 CET 2015, Time: ,Wed Dec 23 10:00:00 CET 2015, Event: ,Barkin Yalcinkale v Gokberk Ergeneman, Favorite: ,Barkin Yalcinkale, 8827908   size:6.91,Price: ,1.08,Gokberk Ergeneman, 8826921   size:6.91,Price: ,1.08,ok
1.122371437, Sport: ,Tennis, Time: ,Wed Dec 23 10:00:00 CET 2015, Time: ,Wed Dec 23 10:00:00 CET 2015, Event: ,Vadim Alekseenko v Sarp Agabigun, Favorite: ,Vadim Alekseenko, 8619043   size:6.91,Price: ,1.08,Sarp Agabigun, 9378772   size:6.91,Price: ,1.08,ok
1.122351204, Sport: ,Soccer, Time: ,Wed Dec 23 19:30:00 CET 2015, Time: ,Wed Dec 23 19:30:00 CET 2015, Event: ,Akhisar Belediye v Karsiyaka, Favorite: ,Akhisar Belediye, 4917452   size:9.0,Price: ,1.33,Karsiyaka, 508780   size:2.0,Price: ,6.4,The Draw, 58805   size:2.55,Price: ,3.95,x
1.122355886, Sport: ,Basketball, Time: ,Wed Dec 23 15:30:00 CET 2015, Time: ,Wed Dec 23 15:30:00 CET 2015, Event: ,Kalev Cramo v Khimki, Favorite: ,Khimki, 2154546   size:2.59,Price: ,1.05,Kalev Cramo, 6007950   size:25.13,Price: ,2.06,ok
1.122353862, Sport: ,Cricket, Time: ,Wed Dec 23 04:30:00 CET 2015, Time: ,Wed Dec 23 04:30:00 CET 2015, Event: ,Jharkhand v Delhi, Favorite: ,Jharkhand, 8381514   size:2.55,Price: ,1.53,Delhi, 2696770   size:2.55,Price: ,1.53,x
1.122316035, Sport: ,Volleyball, Time: ,Wed Dec 23 17:00:00 CET 2015, Time: ,Wed Dec 23 17:00:00 CET 2015, Event: ,AO Orestiadas v Ethnikos Alexandroupoli, Favorite: ,Ao Orestiadas, 10395510   size:2.55,Price: ,1.84,Ethnikos Alexandroupoli, 5894204   size:2.55,Price: ,1.87,x
1.122356610, Sport: ,Basketball, Time: ,Wed Dec 23 19:00:00 CET 2015, Time: ,Wed Dec 23 19:00:00 CET 2015, Event: ,KK Sutjeska v Union Olimpija, Favorite: ,Union Olimpija, 266278   size:157.27,Price: ,1.43,KK Sutjeska, 9029075   size:35.97,Price: ,2.88,x
1.122316034, Sport: ,Volleyball, Time: ,Wed Dec 23 16:00:00 CET 2015, Time: ,Wed Dec 23 16:00:00 CET 2015, Event: ,Panathinaikos v Aris Marmouris, Favorite: ,Panathinaikos, 2276375   size:2.55,Price: ,1.16,Aris Marmouris, 2971576   size:18.0,Price: ,2.16,ok
1.122371270, Sport: ,Soccer, Time: ,Wed Dec 23 19:00:00 CET 2015, Time: ,Wed Dec 23 19:00:00 CET 2015, Event: ,Villarreal CF III v Club Atletico Saguntino, Favorite: ,Villarreal CF III, 6884131   size:59.26,Price: ,1.15,Club Atletico Saguntino, 7906133   size:59.26,Price: ,1.15,The Draw, 58805   size:4.05,Price: ,3.1,ok
