1.122209976, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Bradford PA v Lincoln, Favorite: ,Lincoln, 148737   size:2.75,Price: ,2.04,Bradford PA, 598919   size:2.76,Price: ,3.25,The Draw, 58805   size:3.54,Price: ,3.45,x
1.122136031, Sport: ,Soccer, Time: ,Sat Dec 12 18:00:00 CET 2015, Time: ,Sat Dec 12 18:00:00 CET 2015, Event: ,Antalyaspor v Mersin Idman Yurdu, Favorite: ,Antalyaspor, 113188   size:27.72,Price: ,2.02,Mersin Idman Yurdu, 508779   size:18.8,Price: ,3.9,The Draw, 58805   size:57.2,Price: ,3.9,ok
1.122125354, Sport: ,Soccer, Time: ,Sat Dec 12 10:30:00 CET 2015, Time: ,Sat Dec 12 10:30:00 CET 2015, Event: ,Hong Kong Rangers v Southern District, Favorite: ,Southern District, 10268893   size:7.99,Price: ,1.75,Hong Kong Rangers, 9445585   size:5.23,Price: ,2.12,The Draw, 58805   size:26.74,Price: ,3.45,x
1.122125110, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Aldershot v Eastleigh, Favorite: ,Eastleigh, 1222691   size:29.04,Price: ,2.36,Aldershot, 62504   size:7.05,Price: ,3.25,The Draw, 58805   size:4.75,Price: ,3.5,ok
1.122215043, Sport: ,Ice Hockey, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Sparta Sarpsborg v Storhamar, Favorite: ,Sparta Sarpsborg, 61430   size:16.28,Price: ,1.99,Storhamar, 71258   size:5.9,Price: ,2.78,Tie, 60104   size:18.19,Price: ,4.8,x
1.122125116, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Braintree v Bromley, Favorite: ,Braintree, 1282860   size:23.11,Price: ,1.91,Bromley, 1282856   size:7.52,Price: ,4.5,The Draw, 58805   size:3.56,Price: ,3.75,x
1.122125114, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Boreham Wood v Woking, Favorite: ,Boreham Wood, 256120   size:3.7,Price: ,2.68,Woking, 41998   size:13.67,Price: ,2.8,The Draw, 58805   size:9.29,Price: ,3.45,x
1.122216011, Sport: ,Soccer, Time: ,Sat Dec 12 18:00:00 CET 2015, Time: ,Sat Dec 12 18:00:00 CET 2015, Event: ,Leioa v Real Madrid B, Favorite: ,Real Madrid B, 6539994   size:3.09,Price: ,2.52,Leioa, 8792389   size:2.55,Price: ,2.98,The Draw, 58805   size:24.97,Price: ,3.3,x
1.122241598, Sport: ,Soccer, Time: ,Sat Dec 12 12:00:00 CET 2015, Time: ,Sat Dec 12 12:00:00 CET 2015, Event: ,Phuket FC v Trat, Favorite: ,Phuket FC, 7606492   size:10.9,Price: ,1.12,Trat, 10617409   size:10.9,Price: ,1.12,The Draw, 58805   size:3.63,Price: ,3.15,x
1.122242329, Sport: ,Soccer, Time: ,Sat Dec 12 11:30:00 CET 2015, Time: ,Sat Dec 12 11:30:00 CET 2015, Event: ,AO Acharnaikos FC U19 v Chania FC U19, Favorite: ,AO Acharnaikos FC U19, 10545377   size:10.9,Price: ,1.12,Chania FC U19, 10559654   size:10.9,Price: ,1.12,The Draw, 58805   size:3.63,Price: ,3.2,ok
1.122125230, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Coleraine v Glenavon, Favorite: ,Coleraine, 166863   size:5.0,Price: ,2.32,Glenavon, 46955   size:4.56,Price: ,3.05,The Draw, 58805   size:3.02,Price: ,3.7,x
1.122209974, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Burscough v Guiseley, Favorite: ,Guiseley, 256291   size:15.31,Price: ,1.82,Burscough, 329504   size:6.81,Price: ,3.6,The Draw, 58805   size:10.84,Price: ,3.55,x
1.122118822, Sport: ,Soccer, Time: ,Fri Dec 11 20:00:00 CET 2015, Time: ,Fri Dec 11 20:00:00 CET 2015, Event: ,CA Bastia v Strasbourg, Favorite: ,CA Bastia, 6601801   size:464.05,Price: ,1.72,Strasbourg, 51404   size:2.76,Price: ,7.0,The Draw, 58805   size:2.76,Price: ,3.35,ok
1.122233615, Sport: ,Handball, Time: ,Sat Dec 12 19:00:00 CET 2015, Time: ,Sat Dec 12 19:00:00 CET 2015, Event: ,Huesca v Teucro, Favorite: ,Huesca, 5798698   size:2.76,Price: ,1.03,Teucro, 3220971   size:2.76,Price: ,1.03,Draw, 330157   size:2.76,Price: ,1.03,ok
1.122125108, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,AFC Fylde v Skelmersdale Utd, Favorite: ,AFC Fylde, 4317866   size:2.55,Price: ,1.22,Skelmersdale Utd, 3491517   size:6.6,Price: ,7.0,The Draw, 58805   size:2.75,Price: ,5.7,x
1.122129948, Sport: ,Soccer, Time: ,Sat Dec 12 15:30:00 CET 2015, Time: ,Sat Dec 12 15:30:00 CET 2015, Event: ,Wolfsburg v Hamburg, Favorite: ,Wolfsburg, 44521   size:409.03,Price: ,1.63,Hamburg, 204703   size:325.0,Price: ,6.0,The Draw, 58805   size:802.59,Price: ,4.4,x
1.122138460, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Charlton v Leeds, Favorite: ,Leeds, 48317   size:166.2,Price: ,2.7,Charlton, 48349   size:86.57,Price: ,2.92,The Draw, 58805   size:1061.91,Price: ,3.35,x
1.122128619, Sport: ,Soccer, Time: ,Sat Dec 12 18:30:00 CET 2015, Time: ,Sat Dec 12 18:30:00 CET 2015, Event: ,Panionios v AEK, Favorite: ,AEK, 214309   size:25.3,Price: ,2.28,Panionios, 285324   size:66.0,Price: ,3.65,The Draw, 58805   size:50.95,Price: ,3.25,x
1.122125102, Sport: ,Soccer, Time: ,Sat Dec 12 15:00:00 CET 2015, Time: ,Sat Dec 12 15:00:00 CET 2015, Event: ,Pro Patria v Cremonese, Favorite: ,Cremonese, 924267   size:8.22,Price: ,1.65,Pro Patria, 501205   size:27.03,Price: ,5.5,The Draw, 58805   size:5.0,Price: ,3.5,x
1.122217252, Sport: ,Soccer, Time: ,Fri Dec 11 22:00:00 CET 2015, Time: ,Fri Dec 11 22:00:00 CET 2015, Event: ,Gremio U20 v Flamengo U20, Favorite: ,Gremio U20, 6014425   size:6.09,Price: ,2.34,Flamengo U20, 6006854   size:3.85,Price: ,2.9,The Draw, 58805   size:3.04,Price: ,3.55,ok
1.122125100, Sport: ,Soccer, Time: ,Sat Dec 12 17:30:00 CET 2015, Time: ,Sat Dec 12 17:30:00 CET 2015, Event: ,Pisa v Maceratese, Favorite: ,Pisa, 501200   size:4.15,Price: ,1.85,Maceratese, 9501961   size:4.41,Price: ,3.55,The Draw, 58805   size:6.58,Price: ,3.1,x
1.122125106, Sport: ,Soccer, Time: ,Sat Dec 12 15:00:00 CET 2015, Time: ,Sat Dec 12 15:00:00 CET 2015, Event: ,Teramo v Pistoiese, Favorite: ,Teramo, 501201   size:4.01,Price: ,2.04,Pistoiese, 60309   size:2.55,Price: ,3.6,The Draw, 58805   size:3.41,Price: ,3.15,ok
1.122126435, Sport: ,Soccer, Time: ,Sat Dec 12 15:30:00 CET 2015, Time: ,Sat Dec 12 15:30:00 CET 2015, Event: ,Levski Sofia v Litex Lovech, Favorite: ,Levski Sofia, 44823   size:2.75,Price: ,2.48,Litex Lovech, 927230   size:4.13,Price: ,3.15,The Draw, 58805   size:3.04,Price: ,3.15,x
1.122125104, Sport: ,Soccer, Time: ,Sat Dec 12 14:30:00 CET 2015, Time: ,Sat Dec 12 14:30:00 CET 2015, Event: ,Santarcangelo v Prato, Favorite: ,Santarcangelo, 6327767   size:4.41,Price: ,2.32,Prato, 522047   size:3.63,Price: ,3.05,The Draw, 58805   size:16.59,Price: ,3.1,x
1.122217018, Sport: ,Basketball, Time: ,Fri Dec 11 21:00:00 CET 2015, Time: ,Fri Dec 11 21:00:00 CET 2015, Event: ,San Pablo Inmobiliaria  v Prat Joventut, Favorite: ,San Pablo Inmobiliaria , 10370725   size:4494.05,Price: ,1.04,Prat Joventut, 8832823   size:19.8,Price: ,11.0,ok
1.122241323, Sport: ,Soccer, Time: ,Sat Dec 12 18:30:00 CET 2015, Time: ,Sat Dec 12 18:30:00 CET 2015, Event: ,FC Vilafranca v UE Sant Andreu, Favorite: ,FC Vilafranca, 9339209   size:7.78,Price: ,1.07,UE Sant Andreu, 10381924   size:7.78,Price: ,1.07,The Draw, 58805   size:16.59,Price: ,3.1,ok
