1.119900086, Sport: ,Soccer, Time: ,Wed Aug 12 14:45:00 CEST 2015, Time: ,Wed Aug 12 14:45:00 CEST 2015, Event: ,Terengganu v Perak, Favorite: ,Terengganu, 5315208   size:5.48,Price: ,1.67,The Draw, 58805   size:4.36,Price: ,3.7,Perak, 5528833   size:3.59,Price: ,4.7,ok
1.119974191, Sport: ,Tennis, Time: ,Wed Aug 12 10:30:00 CEST 2015, Time: ,Wed Aug 12 10:30:00 CEST 2015, Event: ,Rus v Zanevska, Favorite: ,Maryna Zanevska, 6390239   size:3.64,Price: ,1.69,Arantxa Rus, 2451050   size:7.91,Price: ,2.16,ok
1.119984963, Sport: ,Tennis, Time: ,Wed Aug 12 11:30:00 CEST 2015, Time: ,Wed Aug 12 11:30:00 CEST 2015, Event: ,Shinikova v Grymalska, Favorite: ,Anastasia Grymalska, 6374157   size:9.58,Price: ,1.45,Isabella Shinikova, 7283220   size:5.86,Price: ,2.78,x
1.119869400, Sport: ,Soccer, Time: ,Wed Aug 12 12:00:00 CEST 2015, Time: ,Wed Aug 12 12:00:00 CEST 2015, Event: ,Shimizu v Shonan, Favorite: ,Shonan, 4546954   size:8.85,Price: ,2.64,Shimizu, 441086   size:28.04,Price: ,2.78,The Draw, 58805   size:3.65,Price: ,3.65,ok
1.119981176, Sport: ,Tennis, Time: ,Wed Aug 12 16:00:00 CEST 2015, Time: ,Wed Aug 12 16:00:00 CEST 2015, Event: ,Donskoy v Calvin Hemery, Favorite: ,Evgeny Donskoy, 3391304   size:6.13,Price: ,1.37,Calvin Hemery , 8284525   size:4.81,Price: ,3.25,ok
1.119869126, Sport: ,Soccer, Time: ,Wed Aug 12 12:00:00 CEST 2015, Time: ,Wed Aug 12 12:00:00 CEST 2015, Event: ,Nagoya v Yokohama FM, Favorite: ,Yokohama FM, 441087   size:24.39,Price: ,2.68,Nagoya, 441084   size:14.79,Price: ,2.9,The Draw, 58805   size:182.45,Price: ,3.4,ok
1.119969692, Sport: ,Soccer, Time: ,Wed Aug 12 16:00:00 CEST 2015, Time: ,Wed Aug 12 16:00:00 CEST 2015, Event: ,FK Astrakhan v FC Krasnodar II, Favorite: ,FK Astrakhan, 7451143   size:2.32,Price: ,1.9,FC Krasnodar II, 9355530   size:3.06,Price: ,2.62,The Draw, 58805   size:2.54,Price: ,3.15,x
1.119868758, Sport: ,Soccer, Time: ,Wed Aug 12 12:00:00 CEST 2015, Time: ,Wed Aug 12 12:00:00 CEST 2015, Event: ,Hiroshima v Kashima, Favorite: ,Hiroshima, 744103   size:117.17,Price: ,2.26,Kashima, 441079   size:85.46,Price: ,3.2,The Draw, 58805   size:8.96,Price: ,3.9,x
1.119895472, Sport: ,Soccer, Time: ,Wed Aug 12 13:35:00 CEST 2015, Time: ,Wed Aug 12 13:35:00 CEST 2015, Event: ,Beijing Guoan v Shandong Luneng, Favorite: ,Beijing Guoan, 2955487   size:9.89,Price: ,2.14,Shandong Luneng, 2329275   size:5.59,Price: ,3.5,The Draw, 58805   size:30.33,Price: ,3.65,ok
1.119864594, Sport: ,Soccer, Time: ,Wed Aug 12 13:15:00 CEST 2015, Time: ,Wed Aug 12 13:15:00 CEST 2015, Event: ,Garhwal FC v Moonlight FC, Favorite: ,Moonlight FC, 10091830   size:11.83,Price: ,1.08,The Draw, 58805   size:3.61,Price: ,1.29,x
