1.121800614, Sport: ,Basketball, Time: ,Sun Nov 15 12:00:00 CET 2015, Time: ,Sun Nov 15 12:00:00 CET 2015, Event: ,Leyma Coruna v Huesca, Favorite: ,Leyma Coruna, 6719107   size:8.36,Price: ,1.04,Huesca, 5021019   size:8.36,Price: ,1.04,x
1.121741796, Sport: ,Soccer, Time: ,Sun Nov 15 12:00:00 CET 2015, Time: ,Sun Nov 15 12:00:00 CET 2015, Event: ,Sokol v SKA-Energiya, Favorite: ,Sokol, 4817761   size:11.72,Price: ,2.22,SKA-Energiya, 5441581   size:6.37,Price: ,3.7,The Draw, 58805   size:5.0,Price: ,3.25,ok
1.121835748, Sport: ,Tennis, Time: ,Sun Nov 15 10:00:00 CET 2015, Time: ,Sun Nov 15 10:00:00 CET 2015, Event: ,R Marcora v Go Oliveira, Favorite: ,Roberto Marcora, 7412952   size:680.65,Price: ,1.03,Goncalo Oliveira, 9493180   size:20.03,Price: ,1.03,ok
1.121695317, Sport: ,Soccer, Time: ,Sun Nov 15 17:30:00 CET 2015, Time: ,Sun Nov 15 17:30:00 CET 2015, Event: ,Savona v SPAL, Favorite: ,Spal, 3307906   size:5.31,Price: ,2.32,Savona, 5924211   size:5.09,Price: ,3.55,The Draw, 58805   size:4.11,Price: ,3.15,ok
1.121694107, Sport: ,Soccer, Time: ,Sun Nov 15 13:15:00 CET 2015, Time: ,Sun Nov 15 13:15:00 CET 2015, Event: ,Hartlepool v Leyton Orient, Favorite: ,Leyton Orient, 69717   size:460.76,Price: ,1.89,Hartlepool, 48303   size:396.53,Price: ,4.8,The Draw, 58805   size:697.65,Price: ,3.75,x
1.121823643, Sport: ,Soccer, Time: ,Sun Nov 15 11:30:00 CET 2015, Time: ,Sun Nov 15 11:30:00 CET 2015, Event: ,Ath Bilbao (W) v Espanyol (W), Favorite: ,Ath Bilbao (W), 6122153   size:2.74,Price: ,1.12,Espanyol (W), 5226488   size:2.76,Price: ,15.5,The Draw, 58805   size:8.59,Price: ,7.4,ok
1.121786250, Sport: ,Handball, Time: ,Sun Nov 15 17:00:00 CET 2015, Time: ,Sun Nov 15 17:00:00 CET 2015, Event: ,Alingsas v Ricoh, Favorite: ,Alingsas, 2929600   size:2.83,Price: ,1.03,Ricoh, 8836769   size:4.02,Price: ,2.0,Draw, 330157   size:2.83,Price: ,1.03,ok
1.121766409, Sport: ,Basketball, Time: ,Sun Nov 15 18:00:00 CET 2015, Time: ,Sun Nov 15 18:00:00 CET 2015, Event: ,Laboral Kutxa v Murcia, Favorite: ,Laboral Kutxa, 7735599   size:100.0,Price: ,1.27,Murcia, 2111197   size:45.66,Price: ,4.1,ok
1.121696456, Sport: ,Soccer, Time: ,Sun Nov 15 16:00:00 CET 2015, Time: ,Sun Nov 15 16:00:00 CET 2015, Event: ,San Marino U21 v Estonia U21, Favorite: ,Estonia U21, 210055   size:6.05,Price: ,1.63,San Marino U21, 210089   size:40.92,Price: ,6.8,The Draw, 58805   size:160.56,Price: ,4.1,ok
1.121698635, Sport: ,Soccer, Time: ,Sun Nov 15 15:00:00 CET 2015, Time: ,Sun Nov 15 15:00:00 CET 2015, Event: ,Como v Pescara, Favorite: ,Pescara, 201327   size:53.07,Price: ,2.62,Como, 60298   size:160.21,Price: ,3.1,The Draw, 58805   size:493.79,Price: ,3.2,ok
1.121835741, Sport: ,Soccer, Time: ,Sun Nov 15 09:30:00 CET 2015, Time: ,Sun Nov 15 09:30:00 CET 2015, Event: ,Binh Duong v Japan (Students), Favorite: ,Japan (Students), 7363895   size:5.55,Price: ,2.06,Binh Duong, 2909643   size:5.1,Price: ,2.78,The Draw, 58805   size:4.52,Price: ,3.65,x
