1.122659834, Sport: ,Ice Hockey, Time: ,Wed Jan 20 19:00:00 CET 2016, Time: ,Wed Jan 20 19:00:00 CET 2016, Event: ,Almtuna IS v Mora IK, Favorite: ,Almtuna IS, 3287892   size:2.59,Price: ,1.03,Mora IK, 764327   size:2.59,Price: ,1.03,Tie, 60104   size:2.59,Price: ,1.03
1.122652773, Sport: ,Basketball, Time: ,Wed Jan 20 19:00:00 CET 2016, Time: ,Wed Jan 20 19:00:00 CET 2016, Event: ,Boras v Telenet Ostend, Favorite: ,Boras, 7037205   size:3.49,Price: ,1.03,Telenet Ostend, 7742618   size:3.49,Price: ,1.03
1.122655787, Sport: ,Soccer, Time: ,Wed Jan 20 19:00:00 CET 2016, Time: ,Wed Jan 20 19:00:00 CET 2016, Event: ,FC Kray v Duisburg II, Favorite: ,FC Kray, 6542377   size:6.41,Price: ,1.03,Duisburg II, 6542376   size:5.71,Price: ,110.0,The Draw, 58805   size:3.41,Price: ,19.0
1.122663454, Sport: ,Basketball, Time: ,Wed Jan 20 19:00:00 CET 2016, Time: ,Wed Jan 20 19:00:00 CET 2016, Event: ,Hørsholm 79ers v Svendborg Rabbits, Favorite: ,Hoersholm, 6719077   size:3.49,Price: ,1.03,Svendborg, 6719075   size:3.49,Price: ,1.03
1.122652953, Sport: ,Ice Hockey, Time: ,Wed Jan 20 19:30:00 CET 2016, Time: ,Wed Jan 20 19:30:00 CET 2016, Event: ,Slovan Bratislava v KHL Zagreb, Favorite: ,Slovan Bratislava, 1357713   size:32.0,Price: ,1.22,KHL Zagreb, 10653700   size:2.22,Price: ,2.0,Tie, 60104   size:11.0,Price: ,3.0
1.122643116, Sport: ,Basketball, Time: ,Wed Jan 20 19:30:00 CET 2016, Time: ,Wed Jan 20 19:30:00 CET 2016, Event: ,Ratiopharm Ulm v Banvit, Favorite: ,Banvit, 2125588   size:69.0,Price: ,1.36,Ratiopharm Ulm, 2114275   size:15.0,Price: ,2.58
1.122645527, Sport: ,Volleyball, Time: ,Wed Jan 20 19:30:00 CET 2016, Time: ,Wed Jan 20 19:30:00 CET 2016, Event: ,Berlin RV v Belogorie Belgorod, Favorite: ,Berlin RV, 6047186   size:2.59,Price: ,1.03,Belogorie Belgorod, 5895694   size:2.59,Price: ,1.03
1.122645563, Sport: ,Volleyball, Time: ,Wed Jan 20 19:30:00 CET 2016, Time: ,Wed Jan 20 19:30:00 CET 2016, Event: ,United Volleys Rhein-Ma v Coburg/Grub, Favorite: ,United Volleys Rhein-Ma, 10322047   size:1334.97,Price: ,1.08,Coburg/Grub, 10410539   size:26.69,Price: ,5.0
1.122643030, Sport: ,Basketball, Time: ,Wed Jan 20 20:00:00 CET 2016, Time: ,Wed Jan 20 20:00:00 CET 2016, Event: ,Ludwigsburg v Venezia, Favorite: ,Ludwigsburg, 689542   size:127.46,Price: ,1.5,Venezia, 5878119   size:41.06,Price: ,2.7
1.122579633, Sport: ,Soccer, Time: ,Wed Jan 20 20:45:00 CET 2016, Time: ,Wed Jan 20 20:45:00 CET 2016, Event: ,Sassuolo v Torino, Favorite: ,Sassuolo, 2013140   size:525.35,Price: ,2.52,Torino, 44503   size:2738.1,Price: ,3.3,The Draw, 58805   size:5645.21,Price: ,3.25
1.122579404, Sport: ,Soccer, Time: ,Wed Jan 20 20:45:00 CET 2016, Time: ,Wed Jan 20 20:45:00 CET 2016, Event: ,East Kilbride v Lothian Thistle HV, Favorite: ,East Kilbride, 8831169   size:148.52,Price: ,1.52,Lothian Thistle HV, 10317902   size:3.48,Price: ,7.0,The Draw, 58805   size:36.83,Price: ,4.9
1.122557689, Sport: ,Soccer, Time: ,Wed Jan 20 21:00:00 CET 2016, Time: ,Wed Jan 20 21:00:00 CET 2016, Event: ,Liverpool v Exeter, Favorite: ,Liverpool, 56323   size:5413.73,Price: ,1.29,Exeter, 66243   size:705.52,Price: ,13.5,The Draw, 58805   size:1144.94,Price: ,6.4
1.122579330, Sport: ,Soccer, Time: ,Wed Jan 20 21:00:00 CET 2016, Time: ,Wed Jan 20 21:00:00 CET 2016, Event: ,Rio Ave v Belenenses, Favorite: ,Rio Ave, 495321   size:6.63,Price: ,1.87,Belenenses, 48786   size:117.51,Price: ,4.7,The Draw, 58805   size:83.54,Price: ,3.7
1.122655491, Sport: ,Soccer, Time: ,Thu Jan 21 00:45:00 CET 2016, Time: ,Thu Jan 21 00:45:00 CET 2016, Event: ,Corinthians v Shakhtar, Favorite: ,Shakhtar, 477822   size:222.7,Price: ,2.22,Corinthians, 198136   size:8.7,Price: ,3.45,The Draw, 58805   size:21.61,Price: ,3.55
1.122614320, Sport: ,Ice Hockey, Time: ,Thu Jan 21 02:05:00 CET 2016, Time: ,Thu Jan 21 02:05:00 CET 2016, Event: ,St Louis @ Detroit, Favorite: ,Detroit, 975676   size:330.0,Price: ,2.54,St Louis, 2110000   size:7.3,Price: ,2.68,Tie, 60104   size:90.0,Price: ,3.95
