1.121717843, Sport: ,Tennis, Time: ,Tue Nov 10 14:30:00 CET 2015, Time: ,Tue Nov 10 14:30:00 CET 2015, Event: ,Grigelis v Giannessi, Favorite: ,Laurynas Grigelis, 5707016   size:3.93,Price: ,1.65,Alessandro Giannessi, 5829494   size:11.03,Price: ,2.42,x
1.121716975, Sport: ,Tennis, Time: ,Tue Nov 10 19:30:00 CET 2015, Time: ,Tue Nov 10 19:30:00 CET 2015, Event: ,Ignatik v Molcan, Favorite: ,Uladzimir Ignatik, 3259323   size:6.03,Price: ,1.11,Alex Molcan, 8960879   size:4.59,Price: ,7.0,ok
1.121679663, Sport: ,Volleyball, Time: ,Tue Nov 10 17:00:00 CET 2015, Time: ,Tue Nov 10 17:00:00 CET 2015, Event: ,Agel Prostejov v Eczacibasi Vitra, Favorite: ,Eczac?basi VitrA, 9039117   size:2.55,Price: ,1.07,Agel Prostejov, 6766227   size:6.03,Price: ,1.68,ok
1.121641968, Sport: ,Ice Hockey, Time: ,Tue Nov 10 19:00:00 CET 2015, Time: ,Tue Nov 10 19:00:00 CET 2015, Event: ,Aalborg v Herlev, Favorite: ,Aalborg, 70634   size:140.35,Price: ,1.73,Herlev, 227439   size:22.87,Price: ,3.75,Tie, 60104   size:17.66,Price: ,5.2,ok
1.121641965, Sport: ,Ice Hockey, Time: ,Tue Nov 10 19:00:00 CET 2015, Time: ,Tue Nov 10 19:00:00 CET 2015, Event: ,Rodovre v Esbjerg, Favorite: ,Rodovre, 70628   size:2.23,Price: ,2.24,Esbjerg, 70633   size:2.08,Price: ,2.4,Tie, 60104   size:6.09,Price: ,4.5,ok
1.121733244, Sport: ,Tennis, Time: ,Tue Nov 10 08:30:00 CET 2015, Time: ,Tue Nov 10 08:30:00 CET 2015, Event: ,Dinu v Ivakhnenko, Favorite: ,Valentyna Ivakhnenko, 6498928   size:27.1,Price: ,1.72,Cristina Dinu, 7216240   size:13.93,Price: ,2.0,ok
1.121679669, Sport: ,Volleyball, Time: ,Tue Nov 10 20:00:00 CET 2015, Time: ,Tue Nov 10 20:00:00 CET 2015, Event: ,Racing Club de Cannes v Volero Zurich, Favorite: ,Volero Zurich, 2204305   size:27.14,Price: ,1.05,Racing Club de Cannes, 3579477   size:6.03,Price: ,1,ok
1.121733243, Sport: ,Tennis, Time: ,Tue Nov 10 09:30:00 CET 2015, Time: ,Tue Nov 10 09:30:00 CET 2015, Event: ,Nikolopoulou v Kennel, Favorite: ,Karin Kennel, 9246669   size:13.2,Price: ,1.1,Natalia Nikolopoulou, 9634113   size:5.68,Price: ,8.4,ok
1.121679666, Sport: ,Volleyball, Time: ,Tue Nov 10 18:00:00 CET 2015, Time: ,Tue Nov 10 18:00:00 CET 2015, Event: ,Atom Trefl Sopot v Vakifbank Istanbul, Favorite: ,Vakifbank Istanbul, 3579478   size:2.55,Price: ,1.1,ATOM Trefl Sopot, 5212059   size:2.55,Price: ,1.82,ok
1.121717847, Sport: ,Tennis, Time: ,Tue Nov 10 18:00:00 CET 2015, Time: ,Tue Nov 10 18:00:00 CET 2015, Event: ,Vanni v Hernych, Favorite: ,Luca Vanni, 8681900   size:14.9,Price: ,1.46,Jan Hernych, 2249394   size:28.42,Price: ,2.92,ok
1.121720014, Sport: ,Tennis, Time: ,Tue Nov 10 15:00:00 CET 2015, Time: ,Tue Nov 10 15:00:00 CET 2015, Event: ,Ghem v Edmund, Favorite: ,Andre Ghem, 5304700   size:12.86,Price: ,1.77,Kyle Edmund, 5626817   size:5.0,Price: ,2.06,x
1.121716995, Sport: ,Tennis, Time: ,Tue Nov 10 14:00:00 CET 2015, Time: ,Tue Nov 10 14:00:00 CET 2015, Event: ,Rosol v Brands, Favorite: ,Lukas Rosol, 2258415   size:79.4,Price: ,1.61,Daniel Brands, 2395076   size:3.16,Price: ,2.3,ok
1.121717006, Sport: ,Tennis, Time: ,Tue Nov 10 17:45:00 CET 2015, Time: ,Tue Nov 10 17:45:00 CET 2015, Event: ,Karatsev v Gombos, Favorite: ,Norbert Gombos, 8173023   size:16.45,Price: ,1.58,Aslan Karatsev, 7659748   size:2.55,Price: ,2.36,ok
