1.122067022, Sport: ,Soccer, Time: ,Sun Nov 29 22:30:00 CET 2015, Time: ,Sun Nov 29 22:30:00 CET 2015, Event: ,Santos de Guapiles v Herediano, Favorite: ,Herediano, 4067826   size:2.02,Price: ,2.4,Santos de Guapiles, 10135629   size:27.27,Price: ,3.0,The Draw, 58805   size:8.5,Price: ,3.5,ok
1.122073607, Sport: ,Soccer, Time: ,Mon Nov 30 12:00:00 CET 2015, Time: ,Mon Nov 30 12:00:00 CET 2015, Event: ,Pyunik Yerevan FC II v Alashkert FC II, Favorite: ,Pyunik Yerevan FC II, 7453415   size:11.32,Price: ,1.1,Alashkert FC II, 7444729   size:11.32,Price: ,1.1,The Draw, 58805   size:14.19,Price: ,3.1,x
1.121998479, Sport: ,Basketball, Time: ,Sun Nov 29 18:15:00 CET 2015, Time: ,Sun Nov 29 18:15:00 CET 2015, Event: ,Venezia v Juve Caserta, Favorite: ,Venezia, 5878119   size:520.9,Price: ,1.16,Juve Caserta, 6697870   size:3.57,Price: ,6.0,ok
1.121999435, Sport: ,Ice Hockey, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Manglerud v Stavanger, Favorite: ,Manglerud, 61084   size:2.83,Price: ,1.03,Stavanger, 518241   size:2.83,Price: ,1.03,Tie, 60104   size:2.83,Price: ,1.03,x
1.121998234, Sport: ,Basketball, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,Bayern Munchen v Crailsheim, Favorite: ,Bayern Munchen, 5859175   size:0.0,Price: ,0.0,Crailsheim, 8782588   size:3.77,Price: ,8.0,ok
1.121967393, Sport: ,Handball, Time: ,Sun Nov 29 17:15:00 CET 2015, Time: ,Sun Nov 29 17:15:00 CET 2015, Event: ,Frisch Auf Goppingen v Flensburg Handewitt, Favorite: ,Frisch auf Goppingen, 4229980   size:2.83,Price: ,1.03,Flensburg Handewitt, 4506561   size:2.83,Price: ,1.03,Draw, 330157   size:2.83,Price: ,1.03,x
1.122072886, Sport: ,Soccer, Time: ,Mon Nov 30 12:00:00 CET 2015, Time: ,Mon Nov 30 12:00:00 CET 2015, Event: ,FC Banants Yerevan II v MIKA FC II, Favorite: ,FC Banants Yerevan II, 7167663   size:11.32,Price: ,1.1,MIKA FC II, 10506583   size:11.32,Price: ,1.1,The Draw, 58805   size:14.19,Price: ,3.1,ok
1.121971447, Sport: ,Soccer, Time: ,Sun Nov 29 20:00:00 CET 2015, Time: ,Sun Nov 29 20:00:00 CET 2015, Event: ,Univ Catolica (Chile) v San Luis (Chile), Favorite: ,Univ Catolica (Chile), 7029037   size:41.95,Price: ,1.39,San Luis (Chile), 5129872   size:5.66,Price: ,8.6,The Draw, 58805   size:19.42,Price: ,5.5,ok
1.121934932, Sport: ,Soccer, Time: ,Sun Nov 29 20:00:00 CET 2015, Time: ,Sun Nov 29 20:00:00 CET 2015, Event: ,Vasco da Gama v Santos, Favorite: ,Vasco da Gama, 784535   size:1378.33,Price: ,1.64,Santos, 198127   size:67.94,Price: ,6.4,The Draw, 58805   size:145.37,Price: ,4.2,ok
1.122066608, Sport: ,Soccer, Time: ,Sun Nov 29 21:00:00 CET 2015, Time: ,Sun Nov 29 21:00:00 CET 2015, Event: ,Policia del Tachira FC v Deportivo Tachira FC II, Favorite: ,Policia del Tachira FC, 10424513   size:11.32,Price: ,1.1,Deportivo Tachira FC II, 10424533   size:11.32,Price: ,1.1,The Draw, 58805   size:5.0,Price: ,3.15,ok
