1.121092255, Sport: ,Tennis, Time: ,Wed Oct 07 20:00:00 CEST 2015, Time: ,Wed Oct 07 20:00:00 CEST 2015, Event: ,Halbauer v Fichman, Favorite: ,Sharon Fichman, 3218660   size:8.29,Price: ,1.32,Ellie Halbauer, 8427199   size:49.54,Price: ,3.75,ok
1.121002938, Sport: ,Ice Hockey, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Tingsryd v Karlskoga, Favorite: ,Tingsryd, 5877522   size:8.17,Price: ,1.01,Karlskoga, 6267380   size:8.17,Price: ,1.01,Tie, 60104   size:8.17,Price: ,1.01,ok
1.121092258, Sport: ,Tennis, Time: ,Wed Oct 07 22:30:00 CEST 2015, Time: ,Wed Oct 07 22:30:00 CEST 2015, Event: ,Peer v Jaksic, Favorite: ,Shahar Peer, 2248472   size:9.33,Price: ,1.51,Jovana Jaksic, 7168389   size:8.69,Price: ,2.64,x
1.121092257, Sport: ,Tennis, Time: ,Wed Oct 07 21:00:00 CEST 2015, Time: ,Wed Oct 07 21:00:00 CEST 2015, Event: ,Goncalves v Oudin, Favorite: ,Melanie Oudin, 2895433   size:122.8,Price: ,1.55,Paula Cristina Goncalves, 7083750   size:8.43,Price: ,2.64,ok
1.121106966, Sport: ,Tennis, Time: ,Thu Oct 08 01:30:00 CEST 2015, Time: ,Thu Oct 08 01:30:00 CEST 2015, Event: ,Ahn v Sofia Sanchez, Favorite: ,Kristie Ahn, 7445679   size:6.31,Price: ,1.33,Ana Sofia Sanchez, 7082838   size:10.36,Price: ,3.45,ok
1.121062881, Sport: ,Basketball, Time: ,Wed Oct 07 18:30:00 CEST 2015, Time: ,Wed Oct 07 18:30:00 CEST 2015, Event: ,Nymburk v Lokomotiv Kuban, Favorite: ,Lokomotiv Kuban, 5508059   size:3.55,Price: ,1.1,Nymburk, 2586030   size:9.66,Price: ,5.6,x
1.120991514, Sport: ,Soccer, Time: ,Thu Oct 08 02:00:00 CEST 2015, Time: ,Thu Oct 08 02:00:00 CEST 2015, Event: ,SD Panama Oeste v Alianza FC (Panama), Favorite: ,SD Panama Oeste, 8331564   size:10.67,Price: ,1.1,Alianza FC (Panama), 8216009   size:10.67,Price: ,1.1,The Draw, 58805   size:4.44,Price: ,1.29,x
1.121062916, Sport: ,Basketball, Time: ,Wed Oct 07 20:00:00 CEST 2015, Time: ,Wed Oct 07 20:00:00 CEST 2015, Event: ,Bremerhaven v Ratiopharm Ulm, Favorite: ,Ratiopharm Ulm, 2114275   size:3.14,Price: ,1.59,Bremerhaven, 1315479   size:77.81,Price: ,2.52,ok
1.121107012, Sport: ,Tennis, Time: ,Wed Oct 07 21:00:00 CEST 2015, Time: ,Wed Oct 07 21:00:00 CEST 2015, Event: ,P Lorenzi v Juan  Galarza, Favorite: ,Paolo Lorenzi, 2345099   size:368.02,Price: ,1.07,Juan Ignacio Galarza, 8979626   size:5.27,Price: ,11.5,ok
1.121092260, Sport: ,Tennis, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Lao v Vrljic, Favorite: ,Danielle Lao, 8826936   size:347.7,Price: ,1.31,Ana Vrljic, 2548767   size:3.55,Price: ,1.92,ok
1.121062911, Sport: ,Basketball, Time: ,Wed Oct 07 20:00:00 CEST 2015, Time: ,Wed Oct 07 20:00:00 CEST 2015, Event: ,Bonn v Mitteldeutscher, Favorite: ,Bonn, 2293349   size:3.78,Price: ,1.25,Mitteldeutscher, 4228382   size:35.04,Price: ,4.4,ok
1.121002943, Sport: ,Ice Hockey, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Mora v Leksand, Favorite: ,Mora, 247115   size:8.17,Price: ,1.01,Leksand, 2358271   size:8.17,Price: ,1.01,Tie, 60104   size:8.17,Price: ,1.01,ok
1.121062890, Sport: ,Basketball, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Zenit St Petersburg v Krasny Oktyabr, Favorite: ,Zenit St Petersburg, 8889521   size:3.55,Price: ,1.3,Krasny Oktyabr, 7774804   size:10.0,Price: ,3.3,ok
1.121092988, Sport: ,Basketball, Time: ,Wed Oct 07 18:30:00 CEST 2015, Time: ,Wed Oct 07 18:30:00 CEST 2015, Event: ,Pinar Karsiyaka v Anadolu Efes, Favorite: ,Anadolu Efes, 5832279   size:889.59,Price: ,1.05,Pinar Karsiyaka, 631283   size:13.47,Price: ,4.3,ok
1.121091813, Sport: ,Basketball, Time: ,Thu Oct 08 02:00:00 CEST 2015, Time: ,Thu Oct 08 02:00:00 CEST 2015, Event: ,Lanus v Argentino, Favorite: ,Lanus, 6719117   size:8.29,Price: ,1.03,Argentino, 6719106   size:8.29,Price: ,1.03,ok
1.121020215, Sport: ,Handball, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Lugi v Ystads, Favorite: ,Lugi, 2930210   size:2.72,Price: ,1.01,Ystads, 2929922   size:2.72,Price: ,1.01,Draw, 330157   size:2.72,Price: ,1.01,x
1.121091815, Sport: ,Basketball, Time: ,Thu Oct 08 02:00:00 CEST 2015, Time: ,Thu Oct 08 02:00:00 CEST 2015, Event: ,Quimsa v Estudiantes (C), Favorite: ,Quimsa, 6243645   size:567.75,Price: ,1.12,Estudiantes (C), 7753473   size:337.24,Price: ,1.13,ok
1.120989587, Sport: ,Soccer, Time: ,Wed Oct 07 20:45:00 CEST 2015, Time: ,Wed Oct 07 20:45:00 CEST 2015, Event: ,Stevenage v Dag and Red, Favorite: ,Stevenage, 49204   size:35.48,Price: ,2.26,Dag and Red, 66244   size:53.81,Price: ,3.55,The Draw, 58805   size:1253.86,Price: ,3.55,x
1.121062899, Sport: ,Basketball, Time: ,Wed Oct 07 20:00:00 CEST 2015, Time: ,Wed Oct 07 20:00:00 CEST 2015, Event: ,Brose Baskets v Crailsheim, Favorite: ,Brose Baskets, 2158509   size:270.69,Price: ,1.02,Crailsheim, 8782588   size:12.44,Price: ,23.0,ok
1.121062927, Sport: ,Basketball, Time: ,Wed Oct 07 20:00:00 CEST 2015, Time: ,Wed Oct 07 20:00:00 CEST 2015, Event: ,Ludwigsburg v Tubingen, Favorite: ,Ludwigsburg, 689542   size:6.33,Price: ,1.27,Tubingen, 1371897   size:2.55,Price: ,4.2,ok
1.121062922, Sport: ,Basketball, Time: ,Wed Oct 07 20:00:00 CEST 2015, Time: ,Wed Oct 07 20:00:00 CEST 2015, Event: ,Gottingen v Alba Berlin, Favorite: ,Alba Berlin, 266284   size:11.39,Price: ,1.1,Gottingen, 2566190   size:5.93,Price: ,10.0,ok
1.121107082, Sport: ,Tennis, Time: ,Wed Oct 07 19:13:00 CEST 2015, Time: ,Wed Oct 07 19:13:00 CEST 2015, Event: ,Samper-Montana v Baughman, Favorite: ,Jordi Samper-Montana, 8258998   size:283.8,Price: ,1.84,Deiton Baughman, 7137489   size:175.63,Price: ,2.18,ok
1.121072069, Sport: ,Tennis, Time: ,Wed Oct 07 22:30:00 CEST 2015, Time: ,Wed Oct 07 22:30:00 CEST 2015, Event: ,Luz/Zormann v Coppejans/De Loore, Favorite: ,Luz/Zormann, 10302601   size:10.28,Price: ,1.47,Coppejans/De Loore, 10384278   size:2.2,Price: ,2.82,x
1.120992500, Sport: ,Soccer, Time: ,Thu Oct 08 01:30:00 CEST 2015, Time: ,Thu Oct 08 01:30:00 CEST 2015, Event: ,New York Red Bulls v Montreal Impact, Favorite: ,New York Red Bulls, 2362970   size:75.14,Price: ,1.6,Montreal Impact, 3382205   size:12.5,Price: ,6.4,The Draw, 58805   size:126.42,Price: ,4.5,ok
1.121062942, Sport: ,Basketball, Time: ,Wed Oct 07 20:00:00 CEST 2015, Time: ,Wed Oct 07 20:00:00 CEST 2015, Event: ,sOliver Wurzburg v Giessen, Favorite: ,sOliver Wurzburg, 10371127   size:261.0,Price: ,1.19,Giessen, 2114278   size:2.55,Price: ,5.2,ok
1.121020222, Sport: ,Handball, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Ricoh v Alingsas, Favorite: ,Ricoh, 8836769   size:2.72,Price: ,1.01,Alingsas, 2929600   size:2.72,Price: ,1.01,Draw, 330157   size:2.88,Price: ,1.01,x
1.121107471, Sport: ,Handball, Time: ,Wed Oct 07 20:45:00 CEST 2015, Time: ,Wed Oct 07 20:45:00 CEST 2015, Event: ,Spain (W) v Austria (W), Favorite: ,Spain (W), 6257933   size:2.72,Price: ,1.01,Austria (W), 6257659   size:77.09,Price: ,22.0,Draw, 330157   size:70.37,Price: ,24.0,ok
1.121107110, Sport: ,Tennis, Time: ,Wed Oct 07 21:00:00 CEST 2015, Time: ,Wed Oct 07 21:00:00 CEST 2015, Event: ,Monteiro/Sakamoto v Podlipnik-Cast/Zampieri, Favorite: ,Podlipnik-Cast/Zampieri, 10343942   size:100.24,Price: ,1.28,Monteiro/Sakamoto, 10302603   size:8.56,Price: ,3.5,ok
1.121062938, Sport: ,Basketball, Time: ,Wed Oct 07 20:00:00 CEST 2015, Time: ,Wed Oct 07 20:00:00 CEST 2015, Event: ,Phoenix Hagen v Bayern Munchen, Favorite: ,Bayern Munchen, 5859175   size:5.49,Price: ,1.06,Phoenix Hagen, 4228376   size:19.26,Price: ,15.0,ok
1.121088193, Sport: ,Soccer, Time: ,Wed Oct 07 20:00:00 CEST 2015, Time: ,Wed Oct 07 20:00:00 CEST 2015, Event: ,Almagro BA (Res) v CA Fenix (Res), Favorite: ,Almagro BA (Res), 10197580   size:58.81,Price: ,1.6,CA Fenix (Res), 10197601   size:44.58,Price: ,1.93,The Draw, 58805   size:6.26,Price: ,3.05,x
1.121002805, Sport: ,Ice Hockey, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Vasteras v Asploven, Favorite: ,Vasteras, 316429   size:8.17,Price: ,1.01,Asploven, 3746027   size:8.17,Price: ,1.01,Tie, 60104   size:8.17,Price: ,1.01,ok
1.121092244, Sport: ,Tennis, Time: ,Wed Oct 07 20:45:00 CEST 2015, Time: ,Wed Oct 07 20:45:00 CEST 2015, Event: ,Lama v Varillas Patino-Samudio, Favorite: ,Gonzalo Lama, 7032057   size:7.08,Price: ,1.27,Juan Pablo Varillas Pat, 9001387   size:8.04,Price: ,4.4,ok
1.121092205, Sport: ,Darts, Time: ,Wed Oct 07 20:30:00 CEST 2015, Time: ,Wed Oct 07 20:30:00 CEST 2015, Event: ,Mensur Suljovic v Simon Whitlock, Favorite: ,Simon Whitlock, 2658195   size:15.05,Price: ,1.82,Mensur Suljovic, 2693783   size:446.0,Price: ,2.18,x
1.121063006, Sport: ,Basketball, Time: ,Thu Oct 08 04:00:00 CEST 2015, Time: ,Thu Oct 08 04:00:00 CEST 2015, Event: ,Sacramento @ Phoenix, Favorite: ,Sacramento, 13127   size:2.55,Price: ,1.19,Phoenix, 13128   size:2.55,Price: ,1.23,x
1.121104877, Sport: ,Soccer, Time: ,Thu Oct 08 02:00:00 CEST 2015, Time: ,Thu Oct 08 02:00:00 CEST 2015, Event: ,Atletico Halcon Junior v Atletico Limeno, Favorite: ,Atletico Halcon Junior, 10389575   size:10.67,Price: ,1.1,Atletico Limeno, 10389577   size:10.67,Price: ,1.1,The Draw, 58805   size:4.44,Price: ,1.29,x
1.120991569, Sport: ,Soccer, Time: ,Thu Oct 08 01:30:00 CEST 2015, Time: ,Thu Oct 08 01:30:00 CEST 2015, Event: ,Atlanta Silverbacks v New York Cosmos, Favorite: ,Atlanta Silverbacks, 5744831   size:12.16,Price: ,2.28,New York Cosmos, 5714685   size:12.8,Price: ,3.1,The Draw, 58805   size:7.52,Price: ,3.45,x
1.121008318, Sport: ,Handball, Time: ,Wed Oct 07 20:15:00 CEST 2015, Time: ,Wed Oct 07 20:15:00 CEST 2015, Event: ,Stuttgart v Frisch Auf Goppingen, Favorite: ,Frisch auf Goppingen, 4229980   size:2.65,Price: ,1.37,Stuttgart, 10174885   size:3.7,Price: ,4.4,Draw, 330157   size:174.16,Price: ,10.5,ok
1.121092173, Sport: ,Tennis, Time: ,Wed Oct 07 22:15:00 CEST 2015, Time: ,Wed Oct 07 22:15:00 CEST 2015, Event: ,Brunstrom/Nielsen v King/Kutrovsky, Favorite: ,Brunstrom/Nielsen, 6677971   size:26.44,Price: ,1.36,King/Kutrovsky, 8462610   size:3.89,Price: ,3.7,ok
1.121107586, Sport: ,Basketball, Time: ,Wed Oct 07 20:04:00 CEST 2015, Time: ,Wed Oct 07 20:04:00 CEST 2015, Event: ,Boras v Malbas, Favorite: ,Boras, 7037205   size:25.0,Price: ,1.04,Malbas, 10363137   size:7.94,Price: ,6.6,ok
1.121107180, Sport: ,Tennis, Time: ,Thu Oct 08 00:00:00 CEST 2015, Time: ,Thu Oct 08 00:00:00 CEST 2015, Event: ,Kudla v T Paul, Favorite: ,Denis Kudla, 4829260   size:5.0,Price: ,1.34,Tommy Paul, 8859306   size:10.08,Price: ,3.35,ok
1.121092216, Sport: ,Darts, Time: ,Wed Oct 07 21:00:00 CEST 2015, Time: ,Wed Oct 07 21:00:00 CEST 2015, Event: ,Vincent van der Voort v Terry Jenkins, Favorite: ,Terry Jenkins, 2271008   size:109.62,Price: ,1.76,Vincent van der Voort, 2414388   size:6.99,Price: ,2.24,x
1.120843623, Sport: ,Ice Hockey, Time: ,Thu Oct 08 01:05:00 CEST 2015, Time: ,Thu Oct 08 01:05:00 CEST 2015, Event: ,Montreal @ Toronto, Favorite: ,Montreal, 2112345   size:7.0,Price: ,2.18,Toronto, 2108073   size:347.0,Price: ,3.1,Tie, 60104   size:97.0,Price: ,4.1,ok
1.121087686, Sport: ,Soccer, Time: ,Thu Oct 08 00:30:00 CEST 2015, Time: ,Thu Oct 08 00:30:00 CEST 2015, Event: ,Deportivo La Guaira v Tucanes de Amazonas, Favorite: ,Deportivo La Guaira, 7658015   size:20.34,Price: ,1.37,Tucanes de Amazonas, 7866561   size:7.05,Price: ,11.0,The Draw, 58805   size:11.6,Price: ,5.2,ok
1.121072070, Sport: ,Tennis, Time: ,Wed Oct 07 19:03:00 CEST 2015, Time: ,Wed Oct 07 19:03:00 CEST 2015, Event: ,Pereira/Tsuchiya v Elias/Sousa, Favorite: ,Pereira/Tsuchiya, 8478506   size:2.72,Price: ,1.03,Elias/Sousa, 5504152   size:2.31,Price: ,1.03,ok
1.121076957, Sport: ,Tennis, Time: ,Thu Oct 08 01:15:00 CEST 2015, Time: ,Thu Oct 08 01:15:00 CEST 2015, Event: ,Brands/Brown v Bester/Polansky, Favorite: ,Brands/Brown, 10384610   size:2.55,Price: ,1.78,Bester/Polansky, 10029195   size:12.39,Price: ,2.12,ok
1.121092227, Sport: ,Darts, Time: ,Wed Oct 07 21:30:00 CEST 2015, Time: ,Wed Oct 07 21:30:00 CEST 2015, Event: ,Gary Anderson v Ian White, Favorite: ,Gary Anderson, 2409760   size:146.64,Price: ,1.36,Ian White, 4396149   size:130.97,Price: ,3.6,x
1.120989069, Sport: ,Soccer, Time: ,Wed Oct 07 20:30:00 CEST 2015, Time: ,Wed Oct 07 20:30:00 CEST 2015, Event: ,Deinze v Roeselare, Favorite: ,Deinze, 505713   size:88.29,Price: ,2.38,Roeselare, 505719   size:16.87,Price: ,3.35,The Draw, 58805   size:116.11,Price: ,3.45,x
1.120987687, Sport: ,Ice Hockey, Time: ,Wed Oct 07 18:30:00 CEST 2015, Time: ,Wed Oct 07 18:30:00 CEST 2015, Event: ,AK Bars v Dynamo Moscow, Favorite: ,AK Bars, 2582640   size:75.0,Price: ,1.43,Dynamo Moscow, 1252378   size:75.0,Price: ,3.0,Tie, 60104   size:75.0,Price: ,3.0,ok
1.121020212, Sport: ,Handball, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Kristianstad v Aranas, Favorite: ,Kristianstad, 2929927   size:2.72,Price: ,1.01,Aranas, 3343966   size:2.72,Price: ,1.01,Draw, 330157   size:2.72,Price: ,1.01,ok
1.121092194, Sport: ,Darts, Time: ,Wed Oct 07 20:00:00 CEST 2015, Time: ,Wed Oct 07 20:00:00 CEST 2015, Event: ,Robert Thornton v Justin Pipe, Favorite: ,Robert Thornton, 2658190   size:695.33,Price: ,1.45,Justin Pipe, 3066954   size:199.83,Price: ,3.15,ok
1.121119974, Sport: ,Basketball, Time: ,Wed Oct 07 18:45:00 CEST 2015, Time: ,Wed Oct 07 18:45:00 CEST 2015, Event: ,Castors Braine (W) v ESB Lille (W), Favorite: ,Castors Braine (W), 8978770   size:2.72,Price: ,1.02,ESB Lille (W), 8978730   size:2.72,Price: ,1.02,ok
1.121002417, Sport: ,Ice Hockey, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,AIK v Timra, Favorite: ,AIK, 2075196   size:8.17,Price: ,1.01,Timra, 237393   size:8.17,Price: ,1.01,Tie, 60104   size:8.17,Price: ,1.01,ok
