1.119118802, Sport: ,Tennis, Time: ,Wed Jun 10 11:00:00 CEST 2015, Time: ,Wed Jun 10 11:00:00 CEST 2015, Event: ,Vandeweghe v Maria, Favorite: ,Coco Vandeweghe, 8781569   size:997.45,Price: ,1.37,Tatjana Maria, 7299657   size:48.35,Price: ,3.6,okokokok
1.119121119, Sport: ,Tennis, Time: ,Wed Jun 10 13:30:00 CEST 2015, Time: ,Wed Jun 10 13:30:00 CEST 2015, Event: ,Jankovic/Pavlyuchenkov v Kalashnikova/Rodina, Favorite: ,Jankovic/Pavlyuchenkov, 9582001   size:211.84,Price: ,1.05,Kalashnikova/Rodina, 9493901   size:5.76,Price: ,1.44,okokokok
1.119117515, Sport: ,Tennis, Time: ,Wed Jun 10 14:00:00 CEST 2015, Time: ,Wed Jun 10 14:00:00 CEST 2015, Event: ,Beretta v Alejandro Gonzalez, Favorite: ,Alejandro Gonzalez, 6604262   size:2.55,Price: ,1.25,Duilio Beretta, 8326761   size:6.86,Price: ,4.3,okokokok
1.119116702, Sport: ,Tennis, Time: ,Wed Jun 10 13:30:00 CEST 2015, Time: ,Wed Jun 10 13:30:00 CEST 2015, Event: ,Paszek v Cepede Royg, Favorite: ,Tamira Paszek, 2263715   size:5.76,Price: ,1.67,Veronica Cepede Royg, 6400531   size:3.89,Price: ,2.28,okokokok
1.119117072, Sport: ,Tennis, Time: ,Wed Jun 10 12:00:00 CEST 2015, Time: ,Wed Jun 10 12:00:00 CEST 2015, Event: ,Riske v Lucic-Baroni, Favorite: ,Alison Riske, 4566011   size:5.59,Price: ,1.73,Mirjana Lucic-Baroni, 8283006   size:108.99,Price: ,2.24,okokokok
1.119116701, Sport: ,Tennis, Time: ,Wed Jun 10 16:30:00 CEST 2015, Time: ,Wed Jun 10 16:30:00 CEST 2015, Event: ,Cetkovska v Deigman, Favorite: ,Petra Cetkovska, 2415583   size:862.63,Price: ,1.16,Laura Deigman, 9028648   size:17.4,Price: ,5.2,okokokok
1.119116789, Sport: ,Tennis, Time: ,Wed Jun 10 14:45:00 CEST 2015, Time: ,Wed Jun 10 14:45:00 CEST 2015, Event: ,Copil v Garcia-Lopez, Favorite: ,Guillermo Garcia-Lopez, 8260126   size:4.99,Price: ,1.5,Marius Copil, 4195870   size:48.25,Price: ,2.88,xxxx
1.119116700, Sport: ,Tennis, Time: ,Wed Jun 10 15:00:00 CEST 2015, Time: ,Wed Jun 10 15:00:00 CEST 2015, Event: ,N Broady v G Taylor, Favorite: ,Naomi Broady, 3960538   size:7.32,Price: ,1.21,Gabriella Taylor, 8624172   size:18.01,Price: ,4.7,okokokok
1.119101809, Sport: ,Tennis, Time: ,Wed Jun 10 12:30:00 CEST 2015, Time: ,Wed Jun 10 12:30:00 CEST 2015, Event: ,Guccione/Sa v Klaasen/Ram, Favorite: ,Guccione/Sa, 9378423   size:8.54,Price: ,1.78,Klaasen/Ram, 9546313   size:6.81,Price: ,2.08,xxxx
1.119117474, Sport: ,Basketball, Time: ,Wed Jun 10 17:30:00 CEST 2015, Time: ,Wed Jun 10 17:30:00 CEST 2015, Event: ,Neptunas v Juventus, Favorite: ,Neptunas, 5261523   size:2.55,Price: ,1.24,Juventus, 5244996   size:2.55,Price: ,4.5,xxx
1.119103550, Sport: ,Tennis, Time: ,Wed Jun 10 16:00:00 CEST 2015, Time: ,Wed Jun 10 16:00:00 CEST 2015, Event: ,Stakhovsky/Tomic v Brown/Haider-Maurer, Favorite: ,Brown/Haider-Maurer, 9518044   size:4.99,Price: ,1.03,Stakhovsky/Tomic, 9566326   size:2.55,Price: ,1.57,xxxx
1.119113902, Sport: ,Tennis, Time: ,Wed Jun 10 14:30:00 CEST 2015, Time: ,Wed Jun 10 14:30:00 CEST 2015, Event: ,M Krajicek v Giorgi, Favorite: ,Camila Giorgi, 5619012   size:173.52,Price: ,1.37,Michaella Krajicek, 2256452   size:55.3,Price: ,3.55,okokokok
1.119073266, Sport: ,Handball, Time: ,Wed Jun 10 18:35:00 CEST 2015, Time: ,Wed Jun 10 18:35:00 CEST 2015, Event: ,Latvia v Sweden, Favorite: ,Sweden, 624135   size:18.67,Price: ,1.04,Latvia, 2409743   size:68.85,Price: ,11.0,Draw, 330157   size:6.23,Price: ,14.5,okokokok
1.119107438, Sport: ,Tennis, Time: ,Wed Jun 10 18:00:00 CEST 2015, Time: ,Wed Jun 10 18:00:00 CEST 2015, Event: ,Hradecka/Schiavone v Rae/Smith, Favorite: ,Hradecka/Schiavone, 9568454   size:2.0,Price: ,1.66,Rae/Smith, 8621531   size:2.55,Price: ,2.5,xxxx
1.119120350, Sport: ,Tennis, Time: ,Wed Jun 10 12:00:00 CEST 2015, Time: ,Wed Jun 10 12:00:00 CEST 2015, Event: ,Authom v McGee, Favorite: ,James McGee, 7216252   size:47.95,Price: ,1.86,Maxime Authom, 5908914   size:4.47,Price: ,1.98,okokokok
1.119121163, Sport: ,Tennis, Time: ,Wed Jun 10 13:00:00 CEST 2015, Time: ,Wed Jun 10 13:00:00 CEST 2015, Event: ,Cervantes v Pavlasek, Favorite: ,Inigo Cervantes, 6297238   size:48.67,Price: ,1.56,Adam Pavlasek, 8494652   size:25.4,Price: ,2.42,okokokok
1.119117507, Sport: ,Tennis, Time: ,Wed Jun 10 13:30:00 CEST 2015, Time: ,Wed Jun 10 13:30:00 CEST 2015, Event: ,Muhammad/Siegemund v Bertens/Larsson, Favorite: ,Bertens/Larsson, 7612543   size:5.16,Price: ,1.55,Muhammad/Siegemund, 9568210   size:3.54,Price: ,2.26,xxxx
1.119073747, Sport: ,Handball, Time: ,Wed Jun 10 17:00:00 CEST 2015, Time: ,Wed Jun 10 17:00:00 CEST 2015, Event: ,Russia v Ukraine, Favorite: ,Russia, 602689   size:1702.0,Price: ,1.01,Ukraine, 620385   size:3.05,Price: ,18.5,Draw, 330157   size:2.63,Price: ,22.0,okokokok
1.119121561, Sport: ,Tennis, Time: ,Wed Jun 10 13:45:00 CEST 2015, Time: ,Wed Jun 10 13:45:00 CEST 2015, Event: ,R Harrison v Ja Jung, Favorite: ,Ryan Harrison, 2923247   size:5.76,Price: ,1.31,Jason Jung, 7048850   size:2.16,Price: ,4.1,okokokok
1.119119940, Sport: ,Tennis, Time: ,Wed Jun 10 12:00:00 CEST 2015, Time: ,Wed Jun 10 12:00:00 CEST 2015, Event: ,Ebden v J Donaldson, Favorite: ,Matthew Ebden, 4423910   size:2.55,Price: ,1.44,Jared Donaldson, 7413423   size:2.55,Price: ,2.92,okokokok
1.119121587, Sport: ,Tennis, Time: ,Wed Jun 10 14:00:00 CEST 2015, Time: ,Wed Jun 10 14:00:00 CEST 2015, Event: ,Cecchinato v Quinzi, Favorite: ,Marco Cecchinato, 6374165   size:6.15,Price: ,1.3,Gianluigi Quinzi, 8257864   size:20.58,Price: ,3.65,okok
