1.122369801, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Cardiff v Nottm Forest, Favorite: ,Cardiff, 79343   size:83.48,Price: ,2.48,Nottm Forest, 69718   size:963.15,Price: ,3.3,The Draw, 58805   size:5647.33,Price: ,3.3,x
1.122397600, Sport: ,Ice Hockey, Time: ,Tue Dec 29 15:00:00 CET 2015, Time: ,Tue Dec 29 15:00:00 CET 2015, Event: ,Belarus v Russia, Favorite: ,Russia, 140142   size:50.0,Price: ,1.02,Belarus, 253801   size:135.99,Price: ,38.0,Tie, 60104   size:3.8,Price: ,10.5,ok
1.122370224, Sport: ,Soccer, Time: ,Tue Dec 29 16:00:00 CET 2015, Time: ,Tue Dec 29 16:00:00 CET 2015, Event: ,Leixoes v Rio Ave, Favorite: ,Rio Ave, 495321   size:504.07,Price: ,2.12,Leixoes, 146050   size:300.12,Price: ,4.0,The Draw, 58805   size:290.91,Price: ,3.5,ok
1.122397603, Sport: ,Ice Hockey, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Switzerland v Canada, Favorite: ,Canada, 140140   size:7.79,Price: ,1.07,Switzerland, 140147   size:100.5,Price: ,10.0,Tie, 60104   size:18.69,Price: ,1.85,x
1.122373857, Sport: ,Ice Hockey, Time: ,Tue Dec 29 14:30:00 CET 2015, Time: ,Tue Dec 29 14:30:00 CET 2015, Event: ,Barys v CSKA, Favorite: ,CSKA, 2240050   size:5.07,Price: ,1.78,Barys, 3328562   size:3.9,Price: ,4.1,Tie, 60104   size:26.0,Price: ,4.7,x
1.122316673, Sport: ,Handball, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Aranas v Alingsas, Favorite: ,Alingsas, 2929600   size:5.91,Price: ,1.11,Aranas, 3343966   size:18.0,Price: ,1.22,Draw, 330157   size:18.0,Price: ,1.37,ok
1.122401957, Sport: ,Soccer, Time: ,Tue Dec 29 17:00:00 CET 2015, Time: ,Tue Dec 29 17:00:00 CET 2015, Event: ,Maccabi Herzliya v Hapoel Katamon, Favorite: ,Maccabi Herzliya, 5195923   size:6.65,Price: ,1.64,Hapoel Katamon, 7629623   size:2.55,Price: ,5.7,The Draw, 58805   size:5.78,Price: ,3.75,x
1.122309671, Sport: ,Ice Hockey, Time: ,Wed Dec 30 02:05:00 CET 2015, Time: ,Wed Dec 30 02:05:00 CET 2015, Event: ,Detroit @ Winnipeg, Favorite: ,Winnipeg, 5866888   size:2.62,Price: ,2.2,Detroit, 975676   size:5.06,Price: ,2.6,Tie, 60104   size:2.62,Price: ,3.95,ok
1.122309676, Sport: ,Ice Hockey, Time: ,Wed Dec 30 03:05:00 CET 2015, Time: ,Wed Dec 30 03:05:00 CET 2015, Event: ,Anaheim @ Calgary, Favorite: ,Calgary, 975675   size:2.6,Price: ,2.24,Anaheim, 60109   size:4.57,Price: ,2.5,Tie, 60104   size:27.3,Price: ,3.9,x
1.122370768, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,jukurit v SaPKo, Favorite: ,Jukurit, 272756   size:7.02,Price: ,1.5,Sapko, 4196539   size:18.0,Price: ,2.08,Tie, 60104   size:27.91,Price: ,6.0,ok
