1.122226699, Sport: ,Snooker, Time: ,Thu Dec 17 15:30:00 CET 2015, Time: ,Thu Dec 17 15:30:00 CET 2015, Event: ,Tian Pengfei v Lyu Chenwei, Favorite: ,Tian Pengfei, 2584430   size:2.55,Price: ,1.28,Lyu Chenwei, 8551014   size:2.55,Price: ,3.65,ok
1.122293076, Sport: ,Soccer, Time: ,Thu Dec 17 01:00:00 CET 2015, Time: ,Thu Dec 17 01:00:00 CET 2015, Event: ,Junior v Atletico Nacional, Favorite: ,Junior, 363629   size:69.14,Price: ,2.58,Atletico Nacional, 478920   size:4.96,Price: ,3.15,The Draw, 58805   size:6.87,Price: ,3.3,ok
1.122294683, Sport: ,Basketball, Time: ,Thu Dec 17 18:00:00 CET 2015, Time: ,Thu Dec 17 18:00:00 CET 2015, Event: ,Pinkk Pecsi (W) v Nantes (W), Favorite: ,Nantes (W), 8978754   size:4.21,Price: ,1.1,Pinkk Pecsi (W), 8978740   size:7.23,Price: ,1.32,x
1.122231003, Sport: ,Snooker, Time: ,Thu Dec 17 20:00:00 CET 2015, Time: ,Thu Dec 17 20:00:00 CET 2015, Event: ,Martin Gould v Joel Walker, Favorite: ,Martin Gould, 2613031   size:2.55,Price: ,1.34,Joel Walker, 5760963   size:5.95,Price: ,3.05,ok
1.122294723, Sport: ,Basketball, Time: ,Thu Dec 17 19:00:00 CET 2015, Time: ,Thu Dec 17 19:00:00 CET 2015, Event: ,Jezioro Tarnobrzeg v Koszalin, Favorite: ,Koszalin, 2139127   size:107.47,Price: ,1.52,Jezioro Tarnobrzeg, 6703616   size:35.97,Price: ,2.68,ok
1.122294715, Sport: ,Basketball, Time: ,Thu Dec 17 17:30:00 CET 2015, Time: ,Thu Dec 17 17:30:00 CET 2015, Event: ,Edirnespor Women v Chevakata (W), Favorite: ,Edirnespor Women, 9022117   size:3.29,Price: ,1.27,Chevakata (W), 8978748   size:2.19,Price: ,1.91,ok
1.122246927, Sport: ,Ice Hockey, Time: ,Thu Dec 17 02:05:00 CET 2015, Time: ,Thu Dec 17 02:05:00 CET 2015, Event: ,Pittsburgh @ Boston, Favorite: ,Boston, 2112316   size:518.0,Price: ,2.16,Pittsburgh, 2115995   size:111.68,Price: ,3.1,Tie, 60104   size:26.15,Price: ,4.2,ok
1.122213420, Sport: ,Soccer, Time: ,Thu Dec 17 16:00:00 CET 2015, Time: ,Thu Dec 17 16:00:00 CET 2015, Event: ,Lazio v Udinese, Favorite: ,Lazio, 56966   size:26.76,Price: ,1.71,Udinese, 215821   size:269.7,Price: ,6.0,The Draw, 58805   size:194.73,Price: ,3.95,ok
1.122246922, Sport: ,Ice Hockey, Time: ,Thu Dec 17 01:05:00 CET 2015, Time: ,Thu Dec 17 01:05:00 CET 2015, Event: ,Ottawa @ Washington, Favorite: ,Washington, 2109756   size:5.0,Price: ,1.86,Ottawa, 2108072   size:99.0,Price: ,4.0,Tie, 60104   size:9.83,Price: ,4.4,ok
1.122300134, Sport: ,Ice Hockey, Time: ,Thu Dec 17 18:30:00 CET 2015, Time: ,Thu Dec 17 18:30:00 CET 2015, Event: ,Czech Republic v Finland, Favorite: ,Czech Republic, 140138   size:189.02,Price: ,2.36,Finland, 140141   size:5.95,Price: ,2.54,Tie, 60104   size:91.65,Price: ,4.0,x
