1.121018985, Sport: ,Volleyball, Time: ,Sun Oct 04 14:00:00 CEST 2015, Time: ,Sun Oct 04 14:00:00 CEST 2015, Event: ,Cajasol Juvasa v Textil Santanderina, Favorite: ,Cajasol Juvasa, 7848178   size:43.09,Price: ,1.01,Textil Santanderina, 10256875   size:5.79,Price: ,1.24,ok
1.120968699, Sport: ,Soccer, Time: ,Sun Oct 04 15:00:00 CEST 2015, Time: ,Sun Oct 04 15:00:00 CEST 2015, Event: ,Bray v Cork City, Favorite: ,Cork City, 298594   size:24.43,Price: ,1.91,Bray, 184327   size:72.87,Price: ,4.7,The Draw, 58805   size:9.55,Price: ,3.6,ok
1.120919724, Sport: ,Soccer, Time: ,Sun Oct 04 15:00:00 CEST 2015, Time: ,Sun Oct 04 15:00:00 CEST 2015, Event: ,Kalmar FF v Djurgardens, Favorite: ,Djurgardens, 232104   size:13.4,Price: ,2.62,Kalmar FF, 130433   size:2.7,Price: ,2.9,The Draw, 58805   size:16.54,Price: ,3.5,ok
1.121020988, Sport: ,Basketball, Time: ,Sun Oct 04 17:00:00 CEST 2015, Time: ,Sun Oct 04 17:00:00 CEST 2015, Event: ,Alba Berlin v Bayreuth, Favorite: ,Alba Berlin, 266284   size:4.16,Price: ,1.06,Bayreuth, 5002542   size:4.45,Price: ,1.25,ok
1.120983593, Sport: ,Soccer, Time: ,Sun Oct 04 17:00:00 CEST 2015, Time: ,Sun Oct 04 17:00:00 CEST 2015, Event: ,CD Izarra v Atletico Astorga, Favorite: ,CD Izarra, 9320407   size:137.9,Price: ,2.12,Atletico Astorga, 8792395   size:3.98,Price: ,3.8,The Draw, 58805   size:4.19,Price: ,3.3,ok
1.120983595, Sport: ,Soccer, Time: ,Sun Oct 04 17:00:00 CEST 2015, Time: ,Sun Oct 04 17:00:00 CEST 2015, Event: ,Guijuelo v Cacereno, Favorite: ,Guijuelo, 2250340   size:2.69,Price: ,1.48,Cacereno, 4144561   size:6.97,Price: ,7.2,The Draw, 58805   size:13.47,Price: ,4.2,x
1.120985970, Sport: ,Rugby League, Time: ,Sun Oct 04 17:30:00 CEST 2015, Time: ,Sun Oct 04 17:30:00 CEST 2015, Event: ,Featherstone v London Broncos, Favorite: ,Featherstone, 62906   size:67.7,Price: ,1.02,London Broncos, 23394   size:67.7,Price: ,1.02,Draw, 11126   size:2.69,Price: ,1.08,ok
1.120911248, Sport: ,Soccer, Time: ,Sun Oct 04 14:00:00 CEST 2015, Time: ,Sun Oct 04 14:00:00 CEST 2015, Event: ,VPS v HJK Helsinki, Favorite: ,HJK Helsinki, 6390   size:12.0,Price: ,1.84,VPS, 139511   size:8.46,Price: ,5.0,The Draw, 58805   size:140.88,Price: ,3.75,ok
1.120911721, Sport: ,Soccer, Time: ,Sun Oct 04 15:30:00 CEST 2015, Time: ,Sun Oct 04 15:30:00 CEST 2015, Event: ,Haugesund v Odd, Favorite: ,Odd, 955466   size:37.5,Price: ,2.04,Haugesund, 152566   size:152.43,Price: ,3.7,The Draw, 58805   size:197.94,Price: ,3.8,ok
1.121008268, Sport: ,Basketball, Time: ,Sun Oct 04 19:15:00 CEST 2015, Time: ,Sun Oct 04 19:15:00 CEST 2015, Event: ,Pistoia v Brindisi, Favorite: ,Pistoia, 7735183   size:423.12,Price: ,1.08,Brindisi, 6697864   size:423.12,Price: ,1.08,ok
