1.121731849, Sport: ,Tennis, Time: ,Mon Nov 09 13:15:00 CET 2015, Time: ,Mon Nov 09 13:15:00 CET 2015, Event: ,Mektic v Hanfmann, Favorite: ,Nikola Mektic, 3658467   size:6.03,Price: ,1.3,Yannick Hanfmann, 8639275   size:69.97,Price: ,2.84,ok
1.121716610, Sport: ,Tennis, Time: ,Mon Nov 09 08:05:00 CET 2015, Time: ,Mon Nov 09 08:05:00 CET 2015, Event: ,R Ozaki v Y Duan, Favorite: ,Ying-Ying Duan, 8243878   size:1227.78,Price: ,1.18,Risa Ozaki, 7593284   size:147.22,Price: ,5.2,ok
1.121587852, Sport: ,Soccer, Time: ,Mon Nov 09 19:00:00 CET 2015, Time: ,Mon Nov 09 19:00:00 CET 2015, Event: ,Silkeborg v FC Vestsjaelland, Favorite: ,Silkeborg, 28216   size:2.55,Price: ,1.84,FC Vestsjaelland, 3235291   size:4.48,Price: ,4.8,The Draw, 58805   size:2.59,Price: ,3.2,x
1.121732932, Sport: ,Tennis, Time: ,Mon Nov 09 18:45:00 CET 2015, Time: ,Mon Nov 09 18:45:00 CET 2015, Event: ,T Monteiro v Dellien, Favorite: ,Thiago Monteiro, 8326656   size:4.17,Price: ,1.08,Hugo Dellien, 8226987   size:6.03,Price: ,2.08,ok
1.121720438, Sport: ,Darts, Time: ,Mon Nov 09 21:00:00 CET 2015, Time: ,Mon Nov 09 21:00:00 CET 2015, Event: ,Mark Webster v Michel van der Horst, Favorite: ,Mark Webster, 2409763   size:2.55,Price: ,1.3,Michel van der Horst, 9006590   size:12.93,Price: ,3.65,ok
1.121720317, Sport: ,Darts, Time: ,Mon Nov 09 20:30:00 CET 2015, Time: ,Mon Nov 09 20:30:00 CET 2015, Event: ,Robbie Green v Martin Phillips, Favorite: ,Robbie Green, 2441762   size:278.56,Price: ,1.72,Martin Phillips, 2658193   size:2.55,Price: ,2.26,ok
1.121726336, Sport: ,Tennis, Time: ,Mon Nov 09 19:30:00 CET 2015, Time: ,Mon Nov 09 19:30:00 CET 2015, Event: ,Bozoljac/Zelenay v Klein/Molcan, Favorite: ,Bozoljac/Zelenay, 10507398   size:8.35,Price: ,1.04,Klein/Molcan, 10507399   size:8.35,Price: ,1.04,ok
1.121720554, Sport: ,Soccer, Time: ,Mon Nov 09 13:00:00 CET 2015, Time: ,Mon Nov 09 13:00:00 CET 2015, Event: ,1. FK Pribram U21 v FC Zbrojovka Brno U21, Favorite: ,1. FK Pribram U21, 6551024   size:4.66,Price: ,1.74,FC Zbrojovka Brno U21, 6553194   size:22.83,Price: ,4.7,The Draw, 58805   size:6.2,Price: ,4.4,x
1.121721001, Sport: ,Soccer, Time: ,Mon Nov 09 12:00:00 CET 2015, Time: ,Mon Nov 09 12:00:00 CET 2015, Event: ,Dong Tam Long An v Quang Ninh, Favorite: ,Dong Tam Long An, 2343976   size:2.55,Price: ,2.32,Quang Ninh, 9127869   size:6.79,Price: ,2.58,The Draw, 58805   size:7.09,Price: ,3.35,x
1.121721200, Sport: ,Soccer, Time: ,Mon Nov 09 12:00:00 CET 2015, Time: ,Mon Nov 09 12:00:00 CET 2015, Event: ,FC Minsk (W) v Bobruichanka B (W), Favorite: ,FC Minsk (W), 10365404   size:2.55,Price: ,1.12,Bobruichanka B (W), 6296897   size:10.9,Price: ,7.0,The Draw, 58805   size:6.27,Price: ,5.1,ok
