1.119130621, Sport: ,Baseball, Time: ,Fri Jun 19 02:10:00 CEST 2015, Time: ,Fri Jun 19 02:10:00 CEST 2015, Event: ,PIT @ CWS, Favorite: ,Pittsburgh (G Cole), 7340947   size:265.31,Price: ,1.76,Chi White Sox (J Samardzija), 9439851   size:617.56,Price: ,2.2,ok
1.119186909, Sport: ,Tennis, Time: ,Thu Jun 18 20:15:00 CEST 2015, Time: ,Thu Jun 18 20:15:00 CEST 2015, Event: ,Isner/Sam Querrey v Matkowski/Nenad Zimonjic, Favorite: ,Matkowski/Zimonjic, 9312205   size:2.99,Price: ,1.65,Isner/Querrey, 4471769   size:28.08,Price: ,2.52,ok
1.119130589, Sport: ,Baseball, Time: ,Fri Jun 19 01:05:00 CEST 2015, Time: ,Fri Jun 19 01:05:00 CEST 2015, Event: ,TB @ WSH, Favorite: ,Tampa Bay (C Archer), 6457877   size:142.77,Price: ,1.9,Washington (D Fister), 8516468   size:112.88,Price: ,2.06,ok
1.119130605, Sport: ,Baseball, Time: ,Fri Jun 19 01:10:00 CEST 2015, Time: ,Fri Jun 19 01:10:00 CEST 2015, Event: ,BOS @ ATL, Favorite: ,Boston (C Buchholz), 2515837   size:2.0,Price: ,1.86,Atlanta (S Miller), 9385068   size:512.99,Price: ,2.08,ok
1.119187655, Sport: ,Tennis, Time: ,Fri Jun 19 04:00:00 CEST 2015, Time: ,Fri Jun 19 04:00:00 CEST 2015, Event: ,C Liu v N Luangnam, Favorite: ,Chang Liu, 7656823   size:8.26,Price: ,1.5,Nudnida Luangnam, 2301147   size:2.87,Price: ,2.7,ok
1.119130629, Sport: ,Baseball, Time: ,Fri Jun 19 02:10:00 CEST 2015, Time: ,Fri Jun 19 02:10:00 CEST 2015, Event: ,MIL @ KC, Favorite: ,Kansas City (J Guthrie), 6582227   size:90.02,Price: ,1.7,Milwaukee (J Nelson), 7720203   size:331.0,Price: ,2.32,ok
1.119187653, Sport: ,Tennis, Time: ,Fri Jun 19 04:00:00 CEST 2015, Time: ,Fri Jun 19 04:00:00 CEST 2015, Event: ,K C Chang v J J Lu, Favorite: ,Kai Chen Chang, 4148124   size:3.19,Price: ,1.36,Jia Jing Lu, 9084837   size:3.06,Price: ,3.15,ok
1.119187654, Sport: ,Tennis, Time: ,Fri Jun 19 04:00:00 CEST 2015, Time: ,Fri Jun 19 04:00:00 CEST 2015, Event: ,K Okamura v X Han, Favorite: ,Xinyun Han, 3172285   size:3.2,Price: ,1.32,Kyoka Okamura, 8887170   size:5.19,Price: ,3.65,ok
1.119130573, Sport: ,Baseball, Time: ,Fri Jun 19 01:05:00 CEST 2015, Time: ,Fri Jun 19 01:05:00 CEST 2015, Event: ,CHC @ CLE, Favorite: ,Cleveland (D Salazar), 7423005   size:288.0,Price: ,1.67,Chicago (J Hammel), 8436199   size:377.22,Price: ,2.36,ok
1.119187657, Sport: ,Baseball, Time: ,Fri Jun 19 04:10:00 CEST 2015, Time: ,Fri Jun 19 04:10:00 CEST 2015, Event: ,TEX @ LAD, Favorite: ,LA Dodgers (Z Greinke), 7179922   size:1373.76,Price: ,1.44,Texas (A Ranaudo), 9404958   size:424.79,Price: ,3.15,ok
