1.121637443, Sport: ,Ice Hockey, Time: ,Tue Nov 10 20:00:00 CET 2015, Time: ,Tue Nov 10 20:00:00 CET 2015, Event: ,HV71 v Blues, Favorite: ,Blues, 66804   size:8.48,Price: ,1.01,HV71, 1357305   size:6.55,Price: ,1.51,Tie, 60104   size:8.48,Price: ,1.01,x
1.121723853, Sport: ,Basketball, Time: ,Tue Nov 10 20:00:00 CET 2015, Time: ,Tue Nov 10 20:00:00 CET 2015, Event: ,Antwerp Giants v Benfica, Favorite: ,Antwerp Giants, 2585925   size:2.82,Price: ,1.03,Benfica, 8953442   size:14.18,Price: ,4.0,ok
1.121679669, Sport: ,Volleyball, Time: ,Tue Nov 10 20:00:00 CET 2015, Time: ,Tue Nov 10 20:00:00 CET 2015, Event: ,Racing Club de Cannes v Volero Zurich, Favorite: ,Volero Zurich, 2204305   size:429.39,Price: ,1.01,Racing Club de Cannes, 3579477   size:26.84,Price: ,5.0,ok
1.121723861, Sport: ,Basketball, Time: ,Tue Nov 10 20:00:00 CET 2015, Time: ,Tue Nov 10 20:00:00 CET 2015, Event: ,Belfius Mons-Hainaut v Groningen, Favorite: ,Belfius Mons-Hainaut, 9040825   size:40.85,Price: ,1.01,Groningen, 5118196   size:14.31,Price: ,4,ok
