1.121925519, Sport: ,Soccer, Time: ,Mon Nov 30 18:30:00 CET 2015, Time: ,Mon Nov 30 18:30:00 CET 2015, Event: ,SC Cambuur (Res) v SC Heerenveen (Res), Favorite: ,SC Heerenveen (Res), 10143913   size:9.67,Price: ,1.76,SC Cambuur (Res), 10138946   size:50.53,Price: ,3.2,The Draw, 58805   size:4.99,Price: ,3.15,x
1.122025412, Sport: ,Basketball, Time: ,Mon Nov 30 20:00:00 CET 2015, Time: ,Mon Nov 30 20:00:00 CET 2015, Event: ,Strasbourg v Cholet, Favorite: ,Strasbourg, 1193143   size:102.59,Price: ,1.11,Cholet, 678099   size:40.68,Price: ,8.0,ok
1.121926600, Sport: ,Soccer, Time: ,Mon Nov 30 19:30:00 CET 2015, Time: ,Mon Nov 30 19:30:00 CET 2015, Event: ,FC Voluntari v Dinamo Bucharest, Favorite: ,Dinamo Bucharest, 46937   size:1538.32,Price: ,2.0,FC Voluntari, 8838645   size:65.91,Price: ,4.3,The Draw, 58805   size:259.59,Price: ,3.65,ok
1.121980717, Sport: ,Soccer, Time: ,Tue Dec 01 18:00:00 CET 2015, Time: ,Tue Dec 01 18:00:00 CET 2015, Event: ,Ruch Chorzow v Korona Kielce, Favorite: ,Ruch Chorzow, 2160683   size:325.83,Price: ,2.48,Korona Kielce, 1209555   size:131.94,Price: ,3.2,The Draw, 58805   size:327.43,Price: ,3.25,ok
1.121980837, Sport: ,Soccer, Time: ,Tue Dec 01 18:00:00 CET 2015, Time: ,Tue Dec 01 18:00:00 CET 2015, Event: ,Nieciecza v Slask Wroclaw, Favorite: ,Nieciecza, 4871645   size:82.13,Price: ,2.66,Slask Wroclaw, 3143307   size:2.83,Price: ,2.88,The Draw, 58805   size:144.38,Price: ,3.3,x
1.122079955, Sport: ,Soccer, Time: ,Tue Dec 01 18:00:00 CET 2015, Time: ,Tue Dec 01 18:00:00 CET 2015, Event: ,Ironi Ramat HaSharon v Hapoel Ashkelon, Favorite: ,Ironi Ramat HaSharon, 6242601   size:3.78,Price: ,1.11,Hapoel Ashkelon, 5221516   size:3.78,Price: ,1.11,The Draw, 58805   size:14.24,Price: ,3.1,x
1.121988034, Sport: ,Ice Hockey, Time: ,Tue Dec 01 16:30:00 CET 2015, Time: ,Tue Dec 01 16:30:00 CET 2015, Event: ,Blues v Karpat, Favorite: ,Karpat, 66430   size:6.15,Price: ,1.89,Blues, 66804   size:142.42,Price: ,3.0,Tie, 60104   size:53.0,Price: ,4.0,x
1.121982178, Sport: ,Soccer, Time: ,Tue Dec 01 16:15:00 CET 2015, Time: ,Tue Dec 01 16:15:00 CET 2015, Event: ,Panionios v Zakinthos, Favorite: ,Panionios, 285324   size:2.55,Price: ,1.24,Zakinthos, 3435381   size:3.16,Price: ,10.0,The Draw, 58805   size:3.38,Price: ,5.2,ok
1.121988037, Sport: ,Ice Hockey, Time: ,Tue Dec 01 16:30:00 CET 2015, Time: ,Tue Dec 01 16:30:00 CET 2015, Event: ,TPS v Lukko, Favorite: ,TPS, 66803   size:6.15,Price: ,2.18,Lukko, 66603   size:84.48,Price: ,2.64,Tie, 60104   size:78.33,Price: ,4.1,x
1.121985974, Sport: ,Ice Hockey, Time: ,Tue Dec 01 17:30:00 CET 2015, Time: ,Tue Dec 01 17:30:00 CET 2015, Event: ,Zlin v Pardubice, Favorite: ,Zlin, 563266   size:39.16,Price: ,2.12,Pardubice, 563269   size:181.58,Price: ,2.66,Tie,x
1.122080396, Sport: ,Soccer, Time: ,Tue Dec 01 15:15:00 CET 2015, Time: ,Tue Dec 01 15:15:00 CET 2015, Event: ,Kilmarnock U20 v Aberdeen U20, Favorite: ,Kilmarnock U20, 6581076   size:3.78,Price: ,1.11,Aberdeen U20, 6868317   size:3.78,Price: ,1.11,The Draw, 58805   size:14.24,Price: ,3.1,x
1.122068349, Sport: ,Basketball, Time: ,Tue Dec 01 02:00:00 CET 2015, Time: ,Tue Dec 01 02:00:00 CET 2015, Event: ,Denver @ Milwaukee, Favorite: ,Milwaukee, 13115   size:4.99,Price: ,1.58,Denver, 13124   size:4.99,Price: ,2.62,ok
1.121937611, Sport: ,Soccer, Time: ,Mon Nov 30 20:00:00 CET 2015, Time: ,Mon Nov 30 20:00:00 CET 2015, Event: ,Norwich U21 v Southampton U21, Favorite: ,Southampton U21, 6728422   size:40.59,Price: ,2.38,Norwich U21, 6667764   size:8.12,Price: ,2.44,The Draw, 58805   size:4.65,Price: ,3.5,x
1.121969605, Sport: ,Basketball, Time: ,Tue Dec 01 02:00:00 CET 2015, Time: ,Tue Dec 01 02:00:00 CET 2015, Event: ,Fresno State @ Oregon, Favorite: ,Oregon, 332209   size:2.55,Price: ,1.13,Fresno State, 719432   size:6.99,Price: ,6.6,ok
1.121925702, Sport: ,Soccer, Time: ,Mon Nov 30 20:00:00 CET 2015, Time: ,Mon Nov 30 20:00:00 CET 2015, Event: ,Breda v Telstar, Favorite: ,Breda, 48448   size:494.2,Price: ,1.6,Telstar, 67163   size:210.11,Price: ,6.0,The Draw, 58805   size:11.1,Price: ,4.7,ok
1.121927564, Sport: ,Soccer, Time: ,Mon Nov 30 19:00:00 CET 2015, Time: ,Mon Nov 30 19:00:00 CET 2015, Event: ,Fenerbahce v Trabzonspor, Favorite: ,Fenerbahce, 46726   size:138.81,Price: ,1.48,Trabzonspor, 113125   size:138.68,Price: ,9.2,The Draw, 58805   size:254.96,Price: ,4.5,ok
1.122005939, Sport: ,Ice Hockey, Time: ,Tue Dec 01 01:05:00 CET 2015, Time: ,Tue Dec 01 01:05:00 CET 2015, Event: ,Carolina @ NY Rangers, Favorite: ,NY Rangers, 60103   size:4.99,Price: ,1.99,Carolina, 2108027   size:277.0,Price: ,3.5,Tie, 60104   size:333.91,Price: ,4.1,ok
1.122081479, Sport: ,Snooker, Time: ,Mon Nov 30 20:00:00 CET 2015, Time: ,Mon Nov 30 20:00:00 CET 2015, Event: ,Michael Holt v Joe Swail, Favorite: ,Michael Holt, 2278812   size:7.3,Price: ,1.56,Joe Swail, 2280125   size:18.39,Price: ,2.64,x
1.121980445, Sport: ,Soccer, Time: ,Tue Dec 01 13:00:00 CET 2015, Time: ,Tue Dec 01 13:00:00 CET 2015, Event: ,Cherno More v Litex Lovech, Favorite: ,Litex Lovech, 927230   size:9.05,Price: ,2.42,Cherno More, 427650   size:9.06,Price: ,2.86,The Draw, 58805   size:84.74,Price: ,3.3,x
1.121969601, Sport: ,Basketball, Time: ,Tue Dec 01 01:00:00 CET 2015, Time: ,Tue Dec 01 01:00:00 CET 2015, Event: ,Alcorn State @ Indiana, Favorite: ,Indiana, 13116   size:0.0,Price: ,0.0,Alcorn State, 4353352   size:3.0,Price: ,1.04,ok
1.121967420, Sport: ,Handball, Time: ,Mon Nov 30 19:00:00 CET 2015, Time: ,Mon Nov 30 19:00:00 CET 2015, Event: ,Malmo v Redbergslids, Favorite: ,Malmo, 3374028   size:2.84,Price: ,1.03,Redbergslids, 3771721   size:2.84,Price: ,1.03,Draw, 330157   size:2.84,Price: ,1.03,ok
1.121990779, Sport: ,Ice Hockey, Time: ,Tue Dec 01 14:00:00 CET 2015, Time: ,Tue Dec 01 14:00:00 CET 2015, Event: ,Avangard v Vityaz, Favorite: ,Avangard, 2558172   size:94.0,Price: ,1.51,Vityaz, 2551763   size:30.03,Price: ,5.9,Tie, 60104   size:51.0,Price: ,5.2,ok
1.122018836, Sport: ,Basketball, Time: ,Tue Dec 01 12:35:00 CET 2015, Time: ,Tue Dec 01 12:35:00 CET 2015, Event: ,Fujian v Xinjiang, Favorite: ,Fujian, 8926905   size:3.0,Price: ,1.04,Xinjiang, 8926908   size:3.0,Price: ,1.04,ok
1.122068339, Sport: ,Basketball, Time: ,Tue Dec 01 03:00:00 CET 2015, Time: ,Tue Dec 01 03:00:00 CET 2015, Event: ,Golden State @ Utah, Favorite: ,Golden State, 13126   size:3202.67,Price: ,1.29,Utah, 13119   size:55.6,Price: ,4.3,ok
1.121967416, Sport: ,Handball, Time: ,Mon Nov 30 19:00:00 CET 2015, Time: ,Mon Nov 30 19:00:00 CET 2015, Event: ,Lugi v Karlskrona, Favorite: ,Lugi, 2930210   size:2.84,Price: ,1.03,Karlskrona, 10260449   size:2.84,Price: ,1.03,Draw, 330157   size:2.84,Price: ,1.03,ok
1.121978370, Sport: ,Soccer, Time: ,Tue Dec 01 18:00:00 CET 2015, Time: ,Tue Dec 01 18:00:00 CET 2015, Event: ,Torino v Cesena, Favorite: ,Torino, 44503   size:60.52,Price: ,1.4,Cesena, 501219   size:3.49,Price: ,9.0,The Draw, 58805   size:12.26,Price: ,4.5,ok
1.121991462, Sport: ,Ice Hockey, Time: ,Tue Dec 01 15:00:00 CET 2015, Time: ,Tue Dec 01 15:00:00 CET 2015, Event: ,Avtomobilist v Slovan Bratislava, Favorite: ,Avtomobilist, 4138395   size:59.0,Price: ,2.22,Slovan Bratislava, 1357713   size:59.0,Price: ,2.88,Tie, 60104   size:52.0,Price: ,4.0,ok
1.122068294, Sport: ,Basketball, Time: ,Mon Nov 30 19:00:00 CET 2015, Time: ,Mon Nov 30 19:00:00 CET 2015, Event: ,Zielona Gora v Kutno, Favorite: ,Kutno, 8832805   size:2.84,Price: ,1.03,Zielona Gora, 6703617   size:1029.0,Price: ,1.06,x
1.122072941, Sport: ,Soccer, Time: ,Mon Nov 30 20:30:00 CET 2015, Time: ,Mon Nov 30 20:30:00 CET 2015, Event: ,Hearts U20 v Dundee U20, Favorite: ,Hearts U20, 8981683   size:23.14,Price: ,2.02,Dundee U20, 7049332   size:54.39,Price: ,3.55,The Draw, 58805   size:38.02,Price: ,3.95,ok
1.121928005, Sport: ,Soccer, Time: ,Mon Nov 30 21:00:00 CET 2015, Time: ,Mon Nov 30 21:00:00 CET 2015, Event: ,Napoli v Inter, Favorite: ,Napoli, 676464   size:14.56,Price: ,1.71,Inter, 63347   size:1094.26,Price: ,5.6,The Draw, 58805   size:3992.78,Price: ,4.1,ok
1.121927798, Sport: ,Soccer, Time: ,Mon Nov 30 22:00:00 CET 2015, Time: ,Mon Nov 30 22:00:00 CET 2015, Event: ,Braga v Benfica, Favorite: ,Benfica, 48783   size:33.12,Price: ,2.72,Braga, 48799   size:168.34,Price: ,2.96,The Draw, 58805   size:2142.73,Price: ,3.3,ok
1.122079579, Sport: ,Soccer, Time: ,Tue Dec 01 12:00:00 CET 2015, Time: ,Tue Dec 01 12:00:00 CET 2015, Event: ,Ahmed SK v Elazigspor, Favorite: ,Ahmed SK, 10292627   size:5.95,Price: ,1.07,Elazigspor, 196063   size:5.95,Price: ,1.07,The Draw, 58805   size:14.24,Price: ,3.1,x
1.122083701, Sport: ,Snooker, Time: ,Tue Dec 01 14:00:00 CET 2015, Time: ,Tue Dec 01 14:00:00 CET 2015, Event: ,Stephen Maguire v Mark Davis, Favorite: ,Stephen Maguire, 2278793   size:4.55,Price: ,1.5,Mark Davis, 2278869   size:39.16,Price: ,2.66,ok
1.121927276, Sport: ,Soccer, Time: ,Mon Nov 30 20:30:00 CET 2015, Time: ,Mon Nov 30 20:30:00 CET 2015, Event: ,Lens v Nimes, Favorite: ,Lens, 44793   size:63.25,Price: ,1.93,Nimes, 77586   size:45.99,Price: ,4.7,The Draw, 58805   size:307.22,Price: ,3.6,ok
1.122079574, Sport: ,Soccer, Time: ,Tue Dec 01 12:00:00 CET 2015, Time: ,Tue Dec 01 12:00:00 CET 2015, Event: ,Aydinspor v Denizlispor, Favorite: ,Denizlispor, 113123   size:11.5,Price: ,2.38,Aydinspor, 7622635   size:3.94,Price: ,2.54,The Draw, 58805   size:6.19,Price: ,3.3,x
1.121982752, Sport: ,Soccer, Time: ,Tue Dec 01 14:00:00 CET 2015, Time: ,Tue Dec 01 14:00:00 CET 2015, Event: ,Israel (W) v Wales (W), Favorite: ,Wales (W), 3071928   size:2.55,Price: ,1.38,Israel (W), 5817552   size:12.55,Price: ,5.0,The Draw, 58805   size:2.55,Price: ,3.65,x
1.122068329, Sport: ,Basketball, Time: ,Tue Dec 01 01:30:00 CET 2015, Time: ,Tue Dec 01 01:30:00 CET 2015, Event: ,Houston @ Detroit, Favorite: ,Detroit, 13111   size:32.68,Price: ,1.58,Houston, 13123   size:13.05,Price: ,2.66,ok
1.121982085, Sport: ,Soccer, Time: ,Tue Dec 01 13:30:00 CET 2015, Time: ,Tue Dec 01 13:30:00 CET 2015, Event: ,Ittihad Al Ramtha v Al Teeba, Favorite: ,Ittihad Al Ramtha, 8149517   size:3.78,Price: ,1.11,Al Teeba, 8875656   size:3.78,Price: ,1.11,The Draw, 58805   size:14.24,Price: ,3.1,x
1.122068288, Sport: ,Basketball, Time: ,Mon Nov 30 19:04:00 CET 2015, Time: ,Mon Nov 30 19:04:00 CET 2015, Event: ,Umea v Sundsvall, Favorite: ,Sundsvall, 1309741   size:1370.33,Price: ,1.14,Umea, 8781147   size:39.26,Price: ,6.0,ok
1.121927901, Sport: ,Soccer, Time: ,Mon Nov 30 19:00:00 CET 2015, Time: ,Mon Nov 30 19:00:00 CET 2015, Event: ,Sassuolo v Fiorentina, Favorite: ,Fiorentina, 676467   size:4.77,Price: ,2.14,Sassuolo, 2013140   size:1981.92,Price: ,4.0,The Draw, 58805   size:195.71,Price: ,3.45,x
1.122079229, Sport: ,Soccer, Time: ,Tue Dec 01 17:00:00 CET 2015, Time: ,Tue Dec 01 17:00:00 CET 2015, Event: ,Bursaspor v Usakspor, Favorite: ,Bursaspor, 113183   size:3.78,Price: ,1.11,Usakspor, 965423   size:21.0,Price: ,32.0,The Draw, 58805   size:3.56,Price: ,9.0,ok
1.122073884, Sport: ,Soccer, Time: ,Mon Nov 30 20:45:00 CET 2015, Time: ,Mon Nov 30 20:45:00 CET 2015, Event: ,Thamesmead Town FC v Heybridge Swifts FC, Favorite: ,Thamesmead Town FC, 7794920   size:3.24,Price: ,1.48,Heybridge Swifts FC, 10575595   size:2.55,Price: ,4.9,The Draw, 58805   size:4.02,Price: ,4.4,x
1.122079227, Sport: ,Soccer, Time: ,Tue Dec 01 14:30:00 CET 2015, Time: ,Tue Dec 01 14:30:00 CET 2015, Event: ,Osmanlispor v Tepecikspor, Favorite: ,Osmanlispor, 8854605   size:2.55,Price: ,1.29,Tepecikspor, 6641628   size:5.14,Price: ,7.0,The Draw, 58805   size:7.91,Price: ,4.6,x
1.122083711, Sport: ,Snooker, Time: ,Mon Nov 30 20:00:00 CET 2015, Time: ,Mon Nov 30 20:00:00 CET 2015, Event: ,Jamie Jones v Mark Selby, Favorite: ,Mark Selby, 2280127   size:5075.35,Price: ,1.24,Jamie Jones, 3502366   size:69.17,Price: ,4.9,ok
1.122079225, Sport: ,Soccer, Time: ,Tue Dec 01 12:00:00 CET 2015, Time: ,Tue Dec 01 12:00:00 CET 2015, Event: ,Erzincan Refahiyespor v Antalyaspor, Favorite: ,Antalyaspor, 113188   size:3.78,Price: ,1.11,Erzincan Refahiyespor, 7688023   size:8.06,Price: ,2.12,The Draw, 58805   size:14.24,Price: ,3.1,x
1.122005950, Sport: ,Ice Hockey, Time: ,Tue Dec 01 04:05:00 CET 2015, Time: ,Tue Dec 01 04:05:00 CET 2015, Event: ,Vancouver @ Anaheim, Favorite: ,Anaheim, 60109   size:19.07,Price: ,2.38,Vancouver, 2109691   size:99.21,Price: ,2.88,Tie, 60104   size:118.0,Price: ,4.0,ok
