1.119865391, Sport: ,Soccer, Time: ,Wed Aug 12 20:30:00 CEST 2015, Time: ,Wed Aug 12 20:30:00 CEST 2015, Event: ,Dessel Sport v Antwerp, Favorite: ,Antwerp, 3247346   size:200.0,Price: ,2.08,The Draw, 58805   size:18.81,Price: ,3.65,Dessel Sport, 6587029   size:9.66,Price: ,3.9,ok
1.119867540, Sport: ,Soccer, Time: ,Wed Aug 12 20:30:00 CEST 2015, Time: ,Wed Aug 12 20:30:00 CEST 2015, Event: ,Luzern v St Gallen, Favorite: ,Luzern, 65784   size:45.61,Price: ,1.86,The Draw, 58805   size:21.18,Price: ,4.1,St Gallen, 6392   size:244.03,Price: ,4.4,x
1.119967708, Sport: ,Soccer, Time: ,Wed Aug 12 23:30:00 CEST 2015, Time: ,Wed Aug 12 23:30:00 CEST 2015, Event: ,Mineros Guayana v Diamantes de Guayana, Favorite: ,Mineros Guayana, 7456728   size:6.0,Price: ,1.24,The Draw, 58805   size:13.24,Price: ,2.56,Diamantes de Guayana, 9989677   size:6.0,Price: ,5.1,ok
1.119866698, Sport: ,Soccer, Time: ,Wed Aug 12 16:30:00 CEST 2015, Time: ,Wed Aug 12 16:30:00 CEST 2015, Event: ,CS Uni Craiova v Viitorul Constanta, Favorite: ,CS Uni Craiova, 7615862   size:142.04,Price: ,1.9,The Draw, 58805   size:5.31,Price: ,3.5,Viitorul Constanta, 5431165   size:21.77,Price: ,5.1,x
1.119868116, Sport: ,Soccer, Time: ,Wed Aug 12 19:00:00 CEST 2015, Time: ,Wed Aug 12 19:00:00 CEST 2015, Event: ,Gefle v Elfsborg, Favorite: ,Elfsborg, 30684   size:507.34,Price: ,1.89,The Draw, 58805   size:271.95,Price: ,3.75,Gefle, 151470   size:364.7,Price: ,4.7,ok
1.119864706, Sport: ,Soccer, Time: ,Wed Aug 12 19:30:00 CEST 2015, Time: ,Wed Aug 12 19:30:00 CEST 2015, Event: ,Bnei Sakhnin v Hapoel Kiryat Shmona, Favorite: ,Hapoel Kiryat Shmona, 5538497   size:2.57,Price: ,1.91,The Draw, 58805   size:47.91,Price: ,3.3,Bnei Sakhnin, 3157354   size:48.64,Price: ,4.6,ok
1.119970876, Sport: ,Tennis, Time: ,Wed Aug 12 22:45:00 CEST 2015, Time: ,Wed Aug 12 22:45:00 CEST 2015, Event: ,Murray/Peers v Murray/Paes, Favorite: ,Murray/Peers, 7191922   size:2.55,Price: ,1.61,Murray/Paes, 10138987   size:2.15,Price: ,2.32,ok
1.119967313, Sport: ,Soccer, Time: ,Wed Aug 12 17:30:00 CEST 2015, Time: ,Wed Aug 12 17:30:00 CEST 2015, Event: ,Lokomotiv Sofia v FC Septemvri (Sofia), Favorite: ,Lokomotiv Sofia, 1255223   size:3.33,Price: ,1.21,The Draw, 58805   size:2.13,Price: ,1.26,FC Septemvri (Sofia), 10143712   size:5.97,Price: ,1.37,x
1.119968682, Sport: ,Soccer, Time: ,Wed Aug 12 19:50:00 CEST 2015, Time: ,Wed Aug 12 19:50:00 CEST 2015, Event: ,Hapoel Beer Sheva v Beitar Jerusalem, Favorite: ,Hapoel Beer Sheva, 844519   size:19.44,Price: ,1.84,The Draw, 58805   size:23.58,Price: ,3.55,Beitar Jerusalem, 1169738   size:11.27,Price: ,4.6,ok
1.119967990, Sport: ,Soccer, Time: ,Wed Aug 12 18:00:00 CEST 2015, Time: ,Wed Aug 12 18:00:00 CEST 2015, Event: ,JK Tallinna Kalev II v Tallinna FC Flora III, Favorite: ,Tallinna FC Flora III, 7236834   size:140.0,Price: ,1.06,The Draw, 58805   size:3.24,Price: ,1.27,x
1.119985124, Sport: ,Tennis, Time: ,Wed Aug 12 18:30:00 CEST 2015, Time: ,Wed Aug 12 18:30:00 CEST 2015, Event: ,Youzhny v G Simon, Favorite: ,Gilles Simon, 2249345   size:1095.68,Price: ,1.28,Mikhail Youzhny, 2263536   size:455.53,Price: ,4.4,x
1.119864198, Sport: ,Soccer, Time: ,Wed Aug 12 19:00:00 CEST 2015, Time: ,Wed Aug 12 19:00:00 CEST 2015, Event: ,Brann v Asane, Favorite: ,Brann, 31317   size:76.78,Price: ,1.51,The Draw, 58805   size:10.99,Price: ,4.7,Asane, 152573   size:11.7,Price: ,7.2,x
