1.122184901, Sport: ,Soccer, Time: ,Tue Dec 08 21:30:00 CET 2015, Time: ,Tue Dec 08 21:30:00 CET 2015, Event: ,CD La Laguna (W) v CD Llano del Moro (W), Favorite: ,CD La Laguna (W), 10503763   size:3.68,Price: ,1.11,CD Llano del Moro (W), 10284523   size:3.68,Price: ,1.11,The Draw, 58805   size:22.2,Price: ,3.15,x
1.122111909, Sport: ,Ice Hockey, Time: ,Tue Dec 08 10:30:00 CET 2015, Time: ,Tue Dec 08 10:30:00 CET 2015, Event: ,Amur v Barys, Favorite: ,Barys, 3328562   size:69.0,Price: ,2.36,Amur, 2240061   size:69.0,Price: ,2.64,Tie, 60104   size:69.0,Price: ,4.2,x
1.122180667, Sport: ,Handball, Time: ,Tue Dec 08 16:00:00 CET 2015, Time: ,Tue Dec 08 16:00:00 CET 2015, Event: ,Russia v Puerto Rico, Favorite: ,Russia, 602689   size:0.0,Price: ,0.0,Puerto Rico, 9978204   size:50.0,Price: ,1000.0,Draw, 330157   size:2.68,Price: ,110.0,ok
1.122184239, Sport: ,Soccer, Time: ,Tue Dec 08 17:40:00 CET 2015, Time: ,Tue Dec 08 17:40:00 CET 2015, Event: ,Al Qadsia v Kazma SC, Favorite: ,Al Qadsia, 2909647   size:18.0,Price: ,1.21,Kazma SC, 4400662   size:18.0,Price: ,2.04,The Draw, 58805   size:15.0,Price: ,3.2,x
1.122184514, Sport: ,Soccer, Time: ,Tue Dec 08 20:00:00 CET 2015, Time: ,Tue Dec 08 20:00:00 CET 2015, Event: ,Avai U20 v Internacional U20, Favorite: ,Avai U20, 5181429   size:41.63,Price: ,1.63,Internacional U20, 6006866   size:41.63,Price: ,1.63,The Draw, 58805   size:210.67,Price: ,3.25,x
1.122098456, Sport: ,Soccer, Time: ,Tue Dec 08 12:00:00 CET 2015, Time: ,Tue Dec 08 12:00:00 CET 2015, Event: ,UD Samano v Castro FC, Favorite: ,Castro FC, 6343346   size:3.68,Price: ,1.11,UD Samano, 10263134   size:7.58,Price: ,2.2,The Draw, 58805   size:40.0,Price: ,3.3,x
1.122185966, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Merthyr Town v Bideford, Favorite: ,Merthyr Town, 8749416   size:15.81,Price: ,1.42,Bideford, 3689134   size:3.01,Price: ,5.6,The Draw, 58805   size:10.6,Price: ,4.0,ok
1.122186408, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Rushall Olympic v Grantham Town, Favorite: ,Rushall Olympic, 2608907   size:2.78,Price: ,1.99,Grantham Town, 6770558   size:8.07,Price: ,2.94,The Draw, 58805   size:11.42,Price: ,3.6,ok
1.122185567, Sport: ,Soccer, Time: ,Tue Dec 08 11:30:00 CET 2015, Time: ,Tue Dec 08 11:30:00 CET 2015, Event: ,Guardian Angel FC v Churchill Brothers, Favorite: ,Churchill Brothers, 4484783   size:40.0,Price: ,1.21,Guardian Angel FC, 10601391   size:10.0,Price: ,5.0,The Draw, 58805   size:10.0,Price: ,4.0,ok
1.121970280, Sport: ,American Football, Time: ,Tue Dec 08 02:30:00 CET 2015, Time: ,Tue Dec 08 02:30:00 CET 2015, Event: ,Dallas @ Washington, Favorite: ,Washington Redskins, 50187   size:384.42,Price: ,1.74,Dallas Cowboys, 50189   size:1289.64,Price: ,2.32,x
1.122185289, Sport: ,Soccer, Time: ,Tue Dec 08 19:00:00 CET 2015, Time: ,Tue Dec 08 19:00:00 CET 2015, Event: ,Dundee U20 v St Mirren U20, Favorite: ,Dundee U20, 7049332   size:3.68,Price: ,1.11,St Mirren U20, 6734302   size:3.68,Price: ,1.11,The Draw, 58805   size:18.04,Price: ,3.1,ok
