1.121336622, Sport: ,Tennis, Time: ,Sun Oct 18 14:30:00 CEST 2015, Time: ,Sun Oct 18 14:30:00 CEST 2015, Event: ,Torebko v Marterer, Favorite: ,Maximilian Marterer, 7335940   size:91.65,Price: ,1.27,Peter Torebko, 5829498   size:52.87,Price: ,3.2,ok
1.121315356, Sport: ,Soccer, Time: ,Sun Oct 18 14:00:00 CEST 2015, Time: ,Sun Oct 18 14:00:00 CEST 2015, Event: ,Nacional SP v Penapolense, Favorite: ,Nacional SP, 9993174   size:3.52,Price: ,1.07,Penapolense, 6973282   size:3.52,Price: ,1.07,The Draw, 58805   size:2.72,Price: ,3.05,x
1.121166390, Sport: ,Soccer, Time: ,Mon Oct 19 00:00:00 CEST 2015, Time: ,Mon Oct 19 00:00:00 CEST 2015, Event: ,Guadalajara v Puebla, Favorite: ,Guadalajara, 230909   size:604.26,Price: ,2.12,Puebla, 328956   size:54.27,Price: ,3.8,The Draw, 58805   size:170.22,Price: ,3.45,x
1.121334330, Sport: ,Tennis, Time: ,Sun Oct 18 12:30:00 CEST 2015, Time: ,Sun Oct 18 12:30:00 CEST 2015, Event: ,Lajovic v Tursunov, Favorite: ,Dusan Lajovic, 4688724   size:5.72,Price: ,1.39,Dmitry Tursunov, 2256471   size:8.11,Price: ,2.96,ok
1.121171500, Sport: ,Soccer, Time: ,Sun Oct 18 15:00:00 CEST 2015, Time: ,Sun Oct 18 15:00:00 CEST 2015, Event: ,Mantova v Lumezzane, Favorite: ,Mantova, 924269   size:3.83,Price: ,1.97,Lumezzane, 522043   size:3.54,Price: ,3.9,The Draw, 58805   size:4.55,Price: ,3.1,ok
1.121322326, Sport: ,Soccer, Time: ,Sun Oct 18 11:30:00 CEST 2015, Time: ,Sun Oct 18 11:30:00 CEST 2015, Event: ,Ath Bilbao II (W) v CDEF Logrono (W), Favorite: ,Ath Bilbao II (W), 8278781   size:10.57,Price: ,1.22,CDEF Logrono (W), 10428910   size:10.57,Price: ,1.22,The Draw, 58805   size:10.57,Price: ,3.1,x
1.121322205, Sport: ,Soccer, Time: ,Sun Oct 18 15:30:00 CEST 2015, Time: ,Sun Oct 18 15:30:00 CEST 2015, Event: ,Glasgow City (W) v Aberdeen (W), Favorite: ,Glasgow City (W), 7764369   size:2.74,Price: ,1.09,Aberdeen (W), 8635135   size:5.72,Price: ,1.16,The Draw, 58805   size:4.99,Price: ,3.1,ok
1.121329664, Sport: ,Tennis, Time: ,Sun Oct 18 20:00:00 CEST 2015, Time: ,Sun Oct 18 20:00:00 CEST 2015, Event: ,Battistone v Ph Simmonds, Favorite: ,Phillip Simmonds, 2330535   size:3.52,Price: ,1.07,Brian Battistone, 4568060   size:7.75,Price: ,6.8,ok
1.121327457, Sport: ,Soccer, Time: ,Sun Oct 18 22:00:00 CEST 2015, Time: ,Sun Oct 18 22:00:00 CEST 2015, Event: ,Zulia v Deportivo Lara, Favorite: ,Zulia, 8018679   size:2.1,Price: ,2.38,Deportivo Lara, 4908157   size:8.6,Price: ,2.92,The Draw, 58805   size:4.33,Price: ,3.05,x
1.121164416, Sport: ,Soccer, Time: ,Sun Oct 18 09:30:00 CEST 2015, Time: ,Sun Oct 18 09:30:00 CEST 2015, Event: ,Tai Chung v Kwun Tong FA, Favorite: ,Tai Chung, 5236529   size:9.3,Price: ,2.14,Kwun Tong FA, 8923493   size:31.25,Price: ,2.6,The Draw, 58805   size:3.63,Price: ,4.0,ok
1.121330899, Sport: ,Tennis, Time: ,Sun Oct 18 10:00:00 CEST 2015, Time: ,Sun Oct 18 10:00:00 CEST 2015, Event: ,R Barbosa v Marsalek, Favorite: ,Romain Barbosa, 8490661   size:10.22,Price: ,1.67,James Marsalek, 8326210   size:6.8,Price: ,2.1,ok
1.121324980, Sport: ,Basketball, Time: ,Sun Oct 18 17:00:00 CEST 2015, Time: ,Sun Oct 18 17:00:00 CEST 2015, Event: ,Siauliai v Dzukija, Favorite: ,Siauliai, 647319   size:8.22,Price: ,1.03,Dzukija, 7817720   size:8.22,Price: ,1.03,ok
1.121083778, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Villarreal v Celta Vigo, Favorite: ,Villarreal, 28191   size:867.65,Price: ,2.12,Celta Vigo, 66483   size:18.0,Price: ,3.9,The Draw, 58805   size:185.71,Price: ,3.6,x
1.121333487, Sport: ,Tennis, Time: ,Sun Oct 18 13:00:00 CEST 2015, Time: ,Sun Oct 18 13:00:00 CEST 2015, Event: ,Doumbia v A Penaud, Favorite: ,Sadio Doumbia, 8475978   size:6.16,Price: ,1.04,Alexandre Penaud, 7444826   size:6.16,Price: ,1.04,ok
