1.122099712, Sport: ,Basketball, Time: ,Thu Dec 03 20:30:00 CET 2015, Time: ,Thu Dec 03 20:30:00 CET 2015, Event: ,Famila Schio (W) v Fenerbahce (W), Favorite: ,Famila Schio (W), 7137850   size:2.76,Price: ,1.03,Fenerbahce (W), 5290908   size:2.76,Price: ,1.03,x
1.122006729, Sport: ,Soccer, Time: ,Fri Dec 04 18:00:00 CET 2015, Time: ,Fri Dec 04 18:00:00 CET 2015, Event: ,Senegal v Zambia U23, Favorite: ,Senegal, 64983   size:6.72,Price: ,1.06,Zambia U23, 10559733   size:5.96,Price: ,1.29,The Draw, 58805   size:15.22,Price: ,3.1,ok
1.122115964, Sport: ,Soccer, Time: ,Fri Dec 04 19:30:00 CET 2015, Time: ,Fri Dec 04 19:30:00 CET 2015, Event: ,Heerenveen (W) v Ajax (W), Favorite: ,Ajax (W), 8814626   size:91.71,Price: ,1.22,Heerenveen (W), 5279477   size:29.34,Price: ,5.7,The Draw, 58805   size:38.19,Price: ,4.4,ok
1.122116019, Sport: ,Soccer, Time: ,Fri Dec 04 16:30:00 CET 2015, Time: ,Fri Dec 04 16:30:00 CET 2015, Event: ,Umm Salal v Al Arabi, Favorite: ,Umm Salal, 5174707   size:8.79,Price: ,2.18,Al Arabi, 3922362   size:8.76,Price: ,2.26,The Draw, 58805   size:2.55,Price: ,3.5,x
1.122114634, Sport: ,Soccer, Time: ,Fri Dec 04 13:50:00 CET 2015, Time: ,Fri Dec 04 13:50:00 CET 2015, Event: ,Al Wahda (Abu Dhabi) v Al Dhafra, Favorite: ,Al Wahda (Abu Dhabi), 6132829   size:3.3,Price: ,1.45,Al Dhafra, 3584581   size:4.76,Price: ,7.0,The Draw, 58805   size:4.06,Price: ,3.6,ok
1.122097133, Sport: ,Ice Hockey, Time: ,Fri Dec 04 19:45:00 CET 2015, Time: ,Fri Dec 04 19:45:00 CET 2015, Event: ,Rungsted v Esbjerg, Favorite: ,Esbjerg, 70633   size:38.05,Price: ,1.96,Rungsted, 70625   size:38.05,Price: ,2.68,Tie, 60104   size:38.05,Price: ,4.6,x
1.122115686, Sport: ,Soccer, Time: ,Fri Dec 04 16:30:00 CET 2015, Time: ,Fri Dec 04 16:30:00 CET 2015, Event: ,Shabab Al Ordon v Al Buqaa, Favorite: ,Shabab Al Ordon, 4692621   size:4.09,Price: ,1.77,Al Buqaa, 10428791   size:3.3,Price: ,3.65,The Draw, 58805   size:3.41,Price: ,3.2,ok
1.122057186, Sport: ,Cricket, Time: ,Fri Dec 04 17:00:00 CET 2015, Time: ,Fri Dec 04 17:00:00 CET 2015, Event: ,Titans v Lions, Favorite: ,Titans, 1254317   size:138.38,Price: ,1.51,Lions, 4294272   size:3.0,Price: ,2.84,ok
1.122116240, Sport: ,Soccer, Time: ,Fri Dec 04 17:00:00 CET 2015, Time: ,Fri Dec 04 17:00:00 CET 2015, Event: ,Ceahlaul v Academica Clinceni, Favorite: ,Academica Clinceni, 10292565   size:7.55,Price: ,1.3,Ceahlaul, 1557295   size:2.55,Price: ,4.9,The Draw, 58805   size:2.55,Price: ,3.55,ok
1.122092900, Sport: ,Basketball, Time: ,Thu Dec 03 23:30:00 CET 2015, Time: ,Thu Dec 03 23:30:00 CET 2015, Event: ,Cearense v Macae, Favorite: ,Cearense, 8948837   size:3.63,Price: ,1.43,Macae, 8948843   size:26.15,Price: ,3.15,ok
1.122092624, Sport: ,Ice Hockey, Time: ,Fri Dec 04 17:30:00 CET 2015, Time: ,Fri Dec 04 17:30:00 CET 2015, Event: ,HIFK v HPK, Favorite: ,HIFK, 66428   size:104.0,Price: ,1.46,HPK, 66424   size:70.0,Price: ,5.7,Tie, 60104   size:70.0,Price: ,5.7,ok
1.122096825, Sport: ,Basketball, Time: ,Fri Dec 04 01:35:00 CET 2015, Time: ,Fri Dec 04 01:35:00 CET 2015, Event: ,Denver @ Toronto, Favorite: ,Toronto, 13113   size:16.91,Price: ,1.23,Denver, 13124   size:5.88,Price: ,5.1,x
1.122099819, Sport: ,Ice Hockey, Time: ,Fri Dec 04 19:30:00 CET 2015, Time: ,Fri Dec 04 19:30:00 CET 2015, Event: ,Nurnberg v Hamburg, Favorite: ,Nurnberg, 1032175   size:96.99,Price: ,1.78,Hamburg, 1031535   size:56.99,Price: ,3.4,Tie, 60104   size:51.0,Price: ,5.0,x
1.122092629, Sport: ,Ice Hockey, Time: ,Fri Dec 04 17:30:00 CET 2015, Time: ,Fri Dec 04 17:30:00 CET 2015, Event: ,JYP v KalPa, Favorite: ,JYP, 66423   size:93.0,Price: ,2.54,KalPa, 275250   size:93.0,Price: ,2.58,Tie, 60104   size:52.0,Price: ,3.85,x
1.122096795, Sport: ,Basketball, Time: ,Fri Dec 04 18:00:00 CET 2015, Time: ,Fri Dec 04 18:00:00 CET 2015, Event: ,Lokomotiv Kuban v Zielona Gora, Favorite: ,Lokomotiv Kuban, 5508059   size:2.55,Price: ,1.06,Zielona Gora, 6703617   size:253.96,Price: ,3.25,x
