1.121849174, Sport: ,Tennis, Time: ,Wed Nov 18 05:00:00 CET 2015, Time: ,Wed Nov 18 05:00:00 CET 2015, Event: ,Lee v Sema, Favorite: ,Erika Sema, 4151738   size:2.64,Price: ,1.68,So Ra Lee, 6670618   size:5.34,Price: ,2.2,ok
1.121849175, Sport: ,Tennis, Time: ,Wed Nov 18 05:00:00 CET 2015, Time: ,Wed Nov 18 05:00:00 CET 2015, Event: ,Okuno v Glatch, Favorite: ,Alexa Glatch, 2481491   size:2.55,Price: ,1.19,Ayaka Okuno, 7750096   size:2.55,Price: ,5.3,x
1.121849177, Sport: ,Tennis, Time: ,Wed Nov 18 03:15:00 CET 2015, Time: ,Wed Nov 18 03:15:00 CET 2015, Event: ,Caregaro v Hibi, Favorite: ,Mayo Hibi, 7594221   size:2.55,Price: ,1.37,Martina Caregaro, 4845690   size:6.11,Price: ,3.35,ok
1.121860404, Sport: ,Tennis, Time: ,Wed Nov 18 03:45:00 CET 2015, Time: ,Wed Nov 18 03:45:00 CET 2015, Event: ,Du Lee v Soeda, Favorite: ,Go Soeda, 2249835   size:7.28,Price: ,1.39,Duckhee Lee, 8505197   size:22.3,Price: ,3.15,ok
1.121849171, Sport: ,Tennis, Time: ,Wed Nov 18 02:00:00 CET 2015, Time: ,Wed Nov 18 02:00:00 CET 2015, Event: ,Hibino v Sawayanagi, Favorite: ,Nao Hibino, 7683152   size:11.34,Price: ,1.22,Riko Sawayanagi, 8839049   size:25.02,Price: ,5.0,x
1.121753389, Sport: ,Soccer, Time: ,Tue Nov 17 20:45:00 CET 2015, Time: ,Tue Nov 17 20:45:00 CET 2015, Event: ,Worcester v Boston Utd, Favorite: ,Boston Utd, 256306   size:29.92,Price: ,2.56,Worcester, 1034121   size:3.0,Price: ,2.7,The Draw, 58805   size:47.52,Price: ,3.9,x
1.121753387, Sport: ,Soccer, Time: ,Tue Nov 17 20:45:00 CET 2015, Time: ,Tue Nov 17 20:45:00 CET 2015, Event: ,Stalybridge v Corby Town, Favorite: ,Stalybridge, 597720   size:14.74,Price: ,1.88,Corby Town, 2608898   size:201.36,Price: ,4.5,The Draw, 58805   size:24.43,Price: ,3.95,x
1.121847677, Sport: ,Soccer, Time: ,Tue Nov 17 20:45:00 CET 2015, Time: ,Tue Nov 17 20:45:00 CET 2015, Event: ,Salford City v Mickleover Sports, Favorite: ,Salford City, 4236580   size:9.21,Price: ,1.37,Mickleover Sports, 7886720   size:5.05,Price: ,7.4,The Draw, 58805   size:8.12,Price: ,5.8,x
1.121842023, Sport: ,Basketball, Time: ,Wed Nov 18 01:35:00 CET 2015, Time: ,Wed Nov 18 01:35:00 CET 2015, Event: ,Minnesota @ Miami, Favorite: ,Miami, 13109   size:14.05,Price: ,1.25,Minnesota, 13118   size:23.32,Price: ,4.9,x
1.121847955, Sport: ,Soccer, Time: ,Tue Nov 17 21:00:00 CET 2015, Time: ,Tue Nov 17 21:00:00 CET 2015, Event: ,Cove Rangers v Fraserburgh, Favorite: ,Cove Rangers, 284608   size:11.28,Price: ,1.14,Fraserburgh, 2214945   size:10.98,Price: ,5.0,The Draw, 58805   size:10.21,Price: ,4.0,x
1.121841972, Sport: ,Basketball, Time: ,Wed Nov 18 01:35:00 CET 2015, Time: ,Wed Nov 18 01:35:00 CET 2015, Event: ,Atlanta @ Brooklyn, Favorite: ,Atlanta, 13114   size:68.64,Price: ,1.54,Brooklyn, 6758557   size:64.0,Price: ,2.78,x
1.121857073, Sport: ,American Football, Time: ,Wed Nov 18 01:00:00 CET 2015, Time: ,Wed Nov 18 01:00:00 CET 2015, Event: ,Ball State @ Ohio, Favorite: ,Ohio, 2205296   size:5.0,Price: ,1.32,Ball State, 2162783   size:2.78,Price: ,3.8,ok
1.121786632, Sport: ,Volleyball, Time: ,Tue Nov 17 20:30:00 CET 2015, Time: ,Tue Nov 17 20:30:00 CET 2015, Event: ,Paris Volley v Dinamo Moscow, Favorite: ,Dinamo Moscow, 1288570   size:2.55,Price: ,1.16,Paris Volley, 2105805   size:2.0,Price: ,6.0,x
1.121846903, Sport: ,Soccer, Time: ,Tue Nov 17 19:00:00 CET 2015, Time: ,Tue Nov 17 19:00:00 CET 2015, Event: ,Dunfermline U20 v Hamilton U20, Favorite: ,Hamilton U20, 6645665   size:46.16,Price: ,1.56,Dunfermline U20, 6791592   size:41.8,Price: ,8.8,The Draw, 58805   size:198.02,Price: ,3.8,ok
1.121768644, Sport: ,Ice Hockey, Time: ,Tue Nov 17 19:00:00 CET 2015, Time: ,Tue Nov 17 19:00:00 CET 2015, Event: ,Lorenskog v Stavanger, Favorite: ,Lorenskog, 61424   size:2.86,Price: ,1.03,Stavanger, 518241   size:2.86,Price: ,1.03,Tie, 60104   size:2.86,Price: ,1.03,ok
1.121849180, Sport: ,Tennis, Time: ,Wed Nov 18 03:15:00 CET 2015, Time: ,Wed Nov 18 03:15:00 CET 2015, Event: ,Eguchi v Shapatava, Favorite: ,Misa Eguchi, 6145788   size:13.46,Price: ,1.37,Sofia Shapatava, 3375695   size:4.67,Price: ,3.1,x
1.121752726, Sport: ,Soccer, Time: ,Tue Nov 17 19:00:00 CET 2015, Time: ,Tue Nov 17 19:00:00 CET 2015, Event: ,Wales U21 v Romania U21, Favorite: ,Wales U21, 233650   size:4.59,Price: ,2.3,Romania U21, 210061   size:38.74,Price: ,3.4,The Draw, 58805   size:26.56,Price: ,3.35,x
1.121748467, Sport: ,Ice Hockey, Time: ,Tue Nov 17 19:15:00 CET 2015, Time: ,Tue Nov 17 19:15:00 CET 2015, Event: ,KAC Klagenfurt v Graz 99ers, Favorite: ,KAC Klagenfurt, 1348429   size:2.86,Price: ,1.03,Graz 99ers, 748396   size:2.86,Price: ,1.03,Tie, 60104   size:2.86,Price: ,1.03,ok
1.121849166, Sport: ,Tennis, Time: ,Wed Nov 18 03:45:00 CET 2015, Time: ,Wed Nov 18 03:45:00 CET 2015, Event: ,Sugita v Shiga, Favorite: ,Yuichi Sugita, 3374117   size:14.29,Price: ,1.03,Masato Shiga, 8505205   size:14.05,Price: ,18.0,ok
