1.119555173, Sport: ,Soccer, Time: ,Sun Jul 26 17:20:00 CEST 2015, Time: ,Sun Jul 26 17:20:00 CEST 2015, Event: ,Arsenal v Wolfsburg, Favorite: ,Arsenal, 1096   size:2103.6,Price: ,1.69,The Draw, 58805   size:196.39,Price: ,4.3,Wolfsburg, 44521   size:49.92,Price: ,5.4,ok
1.119560084, Sport: ,Soccer, Time: ,Sun Jul 26 15:00:00 CEST 2015, Time: ,Sun Jul 26 15:00:00 CEST 2015, Event: ,Chiasso v Schaffhausen, Favorite: ,Schaffhausen, 328835   size:77.7,Price: ,2.46,Chiasso, 457842   size:70.31,Price: ,3.05,The Draw, 58805   size:46.62,Price: ,3.45,x
1.119646504, Sport: ,Soccer, Time: ,Sun Jul 26 17:00:00 CEST 2015, Time: ,Sun Jul 26 17:00:00 CEST 2015, Event: ,LKS Lomza v Chrobry Glogow, Favorite: ,Chrobry Glogow, 5822815   size:4.38,Price: ,1.63,The Draw, 58805   size:2.14,Price: ,3.35,LKS Lomza, 10018484   size:71.66,Price: ,3.7,x
1.119676947, Sport: ,Soccer, Time: ,Sun Jul 26 21:00:00 CEST 2015, Time: ,Sun Jul 26 21:00:00 CEST 2015, Event: ,Sao Caetano v Foz do Iguacu, Favorite: ,Foz do Iguacu, 9176374   size:217.6,Price: ,1.01,The Draw, 58805   size:5.65,Price: ,1.25,x
1.119595733, Sport: ,Soccer, Time: ,Sun Jul 26 18:30:00 CEST 2015, Time: ,Sun Jul 26 18:30:00 CEST 2015, Event: ,Oleksandria v Metalurg Z, Favorite: ,Oleksandria, 5618507   size:34.78,Price: ,1.8,The Draw, 58805   size:2.81,Price: ,3.5,Metalurg Z, 489141   size:3.53,Price: ,5.8,ok
1.119498059, Sport: ,Gaelic Games, Time: ,Sun Jul 26 17:00:00 CEST 2015, Time: ,Sun Jul 26 17:00:00 CEST 2015, Event: ,Cork v Galway, Favorite: ,Cork, 971621   size:424.23,Price: ,2.02,Galway, 971624   size:116.1,Price: ,2.28,Draw, 1055557   size:39.0,Price: ,12.5,x
1.119498057, Sport: ,Gaelic Games, Time: ,Sun Jul 26 15:00:00 CEST 2015, Time: ,Sun Jul 26 15:00:00 CEST 2015, Event: ,Waterford v Dublin, Favorite: ,Waterford, 971622   size:36.36,Price: ,1.54,Dublin, 971629   size:141.34,Price: ,3.5,Draw, 1055557   size:9.38,Price: ,13.5,ok
1.119610798, Sport: ,Soccer, Time: ,Sun Jul 26 23:15:00 CEST 2015, Time: ,Sun Jul 26 23:15:00 CEST 2015, Event: ,Huracan v Estudiantes, Favorite: ,Estudiantes, 194509   size:2.41,Price: ,2.54,The Draw, 58805   size:92.53,Price: ,3.05,Huracan, 194507   size:6.07,Price: ,3.35,x
1.119680665, Sport: ,Soccer, Time: ,Sun Jul 26 19:00:00 CEST 2015, Time: ,Sun Jul 26 19:00:00 CEST 2015, Event: ,FC Cartagena v Villarreal B, Favorite: ,Villarreal B, 2522842   size:5.65,Price: ,2.18,FC Cartagena, 5740008   size:4.47,Price: ,2.76,The Draw, 58805   size:3.73,Price: ,3.3,ok
1.119682845, Sport: ,Soccer, Time: ,Sun Jul 26 15:30:00 CEST 2015, Time: ,Sun Jul 26 15:30:00 CEST 2015, Event: ,Glasgow City (W) v Celtic (W), Favorite: ,Glasgow City (W), 7764369   size:3.56,Price: ,1.01,The Draw, 58805   size:5.65,Price: ,1.25,Celtic (W), 8635132   size:75.61,Price: ,1.5,ok
