1.120149939, Sport: ,Soccer, Time: ,Sat Aug 29 00:30:00 CEST 2015, Time: ,Sat Aug 29 00:30:00 CEST 2015, Event: ,America MG v Luverdense, Favorite: ,America MG, 4516149   size:307.64,Price: ,1.48,The Draw, 58805   size:37.14,Price: ,4.7,Luverdense, 4525645   size:72.07,Price: ,8.6,
1.120305154, Sport: ,Tennis, Time: ,Sat Aug 29 01:00:00 CEST 2015, Time: ,Sat Aug 29 01:00:00 CEST 2015, Event: ,Wozniacki v Kvitova, Favorite: ,Caroline Wozniacki, 2309522   size:2457.62,Price: ,1.81,Petra Kvitova, 2497008   size:2684.24,Price: ,2.22,
1.120305338, Sport: ,Tennis, Time: ,Sat Aug 29 01:00:00 CEST 2015, Time: ,Sat Aug 29 01:00:00 CEST 2015, Event: ,Jaziri v K Anderson, Favorite: ,Kevin Anderson, 2519549   size:6954.13,Price: ,1.18,Malek Jaziri, 5776215   size:385.41,Price: ,6.4,
1.120285321, Sport: ,Soccer, Time: ,Sat Aug 29 01:00:00 CEST 2015, Time: ,Sat Aug 29 01:00:00 CEST 2015, Event: ,Club Santos Laguna U20 v Pumas UNAM U20, Favorite: ,Club Santos Laguna U20, 6144871   size:140.0,Price: ,1.68,Pumas UNAM U20, 6106174   size:68.0,Price: ,2.8,The Draw, 58805   size:3.09,Price: ,3.4,
1.120171698, Sport: ,Basketball, Time: ,Sat Aug 29 01:00:00 CEST 2015, Time: ,Sat Aug 29 01:00:00 CEST 2015, Event: ,Atlanta @ Indiana, Favorite: ,Indiana, 13116   size:7.04,Price: ,1.29,Atlanta, 13114   size:581.92,Price: ,3.9,
1.120171694, Sport: ,Basketball, Time: ,Sat Aug 29 01:00:00 CEST 2015, Time: ,Sat Aug 29 01:00:00 CEST 2015, Event: ,Phoenix @ Washington, Favorite: ,Washington, 13105   size:6.96,Price: ,1.65,Phoenix, 13128   size:2.7,Price: ,2.5,
1.120277125, Sport: ,Baseball, Time: ,Sat Aug 29 01:05:00 CEST 2015, Time: ,Sat Aug 29 01:05:00 CEST 2015, Event: ,SD @ PHI, Favorite: ,San Diego (I Kennedy), 7551799   size:35.82,Price: ,1.83,Philadelphia (A Nola), 10036247   size:63.69,Price: ,2.18,
1.120277083, Sport: ,Baseball, Time: ,Sat Aug 29 01:05:00 CEST 2015, Time: ,Sat Aug 29 01:05:00 CEST 2015, Event: ,MIA @ WSH, Favorite: ,Washington (M Scherzer), 9378791   size:926.86,Price: ,1.37,Miami (A Conley), 9938961   size:113.49,Price: ,3.55,
1.120277074, Sport: ,Baseball, Time: ,Sat Aug 29 01:05:00 CEST 2015, Time: ,Sat Aug 29 01:05:00 CEST 2015, Event: ,COL @ PIT, Favorite: ,Pittsburgh (F Liriano), 7267454   size:636.47,Price: ,1.4,Colorado (J Gray), 10111934   size:485.14,Price: ,3.3,
1.120279545, Sport: ,Baseball, Time: ,Sat Aug 29 01:07:00 CEST 2015, Time: ,Sat Aug 29 01:07:00 CEST 2015, Event: ,DET @ TOR, Favorite: ,Toronto (R Dickey), 7172150   size:35.7,Price: ,1.56,Detroit (M Boyd), 10118589   size:68.81,Price: ,2.78,
1.120279577, Sport: ,Baseball, Time: ,Sat Aug 29 01:10:00 CEST 2015, Time: ,Sat Aug 29 01:10:00 CEST 2015, Event: ,KC @ TB, Favorite: ,Kansas City (E Volquez), 9385643   size:251.71,Price: ,1.92,Tampa Bay (E Ramirez), 9402383   size:489.89,Price: ,2.04,
1.120279558, Sport: ,Baseball, Time: ,Sat Aug 29 01:10:00 CEST 2015, Time: ,Sat Aug 29 01:10:00 CEST 2015, Event: ,BOS @ NYM, Favorite: ,NY Mets (M Harvey), 6551353   size:547.98,Price: ,1.54,Boston (H Owens), 10111929   size:297.48,Price: ,2.76,
