1.121369429, Sport: ,Tennis, Time: ,Wed Oct 21 12:00:00 CEST 2015, Time: ,Wed Oct 21 12:00:00 CEST 2015, Event: ,Millman v G Muller, Favorite: ,Gilles Muller, 2248579   size:70.0,Price: ,1.45,John Millman, 4415206   size:100.18,Price: ,2.98,ok
1.121330083, Sport: ,Tennis, Time: ,Wed Oct 21 11:00:00 CEST 2015, Time: ,Wed Oct 21 11:00:00 CEST 2015, Event: ,Khachanov v Marchenko, Favorite: ,Illya Marchenko, 3691700   size:2.55,Price: ,1.48,Karen Khachanov, 7659623   size:7.54,Price: ,2.8,x
1.121330480, Sport: ,Tennis, Time: ,Wed Oct 21 11:45:00 CEST 2015, Time: ,Wed Oct 21 11:45:00 CEST 2015, Event: ,Bolelli v Pouille, Favorite: ,Simone Bolelli, 2309797   size:88.08,Price: ,1.34,Lucas Pouille, 7031400   size:95.48,Price: ,3.6,x
1.121340328, Sport: ,Tennis, Time: ,Wed Oct 21 05:00:00 CEST 2015, Time: ,Wed Oct 21 05:00:00 CEST 2015, Event: ,Hsieh/Zhang v Cipolla/Lamasine, Favorite: ,Cipolla/Lamasine, 10433868   size:3.38,Price: ,1.48,Hsieh/Zhang, 10433867   size:2.19,Price: ,2.28,x
1.121362197, Sport: ,Tennis, Time: ,Wed Oct 21 04:30:00 CEST 2015, Time: ,Wed Oct 21 04:30:00 CEST 2015, Event: ,J Lu v K Zhang, Favorite: ,Kai-Lin Zhang, 8710301   size:2.55,Price: ,1.63,Jing Jing Lu, 5021659   size:3.09,Price: ,2.28,ok
1.121332381, Sport: ,Tennis, Time: ,Wed Oct 21 12:00:00 CEST 2015, Time: ,Wed Oct 21 12:00:00 CEST 2015, Event: ,Fyrstenberg/Gonzalez v Daniell/Demoliner, Favorite: ,Fyrstenberg/Gonzalez, 9128657   size:2.55,Price: ,1.55,Daniell/Demoliner, 9398763   size:2.55,Price: ,2.36,x
1.121362196, Sport: ,Tennis, Time: ,Wed Oct 21 04:30:00 CEST 2015, Time: ,Wed Oct 21 04:30:00 CEST 2015, Event: ,Q Wang v H Kuwata, Favorite: ,Qiang Wang, 6145777   size:105.91,Price: ,1.25,Hiroko Kuwata, 8732124   size:3.8,Price: ,3.95,x
1.121361304, Sport: ,Tennis, Time: ,Wed Oct 21 16:00:00 CEST 2015, Time: ,Wed Oct 21 16:00:00 CEST 2015, Event: ,C Zhao v Krajicek, Favorite: ,Michaella Krajicek, 2256452   size:2.55,Price: ,1.14,Carol Zhao, 7550871   size:6.1,Price: ,6.2,x
1.121342343, Sport: ,Tennis, Time: ,Wed Oct 21 15:00:00 CEST 2015, Time: ,Wed Oct 21 15:00:00 CEST 2015, Event: ,Arends/Majchrowicz v Sijsling/Siljestrom, Favorite: ,Sijsling/Siljestrom, 8381104   size:2.55,Price: ,1.48,Arends/Majchrowicz, 10434608   size:5.72,Price: ,2.34,ok
1.121340320, Sport: ,Tennis, Time: ,Wed Oct 21 09:30:00 CEST 2015, Time: ,Wed Oct 21 09:30:00 CEST 2015, Event: ,He/Qiu v Bai/Ghedin, Favorite: ,Bai/Ghedin, 10220762   size:5.72,Price: ,1.22,He/Qiu, 10248314   size:5.72,Price: ,3.35,ok
1.121362513, Sport: ,Basketball, Time: ,Wed Oct 21 02:00:00 CEST 2015, Time: ,Wed Oct 21 02:00:00 CEST 2015, Event: ,Minnesota @ Milwaukee, Favorite: ,Milwaukee, 13115   size:20.07,Price: ,1.48,Minnesota, 13118   size:3.33,Price: ,1.97,ok
