1.121529094, Sport: ,Basketball, Time: ,Sun Nov 01 06:00:00 CET 2015, Time: ,Sun Nov 01 06:00:00 CET 2015, Event: ,Dongbu Promy v Incheon Elephants, Favorite: ,Incheon Elephants, 8248315   size:2.8,Price: ,1.02,Dongbu Promy, 5154590   size:77.0,Price: ,1.05,x
1.121591815, Sport: ,Soccer, Time: ,Sun Nov 01 12:00:00 CET 2015, Time: ,Sun Nov 01 12:00:00 CET 2015, Event: ,FK Orsha v FK Rechytsa 2014, Favorite: ,FK Orsha, 9445038   size:4.15,Price: ,1.07,FK Rechytsa 2014, 8617386   size:4.15,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121507082, Sport: ,Soccer, Time: ,Sun Nov 01 12:00:00 CET 2015, Time: ,Sun Nov 01 12:00:00 CET 2015, Event: ,Valladolid B v Atletico Astorga, Favorite: ,Valladolid B, 2250344   size:2.72,Price: ,2.06,Atletico Astorga, 8792395   size:4.9,Price: ,4.1,The Draw, 58805   size:5.6,Price: ,3.45,ok
1.121601369, Sport: ,Soccer, Time: ,Sun Nov 01 11:00:00 CET 2015, Time: ,Sun Nov 01 11:00:00 CET 2015, Event: ,FC Olimpik Donetsk U19 v Metallist Kharkiv U19, Favorite: ,FC Olimpik Donetsk U19, 8801000   size:4.15,Price: ,1.07,Metallist Kharkiv U19, 6564901   size:80.0,Price: ,1.1,The Draw, 58805   size:30.77,Price: ,1.26,ok
1.121529098, Sport: ,Basketball, Time: ,Sun Nov 01 10:00:00 CET 2015, Time: ,Sun Nov 01 10:00:00 CET 2015, Event: ,Jeonju KCC Egis v Ulsan Mobis Phoebus, Favorite: ,Ulsan Mobis Phoebus, 8998222   size:60.34,Price: ,1.5,Jeonju KCC Egis, 8148243   size:43.29,Price: ,2.72,x
1.121344491, Sport: ,Soccer, Time: ,Sun Nov 01 14:30:00 CET 2015, Time: ,Sun Nov 01 14:30:00 CET 2015, Event: ,Everton v Sunderland, Favorite: ,Everton, 56343   size:3.67,Price: ,1.54,Sunderland, 62783   size:282.46,Price: ,7.8,The Draw, 58805   size:6602.75,Price: ,4.4,ok
1.121445758, Sport: ,Soccer, Time: ,Sun Nov 01 13:30:00 CET 2015, Time: ,Sun Nov 01 13:30:00 CET 2015, Event: ,RB Leipzig II v Carl Zeiss Jena, Favorite: ,Carl Zeiss Jena, 907523   size:73.58,Price: ,2.1,RB Leipzig II, 10003036   size:14.99,Price: ,3.75,The Draw, 58805   size:8.44,Price: ,3.6,ok
1.121445756, Sport: ,Soccer, Time: ,Sun Nov 01 13:00:00 CET 2015, Time: ,Sun Nov 01 13:00:00 CET 2015, Event: ,FC Oberlausitz v Germania Halberstadt, Favorite: ,FC Oberlausitz, 7372583   size:19.76,Price: ,1.36,Germania Halberstadt, 5949542   size:7.21,Price: ,8.8,The Draw, 58805   size:2.8,Price: ,5.4,x
1.121445634, Sport: ,Soccer, Time: ,Sun Nov 01 13:00:00 CET 2015, Time: ,Sun Nov 01 13:00:00 CET 2015, Event: ,Nomme Kalju v Tammeka Tartu, Favorite: ,Nomme Kalju, 4007449   size:2.78,Price: ,1.15,Tammeka Tartu, 5407303   size:3.06,Price: ,16.5,The Draw, 58805   size:3.47,Price: ,7.0,ok
1.121445754, Sport: ,Soccer, Time: ,Sun Nov 01 13:30:00 CET 2015, Time: ,Sun Nov 01 13:30:00 CET 2015, Event: ,Babelsberg v FSV Zwickau, Favorite: ,FSV Zwickau, 6495178   size:98.34,Price: ,2.18,Babelsberg, 110683   size:68.31,Price: ,3.6,The Draw, 58805   size:2.55,Price: ,3.5,x
1.121445996, Sport: ,Soccer, Time: ,Sun Nov 01 15:00:00 CET 2015, Time: ,Sun Nov 01 15:00:00 CET 2015, Event: ,Osters v Norrby IF, Favorite: ,Osters, 780885   size:4.15,Price: ,1.07,Norrby IF, 778921   size:4.15,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,ok
1.121594411, Sport: ,Soccer, Time: ,Sun Nov 01 12:30:00 CET 2015, Time: ,Sun Nov 01 12:30:00 CET 2015, Event: ,VfB Stuttgart U19 v FC Ingolstadt 04 U19, Favorite: ,VfB Stuttgart U19, 6334139   size:2.88,Price: ,1.51,FC Ingolstadt 04 U19, 10150414   size:6.26,Price: ,3.45,The Draw, 58805   size:6.13,Price: ,3.85,x
1.121445752, Sport: ,Soccer, Time: ,Sun Nov 01 13:30:00 CET 2015, Time: ,Sun Nov 01 13:30:00 CET 2015, Event: ,Hertha Berlin II v BFC Dynamo, Favorite: ,BFC Dynamo, 7458145   size:19.15,Price: ,1.74,Hertha Berlin II, 6035884   size:6.44,Price: ,5.0,The Draw, 58805   size:38.47,Price: ,4.0,ok
1.121598697, Sport: ,Soccer, Time: ,Sun Nov 01 12:00:00 CET 2015, Time: ,Sun Nov 01 12:00:00 CET 2015, Event: ,Recambios Colon UD v UD Alzira, Favorite: ,Recambios Colon UD, 10263174   size:4.15,Price: ,1.07,UD Alzira, 5688358   size:80.0,Price: ,1.1,The Draw, 58805   size:30.77,Price: ,1.26,x
1.121445750, Sport: ,Soccer, Time: ,Sun Nov 01 14:00:00 CET 2015, Time: ,Sun Nov 01 14:00:00 CET 2015, Event: ,Norderstedt v Oldenburg, Favorite: ,Oldenburg, 5699221   size:50.0,Price: ,2.68,Norderstedt, 7535726   size:3.63,Price: ,2.76,The Draw, 58805   size:8.97,Price: ,3.45,ok
1.121442690, Sport: ,Soccer, Time: ,Sun Nov 01 15:00:00 CET 2015, Time: ,Sun Nov 01 15:00:00 CET 2015, Event: ,Plzen v Sparta Prague, Favorite: ,Plzen, 471040   size:29.59,Price: ,2.22,Sparta Prague, 110475   size:8.97,Price: ,3.7,The Draw, 58805   size:327.64,Price: ,3.4,ok
1.121614236, Sport: ,Darts, Time: ,Sun Nov 01 13:45:00 CET 2015, Time: ,Sun Nov 01 13:45:00 CET 2015, Event: ,Henderson v Wright, Favorite: ,Peter Wright, 2821235   size:93.29,Price: ,1.26,John Henderson, 4396169   size:123.36,Price: ,3.9,ok
1.121606290, Sport: ,Snooker, Time: ,Sun Nov 01 07:00:00 CET 2015, Time: ,Sun Nov 01 07:00:00 CET 2015, Event: ,David Gilbert v John Higgins, Favorite: ,John Higgins, 2278785   size:298.34,Price: ,1.2,David Gilbert, 2293307   size:155.57,Price: ,5.0,ok
1.121610671, Sport: ,Tennis, Time: ,Sun Nov 01 14:30:00 CET 2015, Time: ,Sun Nov 01 14:30:00 CET 2015, Event: ,Fucsovics v R Kern, Favorite: ,Marton Fucsovics, 4827766   size:2.55,Price: ,1.28,Robin Kern, 5675044   size:70.08,Price: ,3.0,ok
1.121529082, Sport: ,Basketball, Time: ,Sun Nov 01 09:00:00 CET 2015, Time: ,Sun Nov 01 09:00:00 CET 2015, Event: ,Takamatsu v Nara, Favorite: ,Takamatsu, 6737021   size:389.33,Price: ,1.18,Nara, 7759193   size:385.44,Price: ,1.18,x
1.121600148, Sport: ,Soccer, Time: ,Sun Nov 01 12:00:00 CET 2015, Time: ,Sun Nov 01 12:00:00 CET 2015, Event: ,Prainsa Zaragoza (W) v Rayo Vallecano (W), Favorite: ,Prainsa Zaragoza (W), 5300690   size:10.0,Price: ,1.26,Rayo Vallecano (W), 5878665   size:10.0,Price: ,2.72,The Draw, 58805   size:20.0,Price: ,2.52,ok
