1.119587719, Sport: ,Soccer, Time: ,Tue Jul 21 20:45:00 CEST 2015, Time: ,Tue Jul 21 20:45:00 CEST 2015, Event: ,Bromley v Gillingham, Favorite: ,Gillingham, 56298   size:136.28,Price: ,2.04,Bromley, 1282856   size:3.06,Price: ,3.7,The Draw, 58805   size:7.39,Price: ,3.8,ok
1.119587438, Sport: ,Soccer, Time: ,Tue Jul 21 20:45:00 CEST 2015, Time: ,Tue Jul 21 20:45:00 CEST 2015, Event: ,Barnet v Peterborough, Favorite: ,Peterborough, 18563   size:36.79,Price: ,2.34,Barnet, 1165   size:15.22,Price: ,3.05,The Draw, 58805   size:10.95,Price: ,3.7,ok
1.119591659, Sport: ,Soccer, Time: ,Tue Jul 21 20:00:00 CEST 2015, Time: ,Tue Jul 21 20:00:00 CEST 2015, Event: ,Thor KA (W) v Throttur Reykjavik (W), Favorite: ,Thor KA (W), 7767466   size:10.0,Price: ,1.07,Throttur Reykjavik (W), 5306077   size:83.18,Price: ,1.2,The Draw, 58805   size:6.03,Price: ,6.2,ok
1.119588496, Sport: ,Soccer, Time: ,Tue Jul 21 20:30:00 CEST 2015, Time: ,Tue Jul 21 20:30:00 CEST 2015, Event: ,Grimsby v Huddersfield, Favorite: ,Huddersfield, 78984   size:21.12,Price: ,1.85,The Draw, 58805   size:10.16,Price: ,3.8,Grimsby, 48001   size:3.69,Price: ,4.6,x
1.119590608, Sport: ,Soccer, Time: ,Tue Jul 21 20:45:00 CEST 2015, Time: ,Tue Jul 21 20:45:00 CEST 2015, Event: ,Woking v Oxford Utd, Favorite: ,Oxford Utd, 256171   size:2.56,Price: ,1.95,Woking, 41998   size:75.03,Price: ,2.94,The Draw, 58805   size:57.18,Price: ,3.55,x
1.119589343, Sport: ,Soccer, Time: ,Tue Jul 21 20:30:00 CEST 2015, Time: ,Tue Jul 21 20:30:00 CEST 2015, Event: ,Mickleover Sports v Tamworth, Favorite: ,Tamworth, 62650   size:5.68,Price: ,2.04,Mickleover Sports, 7886720   size:2.55,Price: ,3.1,The Draw, 58805   size:3.3,Price: ,3.6,ok
1.119588144, Sport: ,Soccer, Time: ,Tue Jul 21 20:30:00 CEST 2015, Time: ,Tue Jul 21 20:30:00 CEST 2015, Event: ,Colwyn Bay v Bala Town, Favorite: ,Bala Town, 4099627   size:5.31,Price: ,2.32,Colwyn Bay, 2662205   size:4.99,Price: ,2.62,The Draw, 58805   size:2.55,Price: ,3.85,x
1.119604001, Sport: ,Tennis, Time: ,Tue Jul 21 20:30:00 CEST 2015, Time: ,Tue Jul 21 20:30:00 CEST 2015, Event: ,Kalinina v Crawford, Favorite: ,Anhelina Kalinina, 8907168   size:2.55,Price: ,1.47,Samantha Crawford, 6603928   size:2.33,Price: ,2.74,ok
1.119575311, Sport: ,Tennis, Time: ,Tue Jul 21 20:45:00 CEST 2015, Time: ,Tue Jul 21 20:45:00 CEST 2015, Event: ,Mi Basic v Zekic, Favorite: ,Mirza Basic, 5499167   size:3.81,Price: ,1.36,Miljan Zekic, 7444811   size:14.23,Price: ,3.5,ok
1.119588708, Sport: ,Soccer, Time: ,Tue Jul 21 20:00:00 CEST 2015, Time: ,Tue Jul 21 20:00:00 CEST 2015, Event: ,Hartlepool v Scunthorpe, Favorite: ,Scunthorpe, 18566   size:7.74,Price: ,2.36,Hartlepool, 48303   size:16.8,Price: ,3.1,The Draw, 58805   size:6.11,Price: ,3.6,ok
1.119604006, Sport: ,Tennis, Time: ,Tue Jul 21 20:30:00 CEST 2015, Time: ,Tue Jul 21 20:30:00 CEST 2015, Event: ,Vyrlan v Bellis, Favorite: ,Catherine Bellis, 8792467   size:2.55,Price: ,1.08,Karina Vyrlan, 9631324   size:21.55,Price: ,7.8,ok
