1.122403512, Sport: ,Ice Hockey, Time: ,Mon Dec 28 15:00:00 CET 2015, Time: ,Mon Dec 28 15:00:00 CET 2015, Event: ,Lugano v Jokerit, Favorite: ,Lugano, 243259   size:222.0,Price: ,1.04,Jokerit, 66263   size:5.92,Price: ,2.02,Tie, 60104   size:37.0,Price: ,1.24,x
1.122335905, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Whitehawk v Ebbsfleet Utd, Favorite: ,Whitehawk, 4597875   size:2.55,Price: ,2.6,Ebbsfleet Utd, 3018410   size:2.97,Price: ,2.72,The Draw, 58805   size:2.55,Price: ,3.4,x
1.122370079, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:30:00 CET 2015, Time: ,Mon Dec 28 19:30:00 CET 2015, Event: ,Straubing v Iserlohn, Favorite: ,Iserlohn, 265130   size:24.79,Price: ,2.28,Straubing, 2056823   size:22.37,Price: ,2.68,Tie, 60104   size:18.89,Price: ,4.6,x
1.122373465, Sport: ,Darts, Time: ,Mon Dec 28 21:30:00 CET 2015, Time: ,Mon Dec 28 21:30:00 CET 2015, Event: ,Peter Wright v Ronny Huybrechts, Favorite: ,Peter Wright, 2821235   size:5061.55,Price: ,1.13,Ronny Huybrechts, 7032123   size:4.16,Price: ,8.2,ok
1.122279150, Sport: ,Soccer, Time: ,Mon Dec 28 18:30:00 CET 2015, Time: ,Mon Dec 28 18:30:00 CET 2015, Event: ,Man Utd v Chelsea, Favorite: ,Man Utd, 48351   size:8668.02,Price: ,2.58,Chelsea, 55190   size:6014.8,Price: ,3.15,The Draw, 58805   size:21128.54,Price: ,3.35,x
1.122370754, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:30:00 CET 2015, Time: ,Mon Dec 28 19:30:00 CET 2015, Event: ,Hamburg v Kolner Haie, Favorite: ,Hamburg, 1031535   size:67.0,Price: ,2.1,Kolner Haie, 233911   size:7.13,Price: ,2.92,Tie, 60104   size:22.33,Price: ,4.8,ok
1.122344501, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Hyde v Salford City, Favorite: ,Salford City, 4236580   size:2.55,Price: ,2.54,Hyde, 1053216   size:2.55,Price: ,2.58,The Draw, 58805   size:2.7,Price: ,3.65,ok
1.122388150, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:00:00 CET 2015, Time: ,Mon Dec 28 19:00:00 CET 2015, Event: ,Lulea v Vaxjo Lakers, Favorite: ,Lulea, 337769   size:2.89,Price: ,2.2,Vaxjo Lakers, 539706   size:56.0,Price: ,2.88,Tie, 60104   size:96.99,Price: ,4.4,ok
1.122344503, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Colwyn Bay v Ashton Utd, Favorite: ,Ashton Utd, 5800540   size:7.07,Price: ,2.0,Colwyn Bay, 2662205   size:2.58,Price: ,3.05,The Draw, 58805   size:6.07,Price: ,3.8,ok
1.122344505, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Ramsbottom Utd v Workington, Favorite: ,Workington, 1222684   size:3.73,Price: ,1.89,Ramsbottom Utd, 7885854   size:2.7,Price: ,3.25,The Draw, 58805   size:4.18,Price: ,3.95,x
1.122399698, Sport: ,Ice Hockey, Time: ,Mon Dec 28 17:00:00 CET 2015, Time: ,Mon Dec 28 17:00:00 CET 2015, Event: ,Russia v Finland, Favorite: ,Finland, 140141   size:5.92,Price: ,2.04,Russia, 140142   size:6.74,Price: ,2.86,Tie, 60104   size:19.43,Price: ,4.5,x
1.122370230, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:30:00 CET 2015, Time: ,Mon Dec 28 19:30:00 CET 2015, Event: ,Augsburger v Krefeld Pinguine, Favorite: ,Augsburg, 1031532   size:63.99,Price: ,1.83,Krefeld Pinguine, 233926   size:100.93,Price: ,3.3,Tie, 60104   size:69.27,Price: ,5.0,ok
1.122370076, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:30:00 CET 2015, Time: ,Mon Dec 28 19:30:00 CET 2015, Event: ,EHC Munchen v Eisbaren Berlin, Favorite: ,EHC Munchen, 4923560   size:102.0,Price: ,2.26,Eisbaren Berlin, 233923   size:9.84,Price: ,2.64,Tie, 60104   size:74.43,Price: ,4.5,ok
1.122309585, Sport: ,Ice Hockey, Time: ,Tue Dec 29 04:05:00 CET 2015, Time: ,Tue Dec 29 04:05:00 CET 2015, Event: ,Los Angeles @ Vancouver, Favorite: ,Los Angeles, 2112286   size:2.19,Price: ,2.28,Vancouver, 2109691   size:137.82,Price: ,2.76,Tie, 60104   size:28.61,Price: ,3.9,ok
1.122401966, Sport: ,Soccer, Time: ,Tue Dec 29 11:30:00 CET 2015, Time: ,Tue Dec 29 11:30:00 CET 2015, Event: ,Laxmi Prasad SC v Salgaocar, Favorite: ,Laxmi Prasad SC, 7598596   size:47.22,Price: ,2.44,Salgaocar, 4427250   size:43.59,Price: ,2.56,The Draw, 58805   size:3.64,Price: ,3.15,x
1.122341975, Sport: ,Soccer, Time: ,Mon Dec 28 18:00:00 CET 2015, Time: ,Mon Dec 28 18:00:00 CET 2015, Event: ,Eskisehirspor v Genclerbirligi, Favorite: ,Eskisehirspor, 2080746   size:10.96,Price: ,2.48,Genclerbirligi, 50350   size:10.88,Price: ,3.25,The Draw, 58805   size:188.43,Price: ,3.4,ok
1.122338843, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Scunthorpe v Rochdale, Favorite: ,Scunthorpe, 18566   size:6.1,Price: ,2.6,Rochdale, 256383   size:159.02,Price: ,3.05,The Draw, 58805   size:461.01,Price: ,3.35,x
1.122373847, Sport: ,Ice Hockey, Time: ,Mon Dec 28 18:30:00 CET 2015, Time: ,Mon Dec 28 18:30:00 CET 2015, Event: ,Dinamo Riga v Torpedo, Favorite: ,Dinamo Riga, 3312399   size:66.0,Price: ,2.5,Torpedo, 2484355   size:5.08,Price: ,2.62,Tie, 60104   size:58.0,Price: ,4.0,x
1.122388385, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:30:00 CET 2015, Time: ,Mon Dec 28 19:30:00 CET 2015, Event: ,Djurgardens v Farjestad, Favorite: ,Djurgardens, 988206   size:93.0,Price: ,2.12,Farjestad, 237392   size:99.0,Price: ,2.98,Tie, 60104   size:53.0,Price: ,4.4,x
1.122385430, Sport: ,Ice Hockey, Time: ,Mon Dec 28 18:30:00 CET 2015, Time: ,Mon Dec 28 18:30:00 CET 2015, Event: ,Frisk Asker v Lillehammer, Favorite: ,Frisk Asker, 61425   size:14.16,Price: ,1.48,Lillehammer, 61429   size:4.55,Price: ,4.7,Tie, 60104   size:14.63,Price: ,6.0,ok
1.122309580, Sport: ,Ice Hockey, Time: ,Tue Dec 29 02:05:00 CET 2015, Time: ,Tue Dec 29 02:05:00 CET 2015, Event: ,Detroit @ Minnesota, Favorite: ,Minnesota, 2109894   size:2.98,Price: ,2.14,Detroit, 975676   size:2.36,Price: ,2.7,Tie, 60104   size:28.95,Price: ,3.9,ok
1.122376603, Sport: ,Ice Hockey, Time: ,Mon Dec 28 18:00:00 CET 2015, Time: ,Mon Dec 28 18:00:00 CET 2015, Event: ,Nitra v Poprad, Favorite: ,Nitra, 2078603   size:3.6,Price: ,1.77,Poprad, 2078587   size:5.1,Price: ,2.74,Tie, 60104   size:17.38,Price: ,5.2,x
1.122369364, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:15:00 CET 2015, Time: ,Mon Dec 28 19:15:00 CET 2015, Event: ,Vienna Capitals v VSV, Favorite: ,Vienna Capitals, 563229   size:3.46,Price: ,1.84,VSV, 565881   size:5.16,Price: ,2.72,Tie, 60104   size:20.82,Price: ,4.5,x
1.122344511, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Halesowen v Sutton Coldfield, Favorite: ,Halesowen, 981240   size:2.87,Price: ,2.22,Sutton Coldfield, 1034125   size:6.49,Price: ,2.92,The Draw, 58805   size:2.55,Price: ,3.9,x
1.122376605, Sport: ,Ice Hockey, Time: ,Mon Dec 28 18:00:00 CET 2015, Time: ,Mon Dec 28 18:00:00 CET 2015, Event: ,Zilina v Skalica, Favorite: ,Zilina, 2078590   size:2.87,Price: ,1.74,Skalica, 2078556   size:6.43,Price: ,2.38,Tie, 60104   size:54.22,Price: ,4.0,ok
1.122376604, Sport: ,Ice Hockey, Time: ,Mon Dec 28 18:00:00 CET 2015, Time: ,Mon Dec 28 18:00:00 CET 2015, Event: ,Piestany v Zvolen, Favorite: ,Zvolen, 2078582   size:3.12,Price: ,2.04,Piestany, 6651342   size:49.27,Price: ,2.38,Tie, 60104   size:19.7,Price: ,4.7,ok
1.122344513, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Ilkeston v Matlock Town, Favorite: ,Ilkeston, 4864968   size:2.55,Price: ,1.75,Matlock Town, 1558264   size:2.7,Price: ,3.95,The Draw, 58805   size:3.35,Price: ,4.0,x
1.122376044, Sport: ,Basketball, Time: ,Tue Dec 29 01:05:00 CET 2015, Time: ,Tue Dec 29 01:05:00 CET 2015, Event: ,LA Clippers @ Washington, Favorite: ,Washington, 13105   size:226.91,Price: ,1.84,LA Clippers, 237489   size:5.92,Price: ,2.1,x
1.122344515, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Skelmersdale Utd v Marine, Favorite: ,Skelmersdale Utd, 3491517   size:2.55,Price: ,2.36,Marine, 2119329   size:7.75,Price: ,2.72,The Draw, 58805   size:3.85,Price: ,3.8,x
1.122338685, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Port Vale v Bury, Favorite: ,Port Vale, 256373   size:47.6,Price: ,2.58,Bury, 223503   size:377.29,Price: ,3.0,The Draw, 58805   size:218.56,Price: ,3.45,ok
1.122344517, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Whitby Town v Frickley Athletic, Favorite: ,Frickley Athletic, 7396836   size:7.03,Price: ,2.54,Whitby Town, 62653   size:2.55,Price: ,2.56,The Draw, 58805   size:4.26,Price: ,3.65,x
1.122399862, Sport: ,Basketball, Time: ,Mon Dec 28 20:05:00 CET 2015, Time: ,Mon Dec 28 20:05:00 CET 2015, Event: ,Hapoel Holon v Hapoel M Jerusalem, Favorite: ,Hapoel M Jerusalem, 7758971   size:4.79,Price: ,1.33,Hapoel Holon, 6796483   size:11.32,Price: ,3.75,ok
1.122339372, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Walsall v Peterborough, Favorite: ,Walsall, 55213   size:1123.7,Price: ,2.38,Peterborough, 18563   size:22.0,Price: ,3.15,The Draw, 58805   size:318.66,Price: ,3.65,ok
1.122335690, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Braintree v Welling Utd, Favorite: ,Braintree, 1282860   size:370.78,Price: ,1.62,Welling Utd, 1222695   size:60.4,Price: ,6.6,The Draw, 58805   size:69.57,Price: ,4.0,x
