1.120264976, Sport: ,Soccer, Time: ,Fri Aug 28 11:00:00 CEST 2015, Time: ,Fri Aug 28 11:00:00 CEST 2015, Event: ,Philippines U19 v Cambodia U19, Favorite: ,Cambodia U19, 10180955   size:23.88,Price: ,1.24,The Draw, 58805   size:4.34,Price: ,6.0,Philippines U19, 7739541   size:3.41,Price: ,7.2,ok
1.120237656, Sport: ,Soccer, Time: ,Fri Aug 28 15:00:00 CEST 2015, Time: ,Fri Aug 28 15:00:00 CEST 2015, Event: ,Millwall U21 v Ipswich U21, Favorite: ,The Draw, 58805   size:136.37,Price: ,1.06,x
1.120266977, Sport: ,Soccer, Time: ,Fri Aug 28 12:00:00 CEST 2015, Time: ,Fri Aug 28 12:00:00 CEST 2015, Event: ,Dong Nai v Hoang Anh Gia Lai, Favorite: ,Dong Nai, 9094955   size:29.3,Price: ,2.1,Hoang Anh Gia Lai, 7180053   size:5.77,Price: ,3.55,The Draw, 58805   size:4.91,Price: ,3.75,x
1.120285031, Sport: ,Soccer, Time: ,Fri Aug 28 14:15:00 CEST 2015, Time: ,Fri Aug 28 14:15:00 CEST 2015, Event: ,KAYA v Ceres La Salle, Favorite: ,The Draw, 58805   size:135.1,Price: ,1.06,ok
1.120271707, Sport: ,Hockey, Time: ,Fri Aug 28 12:00:00 CEST 2015, Time: ,Fri Aug 28 12:00:00 CEST 2015, Event: ,Poland (W) v Italy (W), Favorite: ,Italy (W), 5764151   size:5.75,Price: ,1.24,Draw, 318509   size:136.47,Price: ,5.3,Poland (W), 5296642   size:121.84,Price: ,6.6,x
1.120283831, Sport: ,Tennis, Time: ,Fri Aug 28 12:00:00 CEST 2015, Time: ,Fri Aug 28 12:00:00 CEST 2015, Event: ,Marcinkevica v Christie, Favorite: ,Diana Marcinkevica, 7186714   size:14.15,Price: ,1.32,Freya Christie, 8624170   size:87.5,Price: ,2.42,ok
1.120227030, Sport: ,Soccer, Time: ,Fri Aug 28 15:30:00 CEST 2015, Time: ,Fri Aug 28 15:30:00 CEST 2015, Event: ,Maccabi Herzliya v Hapoel Petach Tikva, Favorite: ,Hapoel Petach Tikva, 6094761   size:2.44,Price: ,2.54,Maccabi Herzliya, 5195923   size:2.16,Price: ,2.86,The Draw, 58805   size:76.58,Price: ,3.4,ok
1.120266695, Sport: ,Soccer, Time: ,Fri Aug 28 14:00:00 CEST 2015, Time: ,Fri Aug 28 14:00:00 CEST 2015, Event: ,FK Hoverla U21 v Stal Dnipro U21, Favorite: ,The Draw, 58805   size:136.37,Price: ,1.06,x
1.120157634, Sport: ,Soccer, Time: ,Fri Aug 28 14:00:00 CEST 2015, Time: ,Fri Aug 28 14:00:00 CEST 2015, Event: ,Spartak Moscow (Y) v Anzhi Makhachkala (Y), Favorite: ,Spartak Moscow (Y), 7227096   size:44.77,Price: ,1.56,The Draw, 58805   size:5.12,Price: ,4.2,Anzhi Makhachkala (Y), 5460247   size:3.78,Price: ,5.8,ok
1.120263981, Sport: ,Soccer, Time: ,Fri Aug 28 16:00:00 CEST 2015, Time: ,Fri Aug 28 16:00:00 CEST 2015, Event: ,AC Paradou U21 v JSM Bejaia U21, Favorite: ,JSM Bejaia U21, 8036614   size:136.37,Price: ,1.06,The Draw, 58805   size:2.51,Price: ,1.07,x
1.120301425, Sport: ,Volleyball, Time: ,Fri Aug 28 12:00:00 CEST 2015, Time: ,Fri Aug 28 12:00:00 CEST 2015, Event: ,Italy v Iran, Favorite: ,Italy, 1176459   size:3.12,Price: ,1.6,Iran, 2175257   size:3.09,Price: ,1.62,ok
1.120157579, Sport: ,Soccer, Time: ,Fri Aug 28 13:00:00 CEST 2015, Time: ,Fri Aug 28 13:00:00 CEST 2015, Event: ,Dinamo Moscow (Y) v FC Ufa (Y), Favorite: ,Dinamo Moscow (Y), 7188762   size:4.64,Price: ,1.27,The Draw, 58805   size:2.63,Price: ,4.5,FC Ufa (Y), 10178767   size:24.79,Price: ,6.2,x
1.120269187, Sport: ,Basketball, Time: ,Fri Aug 28 14:00:00 CEST 2015, Time: ,Fri Aug 28 14:00:00 CEST 2015, Event: ,Cape Verde v Cameroon, Favorite: ,Cameroon, 3029810   size:3.65,Price: ,1.54,Cape Verde, 3029811   size:68.23,Price: ,2.74,ok
1.120251964, Sport: ,Soccer, Time: ,Fri Aug 28 14:30:00 CEST 2015, Time: ,Fri Aug 28 14:30:00 CEST 2015, Event: ,ASD Lupa Cast Romani v Torres, Favorite: ,The Draw, 58805   size:136.37,Price: ,1.06,x
1.120254615, Sport: ,Tennis, Time: ,Fri Aug 28 12:00:00 CEST 2015, Time: ,Fri Aug 28 12:00:00 CEST 2015, Event: ,Munoz-De La Nava v Gaio, Favorite: ,Daniel Munoz-de la Nava, 8259000   size:812.1,Price: ,1.41,Federico Gaio, 8284479   size:10.57,Price: ,3.2,ok
1.120226889, Sport: ,Soccer, Time: ,Fri Aug 28 15:30:00 CEST 2015, Time: ,Fri Aug 28 15:30:00 CEST 2015, Event: ,Hapoel Nazareth Illit v Hapoel Katamon, Favorite: ,Hapoel Nazareth Illit, 5178712   size:3.76,Price: ,2.48,Hapoel Katamon, 7629623   size:21.91,Price: ,3.05,The Draw, 58805   size:18.31,Price: ,3.35,x
1.120158185, Sport: ,Soccer, Time: ,Fri Aug 28 12:00:00 CEST 2015, Time: ,Fri Aug 28 12:00:00 CEST 2015, Event: ,Mohun Bagan v Tollygunge Agragami, Favorite: ,Tollygunge Agragami, 8680574   size:135.1,Price: ,1.06,Mohun Bagan, 4234362   size:5.0,Price: ,1.32,The Draw, 58805   size:6.25,Price: ,3.35,x
1.120279774, Sport: ,Tennis, Time: ,Fri Aug 28 12:00:00 CEST 2015, Time: ,Fri Aug 28 12:00:00 CEST 2015, Event: ,Giustino v K De Schepper, Favorite: ,Kenny De Schepper, 5617034   size:7.04,Price: ,1.84,Lorenzo Giustino, 7534093   size:20.21,Price: ,2.12,x
1.120231253, Sport: ,Ice Hockey, Time: ,Fri Aug 28 16:00:00 CEST 2015, Time: ,Fri Aug 28 16:00:00 CEST 2015, Event: ,Traktor v Yugra, Favorite: ,Traktor, 2595834   size:65.47,Price: ,1.78,Yugra, 4913649   size:143.16,Price: ,4.0,Tie, 60104   size:58.99,Price: ,4.6,x
1.120154435, Sport: ,Soccer, Time: ,Fri Aug 28 13:30:00 CEST 2015, Time: ,Fri Aug 28 13:30:00 CEST 2015, Event: ,Hougang Utd v Albirex Niigata, Favorite: ,Albirex Niigata, 5712145   size:38.76,Price: ,1.92,The Draw, 58805   size:3.88,Price: ,3.3,Hougang Utd, 5339978   size:2.55,Price: ,4.0,x
