1.122164961, Sport: ,Soccer, Time: ,Mon Dec 14 19:30:00 CET 2015, Time: ,Mon Dec 14 19:30:00 CET 2015, Event: ,Bnei Sakhnin v Maccabi Tel Aviv, Favorite: ,Maccabi Tel Aviv, 197970   size:265.39,Price: ,1.53,Bnei Sakhnin, 3157354   size:5.26,Price: ,8.0,The Draw, 58805   size:2.77,Price: ,4.2,ok
1.122275501, Sport: ,Tennis, Time: ,Mon Dec 14 09:30:00 CET 2015, Time: ,Mon Dec 14 09:30:00 CET 2015, Event: ,Raveena Kingsley v Barbara Haas, Favorite: ,Barbara Haas, 6438801   size:12.96,Price: ,1.47,Raveena Kingsley, 9401820   size:36.68,Price: ,2.28,x
1.122247578, Sport: ,Basketball, Time: ,Mon Dec 14 20:00:00 CET 2015, Time: ,Mon Dec 14 20:00:00 CET 2015, Event: ,Le Mans v Strasbourg, Favorite: ,Le Mans, 678096   size:761.75,Price: ,1.07,Strasbourg, 1193143   size:1562.8,Price: ,1.07,ok
1.122166062, Sport: ,Soccer, Time: ,Mon Dec 14 18:30:00 CET 2015, Time: ,Mon Dec 14 18:30:00 CET 2015, Event: ,Levadiakos v PAOK, Favorite: ,PAOK, 232095   size:6.92,Price: ,1.81,Levadiakos, 531200   size:27.51,Price: ,5.4,The Draw, 58805   size:138.77,Price: ,3.65,x
1.122247574, Sport: ,Basketball, Time: ,Mon Dec 14 20:00:00 CET 2015, Time: ,Mon Dec 14 20:00:00 CET 2015, Event: ,Paris Levallois v Cholet, Favorite: ,Paris Levallois, 2638786   size:228.23,Price: ,1.27,Cholet, 678099   size:2.55,Price: ,3.9,ok
1.122163190, Sport: ,Soccer, Time: ,Mon Dec 14 20:00:00 CET 2015, Time: ,Mon Dec 14 20:00:00 CET 2015, Event: ,Hull U21 v Coventry U21, Favorite: ,Hull U21, 10123519   size:4.21,Price: ,1.13,Coventry U21, 6812039   size:4.21,Price: ,1.13,The Draw, 58805   size:16.62,Price: ,2.88,ok
1.122190988, Sport: ,Volleyball, Time: ,Mon Dec 14 19:00:00 CET 2015, Time: ,Mon Dec 14 19:00:00 CET 2015, Event: ,Ostrowiec Swietokrzyski v Impel Wroclaw, Favorite: ,Impel Wroclaw, 6912945   size:2.77,Price: ,1.03,Ostrowiec Swietokrzyski, 10399355   size:5.92,Price: ,1.14,ok
1.122194521, Sport: ,Soccer, Time: ,Mon Dec 14 18:30:00 CET 2015, Time: ,Mon Dec 14 18:30:00 CET 2015, Event: ,Jong Twente v Almere City U23, Favorite: ,Jong Twente, 3350963   size:10.94,Price: ,1.13,Almere City U23, 10140536   size:10.94,Price: ,1.13,The Draw, 58805   size:5.0,Price: ,2.9,ok
1.122279935, Sport: ,Soccer, Time: ,Mon Dec 14 18:30:00 CET 2015, Time: ,Mon Dec 14 18:30:00 CET 2015, Event: ,Figueirense U20 v Coritiba U20, Favorite: ,Figueirense U20, 6018798   size:3.57,Price: ,1.4,Coritiba U20, 5181414   size:46.5,Price: ,5.5,The Draw, 58805   size:42.27,Price: ,4.0,ok
1.122194245, Sport: ,Soccer, Time: ,Mon Dec 14 19:30:00 CET 2015, Time: ,Mon Dec 14 19:30:00 CET 2015, Event: ,KSC Lokeren (Y) v Waasland-Beveren (Y), Favorite: ,KSC Lokeren (Y), 7159116   size:10.94,Price: ,1.13,Waasland-Beveren (Y), 7159135   size:10.94,Price: ,1.13,The Draw, 58805   size:16.62,Price: ,2.88,ok
1.122246695, Sport: ,Ice Hockey, Time: ,Tue Dec 15 01:05:00 CET 2015, Time: ,Tue Dec 15 01:05:00 CET 2015, Event: ,Washington @ Pittsburgh, Favorite: ,Washington, 2109756   size:2.15,Price: ,2.32,Pittsburgh, 2115995   size:4.64,Price: ,2.5,Tie, 60104   size:9.36,Price: ,3.7,ok
1.122193945, Sport: ,Soccer, Time: ,Mon Dec 14 20:00:00 CET 2015, Time: ,Mon Dec 14 20:00:00 CET 2015, Event: ,Porto B v Sporting Lisbon B, Favorite: ,Porto B, 6563315   size:30.04,Price: ,1.83,Sporting Lisbon B, 10071727   size:18.67,Price: ,4.8,The Draw, 58805   size:213.02,Price: ,3.7,ok
1.122125613, Sport: ,Soccer, Time: ,Mon Dec 14 19:00:00 CET 2015, Time: ,Mon Dec 14 19:00:00 CET 2015, Event: ,Hamburg II v St Pauli II, Favorite: ,Hamburg II, 5375314   size:3.64,Price: ,2.1,St Pauli II, 5801013   size:35.98,Price: ,3.6,The Draw, 58805   size:14.63,Price: ,3.75,x
1.122194410, Sport: ,Soccer, Time: ,Mon Dec 14 19:30:00 CET 2015, Time: ,Mon Dec 14 19:30:00 CET 2015, Event: ,Sint Truidense (Youth) v OH Leuven (Y), Favorite: ,Sint Truidense (Youth), 10158287   size:2.55,Price: ,1.84,OH Leuven (Y), 7159228   size:2.6,Price: ,2.12,The Draw, 58805   size:46.91,Price: ,4.8,ok
1.122165158, Sport: ,Soccer, Time: ,Mon Dec 14 17:00:00 CET 2015, Time: ,Mon Dec 14 17:00:00 CET 2015, Event: ,Beitar Tel Aviv Ramla v Maccabi Yavne, Favorite: ,Beitar Tel Aviv Ramla, 6021023   size:5.19,Price: ,2.3,Maccabi Yavne, 5415484   size:2.51,Price: ,3.25,The Draw, 58805   size:7.51,Price: ,3.25,x
1.122219027, Sport: ,Ice Hockey, Time: ,Mon Dec 14 19:45:00 CET 2015, Time: ,Mon Dec 14 19:45:00 CET 2015, Event: ,Davos v Biel, Favorite: ,Davos, 243249   size:36.13,Price: ,1.16,Biel, 3315685   size:59.78,Price: ,5.7,Tie, 60104   size:42.6,Price: ,7.6,x
1.122219026, Sport: ,Ice Hockey, Time: ,Mon Dec 14 19:45:00 CET 2015, Time: ,Mon Dec 14 19:45:00 CET 2015, Event: ,Lausanne HC v Geneve Servette, Favorite: ,Lausanne HC, 7555451   size:14.0,Price: ,1.94,Geneve Servette, 4932959   size:16.0,Price: ,2.1,Tie, 60104   size:54.18,Price: ,4.1,ok
1.122271520, Sport: ,Soccer, Time: ,Mon Dec 14 20:45:00 CET 2015, Time: ,Mon Dec 14 20:45:00 CET 2015, Event: ,Barkingside FC v Waltham Abbey FC, Favorite: ,Barkingside FC, 8205298   size:62.15,Price: ,1.13,Waltham Abbey FC, 8354492   size:62.15,Price: ,1.13,The Draw, 58805   size:5.53,Price: ,2.9,x
1.122162836, Sport: ,Soccer, Time: ,Mon Dec 14 20:00:00 CET 2015, Time: ,Mon Dec 14 20:00:00 CET 2015, Event: ,Bolton U21 v Sheff Utd U21, Favorite: ,Bolton U21, 6594013   size:4.21,Price: ,1.13,Sheff Utd U21, 6812038   size:4.21,Price: ,1.13,The Draw, 58805   size:16.62,Price: ,2.88,x
1.122163406, Sport: ,Soccer, Time: ,Mon Dec 14 20:00:00 CET 2015, Time: ,Mon Dec 14 20:00:00 CET 2015, Event: ,West Brom U21 v Swansea U21, Favorite: ,West Brom U21, 6601846   size:2.81,Price: ,1.78,Swansea U21, 6799680   size:4.22,Price: ,2.98,The Draw, 58805   size:4.51,Price: ,3.2,ok
1.122260237, Sport: ,Basketball, Time: ,Tue Dec 15 04:05:00 CET 2015, Time: ,Tue Dec 15 04:05:00 CET 2015, Event: ,New Orleans @ Portland, Favorite: ,Portland, 13129   size:3.87,Price: ,1.39,New Orleans, 6860646   size:3.36,Price: ,1.55,ok
