1.120971860, Sport: ,Soccer, Time: ,Wed Sep 30 12:15:00 CEST 2015, Time: ,Wed Sep 30 12:15:00 CEST 2015, Event: ,Dempo SC U20 v Curtorim Gymkhana U20, Favorite: ,Dempo SC U20, 10300576   size:5.0,Price: ,1.13,Curtorim Gymkhana U20, 10356375   size:5.0,Price: ,1.76,The Draw, 58805   size:5.0,Price: ,3.05,ok
1.120977537, Sport: ,Tennis, Time: ,Wed Sep 30 08:30:00 CEST 2015, Time: ,Wed Sep 30 08:30:00 CEST 2015, Event: ,Abduraimova v J Larsson, Favorite: ,Johanna Larsson, 3220168   size:531.32,Price: ,1.26,Nigina Abduraimova, 3378313   size:49.67,Price: ,4.5,ok
1.120973195, Sport: ,Soccer, Time: ,Wed Sep 30 14:00:00 CEST 2015, Time: ,Wed Sep 30 14:00:00 CEST 2015, Event: ,FC Mertskhali Ozurgeti v Chkherimela Kharagauli, Favorite: ,Chkherimela Kharagauli, 7221255   size:2.55,Price: ,1.39,FC Mertskhali Ozurgeti, 6860556   size:2.55,Price: ,1.45,The Draw, 58805   size:5.0,Price: ,2.72,x
1.120977500, Sport: ,Tennis, Time: ,Wed Sep 30 13:30:00 CEST 2015, Time: ,Wed Sep 30 13:30:00 CEST 2015, Event: ,Mi Basic v Celikbilek, Favorite: ,Mirza Basic, 5499167   size:2.22,Price: ,1.1,Altug Celikbilek, 8842202   size:4.44,Price: ,10.0,ok
1.120848876, Sport: ,Soccer, Time: ,Wed Sep 30 14:00:00 CEST 2015, Time: ,Wed Sep 30 14:00:00 CEST 2015, Event: ,Rad Belgrade U19 v Domzale U19, Favorite: ,Rad Belgrade U19, 10317799   size:2.76,Price: ,1.09,Domzale U19, 10317801   size:10.66,Price: ,1.32,The Draw, 58805   size:5.0,Price: ,2.24,x
1.120848597, Sport: ,Soccer, Time: ,Wed Sep 30 14:00:00 CEST 2015, Time: ,Wed Sep 30 14:00:00 CEST 2015, Event: ,Juventus U19 v Sevilla U19, Favorite: ,Juventus U19, 2502329   size:6.0,Price: ,2.06,Sevilla U19, 10261979   size:6.0,Price: ,2.38,The Draw, 58805   size:5.0,Price: ,3.45,x
1.120983575, Sport: ,Soccer, Time: ,Wed Sep 30 14:00:00 CEST 2015, Time: ,Wed Sep 30 14:00:00 CEST 2015, Event: ,Crewe U21 v C Palace U21, Favorite: ,Crewe U21, 6628863   size:10.66,Price: ,1.22,C Palace U21, 6614440   size:5.0,Price: ,1.51,The Draw, 58805   size:5.0,Price: ,2.24,x
1.120849033, Sport: ,Soccer, Time: ,Wed Sep 30 18:00:00 CEST 2015, Time: ,Wed Sep 30 18:00:00 CEST 2015, Event: ,Red Bull Salzburg U19 v Zeljeznicar U19, Favorite: ,Red Bull Salzburg U19, 10317820   size:3.55,Price: ,1.07,Zeljeznicar U19, 10317822   size:3.55,Price: ,1.07,The Draw, 58805   size:2.56,Price: ,1.39,ok
1.120983952, Sport: ,Tennis, Time: ,Wed Sep 30 12:30:00 CEST 2015, Time: ,Wed Sep 30 12:30:00 CEST 2015, Event: ,Cervantes v Volandri, Favorite: ,Inigo Cervantes, 6297238   size:2.55,Price: ,1.7,Filippo Volandri, 2256483   size:70.88,Price: ,2.12,ok
1.120986328, Sport: ,Tennis, Time: ,Wed Sep 30 20:00:00 CEST 2015, Time: ,Wed Sep 30 20:00:00 CEST 2015, Event: ,Rogers v Crawford, Favorite: ,Shelby Rogers, 4943786   size:3.11,Price: ,1.08,Samantha Crawford, 6603928   size:3.11,Price: ,1.08,ok
1.120975448, Sport: ,Tennis, Time: ,Wed Sep 30 11:30:00 CEST 2015, Time: ,Wed Sep 30 11:30:00 CEST 2015, Event: ,Vandeweghe v Strycova, Favorite: ,Barbora Zahlavova Stryc, 9264110   size:33.77,Price: ,1.76,Coco Vandeweghe, 2328051   size:107.91,Price: ,2.28,x
