1.122421595, Sport: ,Basketball, Time: ,Sat Jan 02 18:35:00 CET 2016, Time: ,Sat Jan 02 18:35:00 CET 2016, Event: ,Ironi Nahariya v Hapoel Tel Aviv, Favorite: ,Ironi Nahariya, 8894680   size:8.81,Price: ,1.67,Hapoel Tel Aviv, 7758962   size:4.84,Price: ,2.22,x
1.122440012, Sport: ,Tennis, Time: ,Sat Jan 02 12:45:00 CET 2016, Time: ,Sat Jan 02 12:45:00 CET 2016, Event: ,Takeuchi v K Dmitriev, Favorite: ,Kirill Dmitriev, 8304042   size:2.55,Price: ,1.79,Kento Takeuchi, 8230215   size:2.55,Price: ,1.89,x
1.122445421, Sport: ,Tennis, Time: ,Sat Jan 02 10:00:00 CET 2016, Time: ,Sat Jan 02 10:00:00 CET 2016, Event: ,Fabbiano v Elgin, Favorite: ,Thomas Fabbiano, 3019240   size:5.6,Price: ,1.1,Mikhail Elgin, 5844509   size:5.6,Price: ,1.1,ok
1.122425393, Sport: ,Soccer, Time: ,Sat Jan 02 19:00:00 CET 2016, Time: ,Sat Jan 02 19:00:00 CET 2016, Event: ,Chapecoense AF U20 v Juventude U20, Favorite: ,Juventude U20, 6147762   size:2.86,Price: ,2.26,Chapecoense AF U20, 8861168   size:2.62,Price: ,2.46,The Draw, 58805   size:411.57,Price: ,3.4,ok
1.122424067, Sport: ,Soccer, Time: ,Sat Jan 02 19:00:00 CET 2016, Time: ,Sat Jan 02 19:00:00 CET 2016, Event: ,CA do Porto Caruaru U20 v Ponte Preta U20, Favorite: ,Ponte Preta U20, 6713388   size:3.68,Price: ,1.36,CA do Porto Caruaru U20, 10676918   size:7.21,Price: ,4.0,The Draw, 58805   size:7.31,Price: ,3.75,ok
1.122431428, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,CD Naval v UD Samano, Favorite: ,CD Naval, 5429178   size:9.22,Price: ,1.06,UD Samano, 10263134   size:9.22,Price: ,1.06,The Draw, 58805   size:2.72,Price: ,1.25,x
1.122421591, Sport: ,Basketball, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Trikala v Lavrio, Favorite: ,Trikala, 3315196   size:5.99,Price: ,1.3,Lavrio, 10398321   size:11.1,Price: ,3.8,ok
1.122414422, Sport: ,Basketball, Time: ,Sat Jan 02 17:30:00 CET 2016, Time: ,Sat Jan 02 17:30:00 CET 2016, Event: ,Ludwigsburg v Alba Berlin, Favorite: ,Alba Berlin, 266284   size:2.55,Price: ,1.52,Ludwigsburg, 689542   size:2.55,Price: ,2.64,x
1.122439943, Sport: ,Tennis, Time: ,Sat Jan 02 04:08:00 CET 2016, Time: ,Sat Jan 02 04:08:00 CET 2016, Event: ,W Sornbutnark v Teixeira, Favorite: ,Maxime Teixeira, 5321113   size:189.86,Price: ,1.01,Warit Sornbutnark, 7689499   size:18.97,Price: ,1.03,ok
1.122414428, Sport: ,Basketball, Time: ,Sat Jan 02 20:30:00 CET 2016, Time: ,Sat Jan 02 20:30:00 CET 2016, Event: ,Mitteldeutscher v sOliver Wurzburg, Favorite: ,sOliver Wurzburg, 10371127   size:14.4,Price: ,1.41,Mitteldeutscher, 4228382   size:16.68,Price: ,2.98,ok
1.122439947, Sport: ,Tennis, Time: ,Sat Jan 02 11:00:00 CET 2016, Time: ,Sat Jan 02 11:00:00 CET 2016, Event: ,Majchrzak v Milton, Favorite: ,Kamil Majchrzak, 8698678   size:5.6,Price: ,1.1,Joshua Milton, 3985858   size:5.6,Price: ,1.1,x
1.122431426, Sport: ,Soccer, Time: ,Sat Jan 02 15:30:00 CET 2016, Time: ,Sat Jan 02 15:30:00 CET 2016, Event: ,CD Mirandes II v CD Burgos Promesas, Favorite: ,CD Mirandes II, 8859060   size:9.29,Price: ,1.06,CD Burgos Promesas, 10293071   size:9.29,Price: ,1.06,The Draw, 58805   size:2.72,Price: ,1.25,x
1.122442588, Sport: ,Soccer, Time: ,Sat Jan 02 16:45:00 CET 2016, Time: ,Sat Jan 02 16:45:00 CET 2016, Event: ,Al Mesaimeer v Al Gharafa, Favorite: ,Al Gharafa, 2909657   size:22.66,Price: ,1.67,AL Mesaimeer, 9100532   size:26.55,Price: ,3.65,The Draw, 58805   size:2.09,Price: ,3.65,ok
1.122310940, Sport: ,Ice Hockey, Time: ,Sun Jan 03 01:05:00 CET 2016, Time: ,Sun Jan 03 01:05:00 CET 2016, Event: ,Minnesota @ Tampa Bay, Favorite: ,Tampa Bay, 2109715   size:5.78,Price: ,2.06,Minnesota, 2109894   size:4.97,Price: ,2.74,Tie, 60104   size:4.44,Price: ,3.6,x
1.122439850, Sport: ,Tennis, Time: ,Sat Jan 02 07:30:00 CET 2016, Time: ,Sat Jan 02 07:30:00 CET 2016, Event: ,Ja Jung v Sekiguchi, Favorite: ,Jason Jung, 7048850   size:2.55,Price: ,1.35,Shuichi Sekiguchi, 7689554   size:4.94,Price: ,2.96,ok
1.122421882, Sport: ,Basketball, Time: ,Sat Jan 02 20:00:00 CET 2016, Time: ,Sat Jan 02 20:00:00 CET 2016, Event: ,Surrey v Worcester, Favorite: ,Surrey, 6719046   size:150.0,Price: ,1.04,Worcester, 2939195   size:6.02,Price: ,1.23,x
1.122383569, Sport: ,Soccer, Time: ,Sat Jan 02 18:15:00 CET 2016, Time: ,Sat Jan 02 18:15:00 CET 2016, Event: ,Alloa v Falkirk, Favorite: ,Falkirk, 328049   size:2.78,Price: ,1.47,Alloa, 203715   size:4.08,Price: ,8.2,The Draw, 58805   size:40.0,Price: ,4.8,ok
1.122423667, Sport: ,Soccer, Time: ,Sat Jan 02 20:00:00 CET 2016, Time: ,Sat Jan 02 20:00:00 CET 2016, Event: ,Cruzeiro U20 v Comercial FC U20, Favorite: ,Cruzeiro U20, 5188319   size:18.45,Price: ,1.2,Comercial FC U20, 9521104   size:4.99,Price: ,15.5,The Draw, 58805   size:11.28,Price: ,7.4,ok
1.122384013, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Brechin v Forfar, Favorite: ,Brechin, 238429   size:8.7,Price: ,2.48,Forfar, 729805   size:29.58,Price: ,2.92,The Draw, 58805   size:2.7,Price: ,3.7,x
