1.122492131, Sport: ,Soccer, Time: ,Fri Jan 15 20:00:00 CET 2016, Time: ,Fri Jan 15 20:00:00 CET 2016, Event: ,Creteil v Lens, Favorite: ,Lens, 44793   size:61.31,Price: ,2.2,Creteil, 269793   size:288.57,Price: ,4.0,The Draw, 58805   size:472.31,Price: ,3.25,x
1.122490074, Sport: ,Ice Hockey, Time: ,Sat Jan 16 01:05:00 CET 2016, Time: ,Sat Jan 16 01:05:00 CET 2016, Event: ,Vancouver @ Carolina, Favorite: ,Carolina, 2108027   size:2.57,Price: ,2.36,Vancouver, 2109691   size:4.21,Price: ,2.76,Tie, 60104   size:6.14,Price: ,4.0,x
1.122583151, Sport: ,Snooker, Time: ,Fri Jan 15 14:00:00 CET 2016, Time: ,Fri Jan 15 14:00:00 CET 2016, Event: ,Trump v Robertson, Favorite: ,Neil Robertson, 2278787   size:819.14,Price: ,1.62,Judd Trump, 2279955   size:2.4,Price: ,2.6,x
1.122613564, Sport: ,Tennis, Time: ,Fri Jan 15 19:00:00 CET 2016, Time: ,Fri Jan 15 19:00:00 CET 2016, Event: ,Bagnis v Andreozzi, Favorite: ,Facundo Bagnis, 4520808   size:640.28,Price: ,1.67,Guido Andreozzi, 6603914   size:2.21,Price: ,2.08,ok
1.122613443, Sport: ,Tennis, Time: ,Fri Jan 15 23:45:00 CET 2016, Time: ,Fri Jan 15 23:45:00 CET 2016, Event: ,Andreozzi/Behar v Bagnis/Gonzalez, Favorite: ,Andreozzi/Behar, 8226205   size:13.78,Price: ,1.04,Bagnis/Gonzalez, 10707078   size:13.78,Price: ,1.04,x
1.122580444, Sport: ,Soccer, Time: ,Fri Jan 15 16:30:00 CET 2016, Time: ,Fri Jan 15 16:30:00 CET 2016, Event: ,Levadia Tallinn v FC Infonet, Favorite: ,Levadia Tallinn, 206564   size:3.14,Price: ,1.46,FC Infonet, 7077882   size:3.52,Price: ,4.8,The Draw, 58805   size:3.72,Price: ,4.0,x
1.122492928, Sport: ,Soccer, Time: ,Fri Jan 15 20:00:00 CET 2016, Time: ,Fri Jan 15 20:00:00 CET 2016, Event: ,Sochaux v Niort, Favorite: ,Sochaux, 44796   size:766.9,Price: ,2.44,Niort, 309687   size:725.03,Price: ,3.65,The Draw, 58805   size:2559.22,Price: ,3.1,x
1.122495756, Sport: ,Soccer, Time: ,Fri Jan 15 20:30:00 CET 2016, Time: ,Fri Jan 15 20:30:00 CET 2016, Event: ,Excelsior Virton v Tubize, Favorite: ,Tubize, 505722   size:53.21,Price: ,1.92,Excelsior Virton, 505672   size:54.99,Price: ,4.3,The Draw, 58805   size:20.36,Price: ,3.9,x
1.122571072, Sport: ,Ice Hockey, Time: ,Fri Jan 15 17:30:00 CET 2016, Time: ,Fri Jan 15 17:30:00 CET 2016, Event: ,Jokerit Helsinki v Sibir Novosibirsk, Favorite: ,Jokerit Helsinki, 315116   size:648.27,Price: ,1.82,Sibir Novosibirsk, 1252389   size:7.42,Price: ,3.65,Tie, 60104   size:6.01,Price: ,4.3,ok
1.122494549, Sport: ,Soccer, Time: ,Fri Jan 15 14:00:00 CET 2016, Time: ,Fri Jan 15 14:00:00 CET 2016, Event: ,Hapoel Jerusalem v Hapoel Ramat Gan, Favorite: ,Hapoel Ramat Gan, 542944   size:2.85,Price: ,2.42,Hapoel Jerusalem, 5810348   size:2.64,Price: ,3.45,The Draw, 58805   size:14.52,Price: ,3.05,ok
