1.121101465, Sport: ,Handball, Time: ,Wed Oct 07 19:30:00 CEST 2015, Time: ,Wed Oct 07 19:30:00 CEST 2015, Event: ,Montenegro (W) v FYR Macedonia (W), Favorite: ,Montenegro (W), 6257695   size:39.7,Price: ,1.01,FYR Macedonia (W), 6257682   size:77.02,Price: ,22.0,Draw, 330157   size:70.31,Price: ,24.0,ok
1.120989143, Sport: ,Soccer, Time: ,Wed Oct 07 20:30:00 CEST 2015, Time: ,Wed Oct 07 20:30:00 CEST 2015, Event: ,Cercle Brugge v Coxyde, Favorite: ,Cercle Brugge, 259394   size:272.28,Price: ,1.35,Coxyde, 5059906   size:151.01,Price: ,10.0,The Draw, 58805   size:22.04,Price: ,5.8,ok
1.121089891, Sport: ,Soccer, Time: ,Wed Oct 07 20:45:00 CEST 2015, Time: ,Wed Oct 07 20:45:00 CEST 2015, Event: ,Cambridge City v Bedworth United FC, Favorite: ,Cambridge City, 990643   size:2.55,Price: ,1.97,Bedworth United FC, 7116687   size:3.93,Price: ,3.3,The Draw, 58805   size:10.46,Price: ,3.6,ok
1.121107203, Sport: ,Tennis, Time: ,Wed Oct 07 19:30:00 CEST 2015, Time: ,Wed Oct 07 19:30:00 CEST 2015, Event: ,Matteucci v Melnikova, Favorite: ,Marina Melnikova, 6390238   size:3.46,Price: ,1.73,Alice Matteucci, 7414273   size:49.05,Price: ,2.32,x
1.121088963, Sport: ,Soccer, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Standard (W) v Frankfurt (W), Favorite: ,Frankfurt (W), 2983170   size:69.7,Price: ,1.05,Standard (W), 5862696   size:22.13,Price: ,60.0,The Draw, 58805   size:2.72,Price: ,11.5,ok
1.121088688, Sport: ,Soccer, Time: ,Wed Oct 07 20:30:00 CEST 2015, Time: ,Wed Oct 07 20:30:00 CEST 2015, Event: ,Rhayader Town FC v Llanfair United, Favorite: ,Llanfair United, 10386488   size:197.46,Price: ,1.2,Rhayader Town FC, 10201695   size:38.19,Price: ,1.21,The Draw, 58805   size:17.26,Price: ,1.5,x
1.121106877, Sport: ,Tennis, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Mena v Lapentti, Favorite: ,Giovanni Lapentti, 1565   size:98.89,Price: ,1.43,Facundo Mena, 8700270   size:2.55,Price: ,3.05,ok
1.121087356, Sport: ,Soccer, Time: ,Wed Oct 07 20:00:00 CEST 2015, Time: ,Wed Oct 07 20:00:00 CEST 2015, Event: ,Parana Curitiba U19 v Toledo Colonia Work U19, Favorite: ,Parana Curitiba U19, 6957731   size:5.0,Price: ,1.37,Toledo Colonia Work U19, 10386409   size:5.0,Price: ,2.24,The Draw, 58805   size:5.0,Price: ,3.35,ok
1.121022151, Sport: ,Handball, Time: ,Wed Oct 07 19:00:00 CEST 2015, Time: ,Wed Oct 07 19:00:00 CEST 2015, Event: ,Team Tvis Holstebro v Arhus, Favorite: ,Team Tvis Holstebro, 359681   size:4.29,Price: ,1.45,Arhus, 3919678   size:589.76,Price: ,3.75,Draw, 330157   size:170.81,Price: ,10.5,x
1.121106593, Sport: ,Tennis, Time: ,Wed Oct 07 18:40:00 CEST 2015, Time: ,Wed Oct 07 18:40:00 CEST 2015, Event: ,Berlocq v Andreozzi, Favorite: ,Carlos Berlocq, 2283676   size:45.33,Price: ,1.26,Guido Andreozzi, 6603914   size:9.54,Price: ,4.5,ok
1.121107167, Sport: ,Tennis, Time: ,Wed Oct 07 20:00:00 CEST 2015, Time: ,Wed Oct 07 20:00:00 CEST 2015, Event: ,Meister v D King, Favorite: ,Darian King, 8413749   size:33.85,Price: ,1.84,Nicolas Meister, 6534042   size:14.71,Price: ,2.04,x
