1.121481535, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Rushall Olympic v Stamford AFC, Favorite: ,Rushall Olympic, 2608907   size:2.42,Price: ,1.06,Stamford AFC, 7588988   size:2.42,Price: ,1.06,The Draw, 58805   size:6.93,Price: ,2.2
1.121481479, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Ashton Utd v Marine, Favorite: ,Ashton Utd, 5800540   size:2.42,Price: ,1.06,Marine, 2119329   size:2.42,Price: ,1.06,The Draw, 58805   size:6.93,Price: ,2.2
1.121482876, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Chippenham v Slough Town, Favorite: ,Chippenham, 1282852   size:2.42,Price: ,1.06,Slough Town, 1000084   size:2.42,Price: ,1.06,The Draw, 58805   size:6.93,Price: ,2.2
1.121481811, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Lincoln United FC v Goole AFC, Favorite: ,Lincoln United FC, 7853878   size:3.0,Price: ,1.03,Goole AFC, 8205426   size:3.0,Price: ,1.03,The Draw, 58805   size:6.93,Price: ,2.2
1.121481590, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Salford City v Matlock Town, Favorite: ,Salford City, 4236580   size:3.0,Price: ,1.03,Matlock Town, 1558264   size:2.77,Price: ,6.2,The Draw, 58805   size:6.93,Price: ,2.2
1.121482199, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Berwick U20 v Alloa U20, Favorite: ,Berwick U20, 9131077   size:2.42,Price: ,1.06,Alloa U20, 9243282   size:2.42,Price: ,1.06,The Draw, 58805   size:6.93,Price: ,2.2
1.121481051, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Bognor Regis v Staines Town, Favorite: ,Bognor Regis, 1230960   size:2.42,Price: ,1.06,Staines Town, 2608906   size:2.42,Price: ,1.06,The Draw, 58805   size:8.72,Price: ,2.2
1.120878667, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Hull v Leicester, Favorite: ,Hull, 70385   size:1090.88,Price: ,2.66,Leicester, 48461   size:1353.34,Price: ,2.84,The Draw, 58805   size:6.68,Price: ,3.6
1.121479337, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Lincoln v Tranmere, Favorite: ,Lincoln, 148737   size:2.42,Price: ,1.06,Tranmere, 54004   size:2.42,Price: ,1.06,The Draw, 58805   size:6.93,Price: ,2.2
1.121479335, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Chorley v Northwich, Favorite: ,Chorley, 4231709   size:2.42,Price: ,1.06,Northwich, 18557   size:2.42,Price: ,1.06,The Draw, 58805   size:6.93,Price: ,2.2
1.121479341, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Guiseley v FC Halifax Town, Favorite: ,Guiseley, 256291   size:60.11,Price: ,2.02,FC Halifax Town, 4231683   size:6.09,Price: ,2.08,The Draw, 58805   size:6.93,Price: ,2.2
1.121481645, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Nantwich Town v Stourbridge, Favorite: ,Nantwich Town, 1433861   size:2.42,Price: ,1.06,Stourbridge, 3491515   size:2.42,Price: ,1.06,The Draw, 58805   size:6.93,Price: ,2.2
1.121481700, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Buxton v Ramsbottom Utd, Favorite: ,Ramsbottom Utd, 7885854   size:2.42,Price: ,1.06,Buxton, 2662204   size:33.92,Price: ,1.38,The Draw, 58805   size:4.2,Price: ,6.2
