1.121638411, Sport: ,Soccer, Time: ,Wed Nov 11 00:30:00 CET 2015, Time: ,Wed Nov 11 00:30:00 CET 2015, Event: ,Ceara v Bragantino SP, Favorite: ,Ceara, 4016599   size:54.02,Price: ,1.72,Bragantino SP, 4701919   size:223.35,Price: ,5.4,The Draw, 58805   size:121.54,Price: ,4.2,ok
1.121747533, Sport: ,Tennis, Time: ,Wed Nov 11 03:00:00 CET 2015, Time: ,Wed Nov 11 03:00:00 CET 2015, Event: ,Kravchuk v Jasika, Favorite: ,Konstantin Kravchuk, 5011822   size:83.39,Price: ,1.34,Omar Jasika, 7335917   size:3.33,Price: ,3.25,ok
1.121743296, Sport: ,American Football, Time: ,Wed Nov 11 02:00:00 CET 2015, Time: ,Wed Nov 11 02:00:00 CET 2015, Event: ,Toledo @ Central Michigan, Favorite: ,Toledo, 532781   size:291.89,Price: ,1.64,Central Michigan, 2205316   size:141.12,Price: ,2.46,ok
1.121743299, Sport: ,Tennis, Time: ,Wed Nov 11 08:30:00 CET 2015, Time: ,Wed Nov 11 08:30:00 CET 2015, Event: ,Lokoli v Gengel, Favorite: ,Laurent Lokoli, 8257788   size:8.44,Price: ,1.04,Marek Gengel, 10166562   size:8.44,Price: ,1.04,ok
1.121733907, Sport: ,Basketball, Time: ,Wed Nov 11 02:00:00 CET 2015, Time: ,Wed Nov 11 02:00:00 CET 2015, Event: ,Boston @ Milwaukee, Favorite: ,Boston, 13108   size:248.45,Price: ,1.83,Milwaukee, 13115   size:17.08,Price: ,2.18,ok
1.121727827, Sport: ,Tennis, Time: ,Tue Nov 10 21:30:00 CET 2015, Time: ,Tue Nov 10 21:30:00 CET 2015, Event: ,Arguello/Dellien v Ward/Ward, Favorite: ,Arguello/Dellien, 10507814   size:7.01,Price: ,1.55,Ward/Ward, 10507815   size:7.44,Price: ,2.44,x
1.121746482, Sport: ,Tennis, Time: ,Wed Nov 11 01:00:00 CET 2015, Time: ,Wed Nov 11 01:00:00 CET 2015, Event: ,Opelka/Paul v Chaplin/Sandgren, Favorite: ,Chaplin/Sandgren, 10510900   size:34.41,Price: ,1.45,Opelka/Paul, 10484212   size:2.55,Price: ,2.04,x
1.121733948, Sport: ,Basketball, Time: ,Wed Nov 11 01:30:00 CET 2015, Time: ,Wed Nov 11 01:30:00 CET 2015, Event: ,New York @ Toronto, Favorite: ,Toronto, 13113   size:108.64,Price: ,1.29,New York, 13106   size:29.51,Price: ,4.4,x
1.121746483, Sport: ,Tennis, Time: ,Tue Nov 10 21:52:00 CET 2015, Time: ,Tue Nov 10 21:52:00 CET 2015, Event: ,Krajicek/Monroe v Falla/Lapentti, Favorite: ,Krajicek/Monroe, 8925143   size:4.18,Price: ,1.29,Falla/Lapentti, 10384565   size:5.38,Price: ,3.15,ok
1.121738661, Sport: ,Tennis, Time: ,Wed Nov 11 09:30:00 CET 2015, Time: ,Wed Nov 11 09:30:00 CET 2015, Event: ,Alibalic v Yang, Favorite: ,Nina Alibalic, 9629314   size:8.4,Price: ,1.04,Yifei Yang, 9633612   size:8.4,Price: ,1.04,ok
1.121733307, Sport: ,Tennis, Time: ,Wed Nov 11 04:45:00 CET 2015, Time: ,Wed Nov 11 04:45:00 CET 2015, Event: ,Rungkat v T Yang, Favorite: ,Tsung-Hua Yang, 8259003   size:4.98,Price: ,1.54,Christopher Rungkat, 7688190   size:31.77,Price: ,2.44,ok
1.121733306, Sport: ,Tennis, Time: ,Wed Nov 11 03:00:00 CET 2015, Time: ,Wed Nov 11 03:00:00 CET 2015, Event: ,Soeda v Young  Kim, Favorite: ,Go Soeda, 2249835   size:230.75,Price: ,1.08,Young Seok Kim, 8506200   size:7.6,Price: ,8.0,ok
1.121733467, Sport: ,Basketball, Time: ,Tue Nov 10 21:00:00 CET 2015, Time: ,Tue Nov 10 21:00:00 CET 2015, Event: ,Gran Canaria v Reggio Emilia, Favorite: ,Gran Canaria, 945506   size:9.34,Price: ,1.35,Reggio Emilia, 958950   size:311.18,Price: ,3.4,ok
1.121696002, Sport: ,Ice Hockey, Time: ,Wed Nov 11 02:00:00 CET 2015, Time: ,Wed Nov 11 02:00:00 CET 2015, Event: ,Winnipeg @ Minnesota, Favorite: ,Minnesota, 2109894   size:103.0,Price: ,2.32,Winnipeg, 5866888   size:2.19,Price: ,2.98,Tie, 60104   size:303.45,Price: ,4.0,ok
1.121485575, Sport: ,Cricket, Time: ,Wed Nov 11 08:00:00 CET 2015, Time: ,Wed Nov 11 08:00:00 CET 2015, Event: ,Bangladesh v Zimbabwe (3rd ODI), Favorite: ,Zimbabwe, 1006   size:2.55,Price: ,1.13,Bangladesh, 7659   size:200.0,Price: ,1.3,x
1.121679726, Sport: ,Volleyball, Time: ,Wed Nov 11 09:00:00 CET 2015, Time: ,Wed Nov 11 09:00:00 CET 2015, Event: ,Hyundai Hillstate v KGC Pro VC, Favorite: ,Hyundai Hillstate, 10391682   size:3783.71,Price: ,1.01,KGC Pro VC, 10391695   size:6.07,Price: ,2.02,ok
1.121650361, Sport: ,Soccer, Time: ,Wed Nov 11 04:00:00 CET 2015, Time: ,Wed Nov 11 04:00:00 CET 2015, Event: ,Dorados v Veracruz, Favorite: ,Dorados, 6119455   size:66.22,Price: ,2.56,Veracruz, 328922   size:76.36,Price: ,3.0,The Draw, 58805   size:526.83,Price: ,3.4,x
1.121742726, Sport: ,Tennis, Time: ,Wed Nov 11 09:30:00 CET 2015, Time: ,Wed Nov 11 09:30:00 CET 2015, Event: ,Diez v Denolly, Favorite: ,Steven Diez, 4903593   size:8.44,Price: ,1.04,Corentin Denolly, 9630402   size:8.44,Price: ,1.04,ok
1.121637929, Sport: ,Soccer, Time: ,Tue Nov 10 22:00:00 CET 2015, Time: ,Tue Nov 10 22:00:00 CET 2015, Event: ,America MG v Vitoria BA, Favorite: ,America MG, 4516149   size:176.39,Price: ,2.14,Vitoria BA, 5310329   size:7.19,Price: ,3.95,The Draw, 58805   size:230.27,Price: ,3.5,ok
