1.121329837, Sport: ,Tennis, Time: ,Mon Oct 19 09:30:00 CEST 2015, Time: ,Mon Oct 19 09:30:00 CEST 2015, Event: ,Propoggia v G Granollers, Favorite: ,Gerard Granollers, 6391754   size:14.35,Price: ,1.51,Dane Propoggia, 8188274   size:28.94,Price: ,2.72
1.121342368, Sport: ,Tennis, Time: ,Mon Oct 19 10:00:00 CEST 2015, Time: ,Mon Oct 19 10:00:00 CEST 2015, Event: ,Cepelova v Dodin, Favorite: ,Jana Cepelova, 5303559   size:157.91,Price: ,1.81,Oceane Dodin, 7289631   size:12.8,Price: ,2.14
1.121342675, Sport: ,Tennis, Time: ,Mon Oct 19 10:00:00 CEST 2015, Time: ,Mon Oct 19 10:00:00 CEST 2015, Event: ,Lajovic v Kamke, Favorite: ,Dusan Lajovic, 4688724   size:26.06,Price: ,1.57,Tobias Kamke, 2581407   size:6.89,Price: ,2.68
1.121342658, Sport: ,Tennis, Time: ,Mon Oct 19 10:00:00 CEST 2015, Time: ,Mon Oct 19 10:00:00 CEST 2015, Event: ,Sevastova v G Dabrowski, Favorite: ,Anastasija Sevastova, 2422070   size:168.98,Price: ,1.41,Gabriela Dabrowski, 5707430   size:2.43,Price: ,3.25
1.121329946, Sport: ,Basketball, Time: ,Mon Oct 19 11:00:00 CEST 2015, Time: ,Mon Oct 19 11:00:00 CEST 2015, Event: ,Oita v Kyoto, Favorite: ,Kyoto, 6718536   size:3.09,Price: ,1.09,Oita, 6736967   size:3.19,Price: ,1.22
1.121346421, Sport: ,Tennis, Time: ,Mon Oct 19 11:30:00 CEST 2015, Time: ,Mon Oct 19 11:30:00 CEST 2015, Event: ,Kasatkina v Kania, Favorite: ,Daria Kasatkina, 7795290   size:4.14,Price: ,1.49,Paula Kania, 7083220   size:13.59,Price: ,2.86
1.121344178, Sport: ,Tennis, Time: ,Mon Oct 19 11:45:00 CEST 2015, Time: ,Mon Oct 19 11:45:00 CEST 2015, Event: ,Karatsev v Elgin, Favorite: ,Aslan Karatsev, 7659748   size:23.44,Price: ,1.64,Mikhail Elgin, 5844509   size:2.03,Price: ,2.46
1.121342647, Sport: ,Tennis, Time: ,Mon Oct 19 12:00:00 CEST 2015, Time: ,Mon Oct 19 12:00:00 CEST 2015, Event: ,A Pavic v Gaio, Favorite: ,Federico Gaio, 8284479   size:6.98,Price: ,1.91,Ante Pavic, 5224080   size:15.59,Price: ,2.02
1.121190640, Sport: ,Soccer, Time: ,Mon Oct 19 14:00:00 CEST 2015, Time: ,Mon Oct 19 14:00:00 CEST 2015, Event: ,Colchester U21 v Cardiff U21, Favorite: ,Colchester U21, 6820442   size:3.52,Price: ,1.07,Cardiff U21, 6820449   size:3.52,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.9
1.121190644, Sport: ,Soccer, Time: ,Mon Oct 19 14:00:00 CEST 2015, Time: ,Mon Oct 19 14:00:00 CEST 2015, Event: ,Huddersfield U21 v Coventry U21, Favorite: ,Huddersfield U21, 6678229   size:3.52,Price: ,1.07,Coventry U21, 6812039   size:3.52,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.9
1.121190626, Sport: ,Soccer, Time: ,Mon Oct 19 14:00:00 CEST 2015, Time: ,Mon Oct 19 14:00:00 CEST 2015, Event: ,Barnsley U21 v Leeds U21, Favorite: ,Barnsley U21, 6667038   size:3.52,Price: ,1.07,Leeds U21, 6867657   size:3.52,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.9
1.121190631, Sport: ,Soccer, Time: ,Mon Oct 19 14:00:00 CEST 2015, Time: ,Mon Oct 19 14:00:00 CEST 2015, Event: ,Brighton U21 v Derby U21, Favorite: ,Derby U21, 6692744   size:2.55,Price: ,2.16,Brighton U21, 6865403   size:2.55,Price: ,2.4,The Draw, 58805   size:5.0,Price: ,3.2
1.121331594, Sport: ,Tennis, Time: ,Mon Oct 19 14:00:00 CEST 2015, Time: ,Mon Oct 19 14:00:00 CEST 2015, Event: ,Donskoy/Kravchuk v Junaid/Zelenay, Favorite: ,Junaid/Zelenay, 8943975   size:2.55,Price: ,1.59,Donskoy/Kravchuk, 9986729   size:2.55,Price: ,2.34
1.121346684, Sport: ,Tennis, Time: ,Mon Oct 19 14:30:00 CEST 2015, Time: ,Mon Oct 19 14:30:00 CEST 2015, Event: ,S Vogt v Tatishvili, Favorite: ,Anna Tatishvili, 2311979   size:4.33,Price: ,1.42,Stephanie Vogt, 2548776   size:204.17,Price: ,3.15
1.121190636, Sport: ,Soccer, Time: ,Mon Oct 19 15:00:00 CEST 2015, Time: ,Mon Oct 19 15:00:00 CEST 2015, Event: ,C Palace U21 v Brentford U21, Favorite: ,C Palace U21, 6614440   size:3.52,Price: ,1.07,Brentford U21, 6628855   size:3.52,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.9
1.121190638, Sport: ,Soccer, Time: ,Mon Oct 19 15:00:00 CEST 2015, Time: ,Mon Oct 19 15:00:00 CEST 2015, Event: ,Charlton U21 v Watford U21, Favorite: ,Charlton U21, 6808104   size:3.52,Price: ,1.07,Watford U21, 10123520   size:3.52,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.9
1.121330050, Sport: ,Tennis, Time: ,Mon Oct 19 15:45:00 CEST 2015, Time: ,Mon Oct 19 15:45:00 CEST 2015, Event: ,Guez v Ramirez Hidalgo, Favorite: ,David Guez, 2263683   size:4.69,Price: ,1.31,Ruben Ramirez Hidalgo, 2257299   size:146.09,Price: ,4.0
1.121332679, Sport: ,Tennis, Time: ,Mon Oct 19 16:00:00 CEST 2015, Time: ,Mon Oct 19 16:00:00 CEST 2015, Event: ,B Becker v Millman, Favorite: ,Benjamin Becker, 2249398   size:43.45,Price: ,1.79,John Millman, 4415206   size:77.14,Price: ,2.18
1.121349500, Sport: ,Tennis, Time: ,Mon Oct 19 16:00:00 CEST 2015, Time: ,Mon Oct 19 16:00:00 CEST 2015, Event: ,Bahamonde v J Paz, Favorite: ,Francisco Bahamonde, 8460149   size:4.1,Price: ,1.06,Juan Pablo Paz, 8461061   size:5.72,Price: ,1.11
