1.121914625, Sport: ,Handball, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Vive Tauron Kielce v Vardar, Favorite: ,Vive Tauron Kielce, 8838618   size:2.83,Price: ,1.03,Vardar, 8006170   size:2.83,Price: ,1.03,Draw, 330157   size:2.83,Price: ,1.03,ok
1.121937058, Sport: ,Soccer, Time: ,Sun Nov 29 12:45:00 CET 2015, Time: ,Sun Nov 29 12:45:00 CET 2015, Event: ,Zaglebie Sosnowiec v GKS Katowice, Favorite: ,Zaglebie Sosnowiec, 2486936   size:49.5,Price: ,2.42,GKS Katowice, 3351396   size:2.83,Price: ,3.3,The Draw, 58805   size:5.75,Price: ,3.35,ok
1.122017355, Sport: ,Volleyball, Time: ,Sat Nov 28 17:00:00 CET 2015, Time: ,Sat Nov 28 17:00:00 CET 2015, Event: ,CV Melilla v Cajasol Juvasa, Favorite: ,Cajasol Juvasa, 7848178   size:6.13,Price: ,1.62,CV Melilla, 10256877   size:2.53,Price: ,2.38,x
1.121985859, Sport: ,Basketball, Time: ,Sun Nov 29 09:00:00 CET 2015, Time: ,Sun Nov 29 09:00:00 CET 2015, Event: ,Shenzhen New Century Le v Zhejiang Guangsha, Favorite: ,Dongguan, 10466369   size:2.83,Price: ,1.03,Zhejiang Guangsha, 8926901   size:12.3,Price: ,1.42,x
1.121962659, Sport: ,Rugby Union, Time: ,Sun Nov 29 15:30:00 CET 2015, Time: ,Sun Nov 29 15:30:00 CET 2015, Event: ,Scarlets v Zebre, Favorite: ,Scarlets, 1339514   size:2.75,Price: ,1.09,Zebre, 6488007   size:2.75,Price: ,6.2,Draw, 246289   size:2.73,Price: ,34.0,ok
1.121887825, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Cirencester v Gosport Borough, Favorite: ,Gosport Borough, 2662210   size:2.82,Price: ,1.64,Cirencester, 1282867   size:2.55,Price: ,5.0,The Draw, 58805   size:4.81,Price: ,3.95,x
1.121888479, Sport: ,Soccer, Time: ,Sat Nov 28 16:30:00 CET 2015, Time: ,Sat Nov 28 16:30:00 CET 2015, Event: ,Maccabi Haifa v Maccabi Netanya, Favorite: ,Maccabi Haifa, 189818   size:114.93,Price: ,1.61,Maccabi Netanya, 427639   size:86.6,Price: ,6.8,The Draw, 58805   size:2.0,Price: ,3.95,ok
1.121888238, Sport: ,Soccer, Time: ,Sun Nov 29 15:00:00 CET 2015, Time: ,Sun Nov 29 15:00:00 CET 2015, Event: ,Grays Athletic v Corinthian Casuals, Favorite: ,Grays Athletic, 62644   size:2.82,Price: ,1.5,Corinthian Casuals, 10542484   size:8.1,Price: ,4.5,The Draw, 58805   size:8.86,Price: ,4.2,x
1.122025463, Sport: ,Basketball, Time: ,Sun Nov 29 07:00:00 CET 2015, Time: ,Sun Nov 29 07:00:00 CET 2015, Event: ,Niigata v Toyama, Favorite: ,Niigata, 6718619   size:2.83,Price: ,1.03,Toyama, 6718629   size:2.83,Price: ,1.03,ok
1.122025464, Sport: ,Basketball, Time: ,Sun Nov 29 06:00:00 CET 2015, Time: ,Sun Nov 29 06:00:00 CET 2015, Event: ,Osaka v Hamamatsu, Favorite: ,Osaka, 6737020   size:2.83,Price: ,1.03,Hamamatsu, 6718617   size:2.83,Price: ,1.03,x
