1.121608363, Sport: ,Soccer, Time: ,Tue Nov 03 22:30:00 CET 2015, Time: ,Tue Nov 03 22:30:00 CET 2015, Event: ,General Diaz v Rubio Nu, Favorite: ,General Diaz, 7036999   size:44.99,Price: ,2.18,Rubio Nu, 5363620   size:42.62,Price: ,3.7,The Draw, 58805   size:30.78,Price: ,3.6,x
1.121609034, Sport: ,Soccer, Time: ,Wed Nov 04 02:00:00 CET 2015, Time: ,Wed Nov 04 02:00:00 CET 2015, Event: ,Uni Cesar Vallejo v Ayacucho Futbol Club, Favorite: ,Uni Cesar Vallejo, 4897906   size:5.0,Price: ,1.48,Ayacucho Futbol Club, 9297155   size:28.28,Price: ,8.8,The Draw, 58805   size:125.84,Price: ,4.5,ok
1.121509282, Sport: ,Soccer, Time: ,Wed Nov 04 00:30:00 CET 2015, Time: ,Wed Nov 04 00:30:00 CET 2015, Event: ,America MG v Paysandu, Favorite: ,America MG, 4516149   size:19.02,Price: ,1.76,Paysandu, 189951   size:73.56,Price: ,5.3,The Draw, 58805   size:7.03,Price: ,3.95,ok
1.121623114, Sport: ,Basketball, Time: ,Wed Nov 04 01:30:00 CET 2015, Time: ,Wed Nov 04 01:30:00 CET 2015, Event: ,Estudiantes (C) v Instituto Atletico Cent, Favorite: ,Instituto Atletico Cent, 10346458   size:68.0,Price: ,1.73,Estudiantes (C), 7753473   size:114.36,Price: ,2.14,x
1.121623115, Sport: ,Basketball, Time: ,Wed Nov 04 02:00:00 CET 2015, Time: ,Wed Nov 04 02:00:00 CET 2015, Event: ,Olimpico v Atenas, Favorite: ,Olimpico, 6719115   size:357.0,Price: ,1.14,Atenas, 6719082   size:8.99,Price: ,6.4,ok
1.121623258, Sport: ,American Football, Time: ,Wed Nov 04 02:00:00 CET 2015, Time: ,Wed Nov 04 02:00:00 CET 2015, Event: ,Northern Illinois Huski @ Toledo Rockets, Favorite: ,Toledo Rockets, 8887818   size:2.55,Price: ,1.34,Northern Illinois Huski, 10486157   size:2.55,Price: ,3.5,x
1.121566164, Sport: ,Basketball, Time: ,Wed Nov 04 02:35:00 CET 2015, Time: ,Wed Nov 04 02:35:00 CET 2015, Event: ,Toronto @ Dallas, Favorite: ,Toronto, 13113   size:3.39,Price: ,1.88,Dallas, 13122   size:74.56,Price: ,2.08,ok
1.121590298, Sport: ,Soccer, Time: ,Tue Nov 03 21:15:00 CET 2015, Time: ,Tue Nov 03 21:15:00 CET 2015, Event: ,FC Utd Manchester v Telford, Favorite: ,Telford, 183604   size:35.27,Price: ,1.17,FC Utd Manchester, 6742984   size:13.99,Price: ,21.0,The Draw, 58805   size:24.48,Price: ,8.8,ok
1.121621073, Sport: ,Tennis, Time: ,Tue Nov 03 23:15:00 CET 2015, Time: ,Tue Nov 03 23:15:00 CET 2015, Event: ,Bangoura/Michalicka v Smethurst/Walsh, Favorite: ,Bangoura/Michalicka, 10344703   size:12.71,Price: ,1.8,Smethurst/Walsh, 10484185   size:2.55,Price: ,2.08,x
1.121565973, Sport: ,Basketball, Time: ,Wed Nov 04 01:35:00 CET 2015, Time: ,Wed Nov 04 01:35:00 CET 2015, Event: ,Indiana @ Detroit, Favorite: ,Detroit, 13111   size:7.29,Price: ,1.57,Indiana, 13116   size:5.0,Price: ,2.68,x
1.121565798, Sport: ,Basketball, Time: ,Wed Nov 04 04:35:00 CET 2015, Time: ,Wed Nov 04 04:35:00 CET 2015, Event: ,Denver @ LA Lakers, Favorite: ,LA Lakers, 2120881   size:50.6,Price: ,1.82,Denver, 13124   size:561.53,Price: ,2.12,x
1.121565733, Sport: ,Basketball, Time: ,Wed Nov 04 01:05:00 CET 2015, Time: ,Wed Nov 04 01:05:00 CET 2015, Event: ,Chicago @ Charlotte, Favorite: ,Chicago, 13117   size:68.84,Price: ,1.59,Charlotte, 13110   size:65.41,Price: ,2.66,x
1.121618683, Sport: ,Tennis, Time: ,Tue Nov 03 21:54:00 CET 2015, Time: ,Tue Nov 03 21:54:00 CET 2015, Event: ,Barrientos/Struvay v Romboli/Zampieri, Favorite: ,Barrientos/Struvay, 8226198   size:99.0,Price: ,1.1,Romboli/Zampieri, 10483998   size:99.0,Price: ,1.1,ok
1.121464033, Sport: ,Ice Hockey, Time: ,Wed Nov 04 03:05:00 CET 2015, Time: ,Wed Nov 04 03:05:00 CET 2015, Event: ,Calgary @ Colorado, Favorite: ,Colorado, 2108117   size:101.0,Price: ,2.5,Calgary, 975675   size:8.38,Price: ,2.74,Tie, 60104   size:339.0,Price: ,3.95,ok
1.121618565, Sport: ,Basketball, Time: ,Wed Nov 04 00:00:00 CET 2015, Time: ,Wed Nov 04 00:00:00 CET 2015, Event: ,Boca Jrs v Weber Bahia Estudiantes, Favorite: ,Boca Jrs, 6719112   size:82.0,Price: ,1.61,Weber Bahia Estudiantes, 6719105   size:106.36,Price: ,2.38,ok
1.121611658, Sport: ,Tennis, Time: ,Wed Nov 04 00:00:00 CET 2015, Time: ,Wed Nov 04 00:00:00 CET 2015, Event: ,Alejandro Gonzalez v Galan, Favorite: ,Alejandro Gonzalez, 6604262   size:5.92,Price: ,1.13,Daniel Elahi Galan, 8860646   size:12.94,Price: ,6.8,ok
1.121565916, Sport: ,Basketball, Time: ,Wed Nov 04 04:05:00 CET 2015, Time: ,Wed Nov 04 04:05:00 CET 2015, Event: ,Memphis @ Sacramento, Favorite: ,Memphis, 119812   size:12.53,Price: ,1.57,Sacramento, 13127   size:38.34,Price: ,2.7,ok
1.121565668, Sport: ,Basketball, Time: ,Wed Nov 04 01:35:00 CET 2015, Time: ,Wed Nov 04 01:35:00 CET 2015, Event: ,Atlanta @ Miami, Favorite: ,Miami, 13109   size:70.56,Price: ,1.59,Atlanta, 13114   size:74.91,Price: ,2.62,x
1.121464263, Sport: ,Ice Hockey, Time: ,Wed Nov 04 04:35:00 CET 2015, Time: ,Wed Nov 04 04:35:00 CET 2015, Event: ,Columbus @ San Jose, Favorite: ,San Jose, 2110001   size:46.12,Price: ,2.02,Columbus, 2114347   size:105.99,Price: ,3.45,Tie, 60104   size:5.0,Price: ,4.3,x
1.121608439, Sport: ,Soccer, Time: ,Wed Nov 04 00:00:00 CET 2015, Time: ,Wed Nov 04 00:00:00 CET 2015, Event: ,Libertad v Sol de America (Par), Favorite: ,Libertad, 328196   size:11.96,Price: ,1.6,Sol de America (Par), 9329179   size:2.81,Price: ,6.4,The Draw, 58805   size:42.56,Price: ,4.2,ok
