1.122197422, Sport: ,Soccer, Time: ,Wed Dec 09 20:45:00 CET 2015, Time: ,Wed Dec 09 20:45:00 CET 2015, Event: ,Three Bridges FC v Eastbourne, Favorite: ,Eastbourne, 1034120   size:5.96,Price: ,1.57,Three Bridges FC, 8205407   size:46.76,Price: ,3.5,The Draw, 58805   size:41.26,Price: ,4.0,x
1.122197543, Sport: ,Soccer, Time: ,Wed Dec 09 11:30:00 CET 2015, Time: ,Wed Dec 09 11:30:00 CET 2015, Event: ,Calangute Association v Sporting Goa, Favorite: ,Sporting Goa, 5969463   size:5.0,Price: ,2.26,Calangute Association, 10590061   size:3.06,Price: ,2.74,The Draw, 58805   size:10.56,Price: ,3.7,x
1.122198077, Sport: ,Tennis, Time: ,Wed Dec 09 09:30:00 CET 2015, Time: ,Wed Dec 09 09:30:00 CET 2015, Event: ,Alexandra Riley v Valeriya Strakhova, Favorite: ,Valeriya Strakhova, 8490642   size:7.17,Price: ,1.06,Alexandra Riley, 8961735   size:8.25,Price: ,11.5,ok
1.122164723, Sport: ,Basketball, Time: ,Wed Dec 09 12:35:00 CET 2015, Time: ,Wed Dec 09 12:35:00 CET 2015, Event: ,Zhejiang Guangsha v JiangSu Tongxi, Favorite: ,Zhejiang Guangsha, 8926901   size:688.08,Price: ,1.06,JiangSu Tongxi, 8926916   size:8.42,Price: ,5.9,ok
1.122108588, Sport: ,Soccer, Time: ,Wed Dec 09 17:00:00 CET 2015, Time: ,Wed Dec 09 17:00:00 CET 2015, Event: ,Olympiakos U19 v Arsenal U19, Favorite: ,Arsenal U19, 2502328   size:6.0,Price: ,1.94,Olympiakos U19, 6569318   size:5.2,Price: ,3.2,The Draw, 58805   size:2.55,Price: ,3.65,x
1.122198072, Sport: ,Tennis, Time: ,Wed Dec 09 09:30:00 CET 2015, Time: ,Wed Dec 09 09:30:00 CET 2015, Event: ,Tadeja Majeric v Ester Masuri, Favorite: ,Tadeja Majeric, 2548761   size:7.6,Price: ,1.06,Ester Masuri, 9627740   size:10.38,Price: ,9.0,ok
1.122198071, Sport: ,Tennis, Time: ,Wed Dec 09 09:30:00 CET 2015, Time: ,Wed Dec 09 09:30:00 CET 2015, Event: ,Mara Schmidt v Conny Perrin, Favorite: ,Conny Perrin, 5596573   size:12.85,Price: ,1.07,Mara Schmidt, 9626894   size:16.83,Price: ,6.6,ok
1.122198070, Sport: ,Tennis, Time: ,Wed Dec 09 09:30:00 CET 2015, Time: ,Wed Dec 09 09:30:00 CET 2015, Event: ,Osariemen Airhunmwunde v Tessah Andrianjafitrimo, Favorite: ,Tessah Andrianjafitrimo, 9345643   size:85.7,Price: ,1.03,Osariemen Airhunmwunde, 10601292   size:7.33,Price: ,13.0,ok
1.122112168, Sport: ,Ice Hockey, Time: ,Wed Dec 09 17:30:00 CET 2015, Time: ,Wed Dec 09 17:30:00 CET 2015, Event: ,Dinamo Minsk v CSKA, Favorite: ,CSKA, 2240050   size:55.0,Price: ,1.83,Dinamo Minsk, 3312412   size:47.45,Price: ,3.9,Tie, 60104   size:56.0,Price: ,4.4,ok
1.122167225, Sport: ,Ice Hockey, Time: ,Wed Dec 09 19:00:00 CET 2015, Time: ,Wed Dec 09 19:00:00 CET 2015, Event: ,Tingsryd v Mora, Favorite: ,Tingsryd, 5877522   size:12.67,Price: ,1.65,Mora, 247115   size:105.38,Price: ,4.3,Tie, 60104   size:54.22,Price: ,4.0,x
