1.122099712, Sport: ,Basketball, Time: ,Thu Dec 03 20:30:00 CET 2015, Time: ,Thu Dec 03 20:30:00 CET 2015, Event: ,Famila Schio (W) v Fenerbahce (W), Favorite: ,Famila Schio (W), 7137850   size:2.82,Price: ,1.03,Fenerbahce (W), 5290908   size:2.82,Price: ,1.03,x
1.122087718, Sport: ,Soccer, Time: ,Thu Dec 03 13:00:00 CET 2015, Time: ,Thu Dec 03 13:00:00 CET 2015, Event: ,Dolcan Zabki v Miedz Legnica, Favorite: ,Dolcan Zabki, 4135276   size:5.0,Price: ,1.84,Miedz Legnica, 4935893   size:86.22,Price: ,4.7,The Draw, 58805   size:10.26,Price: ,3.7,x
1.122117106, Sport: ,Soccer, Time: ,Thu Dec 03 13:00:00 CET 2015, Time: ,Thu Dec 03 13:00:00 CET 2015, Event: ,Malmo FF v Molde, Favorite: ,Malmo FF, 174383   size:6.05,Price: ,2.54,Molde, 31321   size:17.64,Price: ,2.84,The Draw, 58805   size:62.73,Price: ,3.7,ok
1.121985323, Sport: ,Ice Hockey, Time: ,Thu Dec 03 17:30:00 CET 2015, Time: ,Thu Dec 03 17:30:00 CET 2015, Event: ,Karpat v Ilves, Favorite: ,Karpat, 66430   size:17.0,Price: ,1.49,Ilves, 66426   size:60.0,Price: ,6.0,Tie, 60104   size:5.0,Price: ,5.5,ok
1.122092900, Sport: ,Basketball, Time: ,Thu Dec 03 23:30:00 CET 2015, Time: ,Thu Dec 03 23:30:00 CET 2015, Event: ,Cearense v Macae, Favorite: ,Cearense, 8948837   size:2.82,Price: ,1.03,Macae, 8948843   size:2.82,Price: ,1.03,ok
1.122101326, Sport: ,Soccer, Time: ,Thu Dec 03 16:30:00 CET 2015, Time: ,Thu Dec 03 16:30:00 CET 2015, Event: ,Bani Yas v Al Nasr (UAE), Favorite: ,Al Nasr (UAE), 6203741   size:10.72,Price: ,2.16,Bani Yas, 6057930   size:91.55,Price: ,3.45,The Draw, 58805   size:26.55,Price: ,3.65,ok
1.122102659, Sport: ,Soccer, Time: ,Thu Dec 03 17:00:00 CET 2015, Time: ,Thu Dec 03 17:00:00 CET 2015, Event: ,CD Oberena v CD Baztan, Favorite: ,CD Oberena, 8397763   size:3.37,Price: ,1.44,CD Baztan, 10366655   size:31.96,Price: ,6.4,The Draw, 58805   size:47.62,Price: ,3.85,ok
1.122101723, Sport: ,Soccer, Time: ,Thu Dec 03 17:40:00 CET 2015, Time: ,Thu Dec 03 17:40:00 CET 2015, Event: ,Al Arabi v Kuwait SC, Favorite: ,Kuwait SC, 3013377   size:2.44,Price: ,1.79,Al Arabi, 3922362   size:2.55,Price: ,3.9,The Draw, 58805   size:2.82,Price: ,3.85,x
1.122101448, Sport: ,Soccer, Time: ,Thu Dec 03 18:15:00 CET 2015, Time: ,Thu Dec 03 18:15:00 CET 2015, Event: ,Lynx FC (Res) v FC Britannia XI (Res), Favorite: ,Lynx FC (Res), 10583685   size:3.78,Price: ,1.11,FC Britannia XI (Res), 10458147   size:3.78,Price: ,1.11,The Draw, 58805   size:5.0,Price: ,3.2,x
1.121999672, Sport: ,Ice Hockey, Time: ,Thu Dec 03 18:30:00 CET 2015, Time: ,Thu Dec 03 18:30:00 CET 2015, Event: ,Valerenga v Sparta Sarpsborg, Favorite: ,Sparta Sarpsborg, 61430   size:2.71,Price: ,2.44,Valerenga, 61435   size:2.56,Price: ,2.58,Tie, 60104   size:6.14,Price: ,4.0,x
1.122096825, Sport: ,Basketball, Time: ,Fri Dec 04 01:30:00 CET 2015, Time: ,Fri Dec 04 01:30:00 CET 2015, Event: ,Denver @ Toronto, Favorite: ,Toronto, 13113   size:11.31,Price: ,1.19,Denver, 13124   size:2.73,Price: ,5.6,x
1.122084460, Sport: ,Basketball, Time: ,Thu Dec 03 11:00:00 CET 2015, Time: ,Thu Dec 03 11:00:00 CET 2015, Event: ,Hiroshima v Sendai, Favorite: ,Hiroshima, 10368766   size:2.82,Price: ,1.03,Sendai, 6718618   size:2.82,Price: ,1.03,x
1.121990630, Sport: ,Soccer, Time: ,Thu Dec 03 18:30:00 CET 2015, Time: ,Thu Dec 03 18:30:00 CET 2015, Event: ,Panachaiki v Panathinaikos, Favorite: ,Panathinaikos, 50334   size:55.11,Price: ,1.35,Panachaiki, 1348729   size:3.65,Price: ,9.4,The Draw, 58805   size:4.94,Price: ,5.6,ok
1.122102494, Sport: ,Soccer, Time: ,Thu Dec 03 20:00:00 CET 2015, Time: ,Thu Dec 03 20:00:00 CET 2015, Event: ,Sabadell v Elche Ilicitano, Favorite: ,Sabadell, 565026   size:5.16,Price: ,1.72,Elche Ilicitano, 10243224   size:2.14,Price: ,4.4,The Draw, 58805   size:4.38,Price: ,3.6,x
1.121991682, Sport: ,Soccer, Time: ,Thu Dec 03 17:00:00 CET 2015, Time: ,Thu Dec 03 17:00:00 CET 2015, Event: ,Mordovia Saransk v Terek Grozni, Favorite: ,Terek Grozni, 939625   size:136.74,Price: ,2.3,Mordovia Saransk, 4045119   size:120.24,Price: ,3.8,The Draw, 58805   size:1319.39,Price: ,3.2,x
1.121999679, Sport: ,Ice Hockey, Time: ,Thu Dec 03 18:30:00 CET 2015, Time: ,Thu Dec 03 18:30:00 CET 2015, Event: ,Frisk Asker v Lorenskog, Favorite: ,Lorenskog, 61424   size:2.07,Price: ,2.42,Frisk Asker, 61425   size:2.0,Price: ,2.5,Tie, 60104   size:75.76,Price: ,4.3,ok
1.122099668, Sport: ,Basketball, Time: ,Fri Dec 04 01:00:00 CET 2015, Time: ,Fri Dec 04 01:00:00 CET 2015, Event: ,Universo/Salvador v Flamengo, Favorite: ,Universo/Salvador, 10484581   size:2.82,Price: ,1.03,Flamengo, 6775296   size:2.82,Price: ,1.03,x
1.122076166, Sport: ,Basketball, Time: ,Thu Dec 03 20:30:00 CET 2015, Time: ,Thu Dec 03 20:30:00 CET 2015, Event: ,Laboral Kutxa v Limoges, Favorite: ,Laboral Kutxa, 7735599   size:307.63,Price: ,1.06,Limoges, 3817200   size:2.0,Price: ,9.4,ok
1.122018729, Sport: ,Handball, Time: ,Thu Dec 03 20:00:00 CET 2015, Time: ,Thu Dec 03 20:00:00 CET 2015, Event: ,Schaffhausen v HCM Baia Mare, Favorite: ,Schaffhausen, 4996261   size:2.82,Price: ,1.03,HCM BAIA MARE, 9049442   size:18.0,Price: ,1.49,Draw, 330157   size:18.0,Price: ,1.49,ok
