1.122254818, Sport: ,Soccer, Time: ,Mon Dec 21 20:00:00 CET 2015, Time: ,Mon Dec 21 20:00:00 CET 2015, Event: ,Belenenses v Boavista, Favorite: ,Belenenses, 48786   size:17.14,Price: ,2.36,Boavista, 10761   size:2.26,Price: ,3.65,The Draw, 58805   size:133.19,Price: ,3.2,ok
1.122357026, Sport: ,Soccer, Time: ,Tue Dec 22 02:40:00 CET 2015, Time: ,Tue Dec 22 02:40:00 CET 2015, Event: ,Harbour View FC v Montego Bay Utd, Favorite: ,Montego Bay Utd, 10105826   size:3.68,Price: ,1.16,Harbour View FC, 7688378   size:46.74,Price: ,1.19,The Draw, 58805   size:4.11,Price: ,3.05,x
1.122359696, Sport: ,Soccer, Time: ,Mon Dec 21 13:30:00 CET 2015, Time: ,Mon Dec 21 13:30:00 CET 2015, Event: ,MS Ironi Or Yehuda v Maccabi Irony Kfar Yona, Favorite: ,MS Ironi Or Yehuda, 10648892   size:3.68,Price: ,1.26,Maccabi Irony Kfar Yona, 5222640   size:3.68,Price: ,1.26,The Draw, 58805   size:5.2,Price: ,3.25,ok
1.122352380, Sport: ,Soccer, Time: ,Mon Dec 21 10:30:00 CET 2015, Time: ,Mon Dec 21 10:30:00 CET 2015, Event: ,PIFA FC v Central Railway, Favorite: ,Central Railway, 9401036   size:5.86,Price: ,2.1,PIFA FC, 8427019   size:2.55,Price: ,2.82,The Draw, 58805   size:6.2,Price: ,3.85,x
1.122359857, Sport: ,Tennis, Time: ,Mon Dec 21 05:00:00 CET 2015, Time: ,Mon Dec 21 05:00:00 CET 2015, Event: ,Jelena Simic v Britt Geukens, Favorite: ,Jelena Simic, 9628645   size:103.12,Price: ,1.35,Britt Geukens, 9148802   size:4.28,Price: ,3.25,x
1.122359858, Sport: ,Tennis, Time: ,Mon Dec 21 05:00:00 CET 2015, Time: ,Mon Dec 21 05:00:00 CET 2015, Event: ,Ellie Halbauer v Veronika Kapshay, Favorite: ,Veronika Kapshay, 6390241   size:50.47,Price: ,1.88,Ellie Halbauer, 8427199   size:8.53,Price: ,2.04,ok
1.122352816, Sport: ,Basketball, Time: ,Tue Dec 22 02:35:00 CET 2015, Time: ,Tue Dec 22 02:35:00 CET 2015, Event: ,Indiana @ San Antonio, Favorite: ,San Antonio, 13121   size:2.55,Price: ,1.15,Indiana, 13116   size:2.38,Price: ,2.1,ok
1.122254474, Sport: ,Soccer, Time: ,Mon Dec 21 19:30:00 CET 2015, Time: ,Mon Dec 21 19:30:00 CET 2015, Event: ,Steaua Bucharest v ACS Poli Timisoara, Favorite: ,Steaua Bucharest, 489080   size:159.31,Price: ,1.55,ACS Poli Timisoara, 6809287   size:101.1,Price: ,8.0,The Draw, 58805   size:261.68,Price: ,4.2,ok
1.122248913, Sport: ,Soccer, Time: ,Mon Dec 21 13:00:00 CET 2015, Time: ,Mon Dec 21 13:00:00 CET 2015, Event: ,Al Masry v Aswan FC, Favorite: ,Al Masry, 5174044   size:38.6,Price: ,1.72,Aswan FC, 10438158   size:5.0,Price: ,5.6,The Draw, 58805   size:2.78,Price: ,3.75,ok
1.122254590, Sport: ,Soccer, Time: ,Mon Dec 21 20:30:00 CET 2015, Time: ,Mon Dec 21 20:30:00 CET 2015, Event: ,Ath Bilbao B v Lugo, Favorite: ,Ath Bilbao B, 4943238   size:19.71,Price: ,2.34,Lugo, 2081063   size:93.59,Price: ,3.6,The Draw, 58805   size:2.0,Price: ,3.25,x
1.122352700, Sport: ,Basketball, Time: ,Mon Dec 21 19:00:00 CET 2015, Time: ,Mon Dec 21 19:00:00 CET 2015, Event: ,Svendborg v SISU, Favorite: ,Svendborg, 6719075   size:2.99,Price: ,1.04,Sisu, 6719078   size:70.11,Price: ,1.38,ok
1.122355138, Sport: ,Tennis, Time: ,Mon Dec 21 04:00:00 CET 2015, Time: ,Mon Dec 21 04:00:00 CET 2015, Event: ,Na-Lae Han v Fatma AL Nabhani, Favorite: ,Fatma Al Nabhani, 10628647   size:61.0,Price: ,1.65,Na-Lae Han, 8842650   size:16.94,Price: ,2.14,x
1.122253818, Sport: ,Soccer, Time: ,Mon Dec 21 16:00:00 CET 2015, Time: ,Mon Dec 21 16:00:00 CET 2015, Event: ,Olympic Safi v Mouloudia Oujda, Favorite: ,Olympic Safi, 6666958   size:2.16,Price: ,2.32,Mouloudia Oujda, 10204926   size:2.55,Price: ,3.25,The Draw, 58805   size:13.72,Price: ,3.05,x
1.122355135, Sport: ,Tennis, Time: ,Mon Dec 21 07:00:00 CET 2015, Time: ,Mon Dec 21 07:00:00 CET 2015, Event: ,Jing Jing LU v Nina Alibalic, Favorite: ,Jing Jing Lu, 10648594   size:6.97,Price: ,1.12,Nina Alibalic, 9629314   size:5.52,Price: ,6.6,ok
1.122249328, Sport: ,Soccer, Time: ,Mon Dec 21 18:45:00 CET 2015, Time: ,Mon Dec 21 18:45:00 CET 2015, Event: ,Al Ahly v Haras El Hodood, Favorite: ,Al Ahly, 1328423   size:2.96,Price: ,1.36,Haras El Hodood, 5168506   size:8.91,Price: ,8.4,The Draw, 58805   size:3.68,Price: ,4.1,ok
1.122355136, Sport: ,Tennis, Time: ,Mon Dec 21 04:00:00 CET 2015, Time: ,Mon Dec 21 04:00:00 CET 2015, Event: ,Myrtille Georges v Nichapa Rungtein, Favorite: ,Myrtille Georges, 7283251   size:0.0,Price: ,0.0,Nichapa Rungtein, 9626325   size:10.14,Price: ,1.05,ok
