1.119711481, Sport: ,Baseball, Time: ,Wed Aug 05 01:10:00 CEST 2015, Time: ,Wed Aug 05 01:10:00 CEST 2015, Event: ,STL @ CIN, Favorite: ,St Louis (J Lackey), 8750362   size:338.0,Price: ,1.8,Cincinnati (A DeSclafani), 9385641   size:331.0,Price: ,2.14,x
1.119826980, Sport: ,Soccer, Time: ,Tue Aug 04 20:30:00 CEST 2015, Time: ,Tue Aug 04 20:30:00 CEST 2015, Event: ,Recreativo Huelva v Marbella, Favorite: ,Recreativo Huelva, 7449173   size:7.16,Price: ,1.92,The Draw, 58805   size:4.94,Price: ,3.4,Marbella, 2250362   size:2.55,Price: ,3.75,ok
1.119828809, Sport: ,Soccer, Time: ,Tue Aug 04 20:00:00 CEST 2015, Time: ,Tue Aug 04 20:00:00 CEST 2015, Event: ,Dundee U20 v Dundee Utd U20, Favorite: ,Dundee U20, 7049332   size:3.19,Price: ,1.71,Dundee Utd U20, 6868316   size:9.03,Price: ,1.76,The Draw, 58805   size:5.92,Price: ,3.9,x
1.119826066, Sport: ,Soccer, Time: ,Tue Aug 04 20:45:00 CEST 2015, Time: ,Tue Aug 04 20:45:00 CEST 2015, Event: ,Chelmsford v Charlton U21, Favorite: ,Charlton U21, 6808104   size:14.0,Price: ,1.7,Chelmsford, 2145810   size:12.0,Price: ,2.0,The Draw, 58805   size:11.0,Price: ,2.8,x
1.119811094, Sport: ,Tennis, Time: ,Tue Aug 04 20:00:00 CEST 2015, Time: ,Tue Aug 04 20:00:00 CEST 2015, Event: ,Lucic-Baroni v Lepchenko, Favorite: ,Varvara Lepchenko, 2263576   size:141.21,Price: ,1.69,Mirjana Lucic-Baroni, 8283006   size:78.97,Price: ,2.44,
1.119844699, Sport: ,Basketball, Time: ,Tue Aug 04 20:05:00 CEST 2015, Time: ,Tue Aug 04 20:05:00 CEST 2015, Event: ,Slovenia v Australia, Favorite: ,Australia, 1499770   size:4.8,Price: ,1.68,ok
1.119826629, Sport: ,Soccer, Time: ,Tue Aug 04 20:30:00 CEST 2015, Time: ,Tue Aug 04 20:30:00 CEST 2015, Event: ,Olimpic Xativa v Villarreal B, Favorite: ,Olimpic Xativa, 5213879   size:2.51,Price: ,2.54,Villarreal B, 2522842   size:2.43,Price: ,2.62,The Draw, 58805   size:4.42,Price: ,3.4,x
1.119828247, Sport: ,Soccer, Time: ,Tue Aug 04 18:00:00 CEST 2015, Time: ,Tue Aug 04 18:00:00 CEST 2015, Event: ,FC Domodedovo v FK Dnepr Smolensk, Favorite: ,FC Domodedovo, 9406581   size:3.86,Price: ,1.6,FK Dnepr Smolensk, 6548117   size:2.41,Price: ,3.9,The Draw, 58805   size:5.08,Price: ,4.3,x
1.119827798, Sport: ,Soccer, Time: ,Tue Aug 04 23:30:00 CEST 2015, Time: ,Tue Aug 04 23:30:00 CEST 2015, Event: ,El Salvador U20 (W) v Guatemala U20 (W), Favorite: ,Guatemala U20 (W), 7103366   size:2.55,Price: ,1.27,El Salvador U20 (W), 7103335   size:5.92,Price: ,2.02,The Draw, 58805   size:85.36,Price: ,4.1,ok
1.119826349, Sport: ,Soccer, Time: ,Tue Aug 04 19:00:00 CEST 2015, Time: ,Tue Aug 04 19:00:00 CEST 2015, Event: ,HNK Gorica v Ponikve, Favorite: ,HNK Gorica, 6692727   size:90.25,Price: ,1.07,Ponikve, 10108939   size:6.02,Price: ,1.11,The Draw, 58805   size:2.84,Price: ,1.25,x
1.119729696, Sport: ,Soccer, Time: ,Tue Aug 04 19:00:00 CEST 2015, Time: ,Tue Aug 04 19:00:00 CEST 2015, Event: ,CS Sfaxien v CA Bizertin, Favorite: ,CS Sfaxien, 8883556   size:2.34,Price: ,2.32,CA Bizertin, 7438197   size:2.55,Price: ,2.94,The Draw, 58805   size:34.13,Price: ,3.15,ok
1.119829450, Sport: ,Tennis, Time: ,Tue Aug 04 21:30:00 CEST 2015, Time: ,Tue Aug 04 21:30:00 CEST 2015, Event: ,Bellis/Cako v Medina Garr/Parra Santo, Favorite: ,Medina Garr/Parra Santo, 9220633   size:3.15,Price: ,1.21,Bellis/Cako, 10109068   size:2.73,Price: ,3.95,ok
