1.122724821, Sport: ,Soccer, Time: ,Sun Jan 24 16:30:00 CET 2016, Time: ,Sun Jan 24 16:30:00 CET 2016, Event: ,Orihuela CF v CF Borriol, Favorite: ,Orihuela CF, 9320423   size:9.25,Price: ,1.06,CF Borriol, 6884068   size:9.25,Price: ,1.06,The Draw, 58805   size:5.28,Price: ,2.88,ok
1.122723653, Sport: ,Soccer, Time: ,Sun Jan 24 16:30:00 CET 2016, Time: ,Sun Jan 24 16:30:00 CET 2016, Event: ,CD Binissalem v Mallorca B, Favorite: ,CD Binissalem, 9320405   size:49.26,Price: ,2.34,Mallorca B, 4144563   size:42.86,Price: ,2.54,The Draw, 58805   size:33.34,Price: ,2.98,x
1.122725534, Sport: ,Soccer, Time: ,Sun Jan 24 12:00:00 CET 2016, Time: ,Sun Jan 24 12:00:00 CET 2016, Event: ,AD Caravaca Vera Cruz v CD Plus Ultra, Favorite: ,AD Caravaca Vera Cruz, 8811932   size:9.25,Price: ,1.06,CD Plus Ultra, 6776318   size:9.25,Price: ,1.06,The Draw, 58805   size:5.28,Price: ,2.88,x
1.122725557, Sport: ,Soccer, Time: ,Sun Jan 24 11:30:00 CET 2016, Time: ,Sun Jan 24 11:30:00 CET 2016, Event: ,CD Illescas v Manzanares CF, Favorite: ,CD Illescas, 6962248   size:9.25,Price: ,1.06,Manzanares CF, 9127864   size:9.25,Price: ,1.06,The Draw, 58805   size:5.28,Price: ,2.88,x
1.122725536, Sport: ,Soccer, Time: ,Sun Jan 24 17:00:00 CET 2016, Time: ,Sun Jan 24 17:00:00 CET 2016, Event: ,UD Almansa v AD San Jose Obrero, Favorite: ,UD Almansa, 9339213   size:9.25,Price: ,1.06,AD San Jose Obrero, 10454403   size:9.25,Price: ,1.06,The Draw, 58805   size:5.28,Price: ,2.88,x
1.122725559, Sport: ,Soccer, Time: ,Sun Jan 24 16:30:00 CET 2016, Time: ,Sun Jan 24 16:30:00 CET 2016, Event: ,Mora CF v Atletico Ibanes, Favorite: ,Mora CF, 6962249   size:9.25,Price: ,1.06,Atletico Ibanes, 8216071   size:9.25,Price: ,1.06,The Draw, 58805   size:5.28,Price: ,2.88,x
1.122725538, Sport: ,Soccer, Time: ,Sun Jan 24 12:00:00 CET 2016, Time: ,Sun Jan 24 12:00:00 CET 2016, Event: ,Arcos CF v San Fernando CD, Favorite: ,Arcos CF, 6540001   size:9.25,Price: ,1.06,San Fernando CD, 9282888   size:9.25,Price: ,1.06,The Draw, 58805   size:5.28,Price: ,2.88,x
1.122725518, Sport: ,Soccer, Time: ,Sun Jan 24 15:45:00 CET 2016, Time: ,Sun Jan 24 15:45:00 CET 2016, Event: ,CD Cayon v SD Rayo Cantabria, Favorite: ,CD Cayon, 7331872   size:9.25,Price: ,1.06,SD Rayo Cantabria, 9339277   size:9.25,Price: ,1.06,The Draw, 58805   size:5.28,Price: ,2.88,x
1.122725551, Sport: ,Soccer, Time: ,Sun Jan 24 16:30:00 CET 2016, Time: ,Sun Jan 24 16:30:00 CET 2016, Event: ,Jerez CF v Moralo, Favorite: ,Jerez CF, 8544256   size:9.25,Price: ,1.06,Moralo, 10621551   size:9.25,Price: ,1.06,The Draw, 58805   size:5.28,Price: ,2.88,ok
1.122725532, Sport: ,Soccer, Time: ,Sun Jan 24 13:00:00 CET 2016, Time: ,Sun Jan 24 13:00:00 CET 2016, Event: ,SD Tenisca v CF Union Viera, Favorite: ,SD Tenisca, 6415386   size:9.25,Price: ,1.06,CF Union Viera, 7313631   size:9.25,Price: ,1.06,The Draw, 58805   size:5.28,Price: ,2.88,x
1.122723651, Sport: ,Soccer, Time: ,Sun Jan 24 13:00:00 CET 2016, Time: ,Sun Jan 24 13:00:00 CET 2016, Event: ,CD Vera v UD Cruz Santa, Favorite: ,CD Vera, 6415551   size:3.5,Price: ,1.32,UD Cruz Santa, 10185304   size:33.01,Price: ,7.4,The Draw, 58805   size:33.01,Price: ,4.2,ok
1.122723770, Sport: ,Soccer, Time: ,Sun Jan 24 11:00:00 CET 2016, Time: ,Sun Jan 24 11:00:00 CET 2016, Event: ,Slaven Belupo v SCR Altach, Favorite: ,Slaven Belupo, 170923   size:13.88,Price: ,1.04,SCR Altach, 872710   size:13.88,Price: ,1.04,The Draw, 58805   size:5.28,Price: ,2.88,ok
1.122733607, Sport: ,Tennis, Time: ,Sun Jan 24 16:15:00 CET 2016, Time: ,Sun Jan 24 16:15:00 CET 2016, Event: ,Elias/Ghem v Eysseric/Reyes-Varela, Favorite: ,Elias/Ghem, 8576125   size:13.88,Price: ,1.04,Eysseric/Reyes-Varela, 10689060   size:13.88,Price: ,1.04,ok
1.122723647, Sport: ,Soccer, Time: ,Sun Jan 24 16:00:00 CET 2016, Time: ,Sun Jan 24 16:00:00 CET 2016, Event: ,La Gineta CF v Albacete Balompie II, Favorite: ,La Gineta CF, 7447289   size:47.84,Price: ,2.38,Albacete Balompie II, 8041135   size:41.26,Price: ,2.6,The Draw, 58805   size:32.2,Price: ,3.05,x
1.122725542, Sport: ,Soccer, Time: ,Sun Jan 24 13:00:00 CET 2016, Time: ,Sun Jan 24 13:00:00 CET 2016, Event: ,CD La Cuadra v Real Sporting San Jose, Favorite: ,CD La Cuadra, 10398430   size:9.25,Price: ,1.06,Real Sporting San Jose, 6117117   size:9.25,Price: ,1.06,The Draw, 58805   size:5.28,Price: ,2.88,x
1.122725553, Sport: ,Soccer, Time: ,Sun Jan 24 17:00:00 CET 2016, Time: ,Sun Jan 24 17:00:00 CET 2016, Event: ,Espinardo Atletico v Huercal-Overa CF, Favorite: ,Espinardo Atletico, 10215484   size:71.75,Price: ,1.92,Huercal-Overa CF, 8480091   size:33.01,Price: ,3.15,The Draw, 58805   size:33.01,Price: ,3.1,x
