1.120153668, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Sheff Wed v Middlesbrough, Favorite: ,Middlesbrough, 63907   size:582.4,Price: ,2.36,The Draw, 58805   size:500.87,Price: ,3.35,Sheff Wed, 47992   size:19.33,Price: ,3.5,ok
1.120225343, Sport: ,Soccer, Time: ,Sat Aug 29 17:00:00 CEST 2015, Time: ,Sat Aug 29 17:00:00 CEST 2015, Event: ,Dobrovice v Varnsdorf, Favorite: ,Varnsdorf, 4142631   size:8.0,Price: ,1.56,The Draw, 58805   size:17.25,Price: ,3.45,Dobrovice, 8761009   size:8.0,Price: ,3.8,ok
1.120301415, Sport: ,Soccer, Time: ,Sat Aug 29 17:00:00 CEST 2015, Time: ,Sat Aug 29 17:00:00 CEST 2015, Event: ,Etoile du Sahel v Stade Gabesien, Favorite: ,The Draw, 58805   size:137.52,Price: ,1.06,x
1.120153303, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Rotherham v Fulham, Favorite: ,Rotherham, 18565   size:546.0,Price: ,2.48,Fulham, 56764   size:47.56,Price: ,3.15,The Draw, 58805   size:164.1,Price: ,3.5,x
1.120140909, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Brackley Town v Worcester, Favorite: ,Brackley Town, 2145773   size:2.58,Price: ,2.42,Worcester, 1034121   size:2.15,Price: ,2.9,The Draw, 58805   size:2.23,Price: ,3.55,ok
1.120083358, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Liverpool v West Ham, Favorite: ,Liverpool, 56323   size:8787.21,Price: ,1.39,The Draw, 58805   size:2036.15,Price: ,5.3,West Ham, 48756   size:2279.15,Price: ,10.0,x
1.120083599, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Chelsea v C Palace, Favorite: ,Chelsea, 55190   size:16385.74,Price: ,1.39,The Draw, 58805   size:1723.82,Price: ,5.2,C Palace, 52689   size:1865.41,Price: ,10.5,x
1.120083478, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Bournemouth v Leicester, Favorite: ,Bournemouth, 1141   size:7278.12,Price: ,2.1,Leicester, 48461   size:4165.67,Price: ,3.75,The Draw, 58805   size:282.29,Price: ,3.8,x
1.120083238, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Stoke v West Brom, Favorite: ,Stoke, 69720   size:4554.89,Price: ,2.1,The Draw, 58805   size:2368.01,Price: ,3.3,West Brom, 1703   size:1971.03,Price: ,4.3,x
1.120294260, Sport: ,Soccer, Time: ,Sat Aug 29 17:00:00 CEST 2015, Time: ,Sat Aug 29 17:00:00 CEST 2015, Event: ,FC Olt Slatina v CS Atletic Bradu, Favorite: ,The Draw, 58805   size:136.27,Price: ,1.06,x
1.120142770, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Upsala IF v Avesta AIK, Favorite: ,Upsala IF, 9371570   size:2.0,Price: ,1.73,Avesta AIK, 9394504   size:15.0,Price: ,3.15,The Draw, 58805   size:14.25,Price: ,3.4,x
1.120216400, Sport: ,Rugby Union, Time: ,Sat Aug 29 20:45:00 CEST 2015, Time: ,Sat Aug 29 20:45:00 CEST 2015, Event: ,Brive v Stade Francais, Favorite: ,Brive, 632440   size:14.89,Price: ,1.39,Stade Francais, 233949   size:357.89,Price: ,3.4,Draw, 246289   size:3.26,Price: ,20.0,ok
1.120223603, Sport: ,Soccer, Time: ,Sat Aug 29 18:30:00 CEST 2015, Time: ,Sat Aug 29 18:30:00 CEST 2015, Event: ,SC Wiedenbruck v Rot-Weiss Ahlen, Favorite: ,SC Wiedenbruck, 4064040   size:10.27,Price: ,2.08,Rot-Weiss Ahlen, 2486895   size:29.75,Price: ,3.55,The Draw, 58805   size:2.55,Price: ,3.7,x
1.120146452, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Albion v Brechin, Favorite: ,Albion, 729807   size:122.56,Price: ,2.12,Brechin, 238429   size:30.93,Price: ,3.5,The Draw, 58805   size:2.55,Price: ,3.7,ok
1.120147662, Sport: ,Soccer, Time: ,Sat Aug 29 20:30:00 CEST 2015, Time: ,Sat Aug 29 20:30:00 CEST 2015, Event: ,Albacete v Huesca, Favorite: ,Albacete, 309089   size:36.06,Price: ,1.92,The Draw, 58805   size:19.3,Price: ,3.5,Huesca, 2250353   size:2.61,Price: ,4.7,x
1.120160866, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Dundee v Inverness CT, Favorite: ,Dundee, 13133   size:271.67,Price: ,2.14,The Draw, 58805   size:277.18,Price: ,3.5,Inverness CT, 56285   size:91.42,Price: ,4.0,x
1.120144038, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Grotta v Thor, Favorite: ,Thor, 3965658   size:10.0,Price: ,1.83,The Draw, 58805   size:11.86,Price: ,3.9,Grotta, 3968883   size:10.43,Price: ,4.3,ok
1.120145920, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,St Mirren v Livingston, Favorite: ,St Mirren, 674748   size:33.73,Price: ,2.02,The Draw, 58805   size:20.24,Price: ,3.65,Livingston, 57423   size:108.6,Price: ,4.1,x
1.120142774, Sport: ,Soccer, Time: ,Sat Aug 29 20:00:00 CEST 2015, Time: ,Sat Aug 29 20:00:00 CEST 2015, Event: ,Tubize v Seraing Utd, Favorite: ,Seraing Utd, 8727584   size:2.29,Price: ,2.72,The Draw, 58805   size:23.53,Price: ,3.45,x
1.120141200, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Stockport v Stalybridge, Favorite: ,Stockport, 47997   size:2.0,Price: ,1.46,The Draw, 58805   size:6.52,Price: ,4.3,Stalybridge, 597720   size:34.97,Price: ,6.0,x
1.120285432, Sport: ,Soccer, Time: ,Sat Aug 29 17:00:00 CEST 2015, Time: ,Sat Aug 29 17:00:00 CEST 2015, Event: ,CDSC Cruz Azul U20 v CF America U20, Favorite: ,The Draw, 58805   size:137.52,Price: ,1.06,ok
1.120143390, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Eskilstuna City v Varmdo IF, Favorite: ,Eskilstuna City, 6163989   size:2.0,Price: ,1.8,Varmdo IF, 4638397   size:7.25,Price: ,2.96,The Draw, 58805   size:7.65,Price: ,3.35,ok
1.120139249, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Orebro v Hacken, Favorite: ,Hacken, 30681   size:31.8,Price: ,2.62,Orebro, 42617   size:34.09,Price: ,2.8,The Draw, 58805   size:279.77,Price: ,3.6,x
1.120284469, Sport: ,Soccer, Time: ,Sat Aug 29 15:30:00 CEST 2015, Time: ,Sat Aug 29 15:30:00 CEST 2015, Event: ,Ararat Yerevan v Alashkert, Favorite: ,Alashkert, 9686394   size:2.79,Price: ,2.24,Ararat Yerevan, 46920   size:4.8,Price: ,3.2,The Draw, 58805   size:8.0,Price: ,3.35,ok
1.120225694, Sport: ,Soccer, Time: ,Sat Aug 29 17:00:00 CEST 2015, Time: ,Sat Aug 29 17:00:00 CEST 2015, Event: ,Olympia Hradec Kralove v Bohemians 1905, Favorite: ,The Draw, 58805   size:137.52,Price: ,1.06,Bohemians 1905, 2467701   size:2.0,Price: ,1.1,x
1.120288026, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,CF Benfica (W) v Clube de Albergaria (W), Favorite: ,The Draw, 58805   size:136.27,Price: ,1.06,x
1.120286764, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Guimaraes U19 v Pacos Ferreira U19, Favorite: ,The Draw, 58805   size:137.52,Price: ,1.06,x
1.120141412, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Linfield v Portadown, Favorite: ,Linfield, 44330   size:2.55,Price: ,1.62,The Draw, 58805   size:10.43,Price: ,4.3,Portadown, 180586   size:2.73,Price: ,6.0,ok
1.120138397, Sport: ,Soccer, Time: ,Sat Aug 29 15:30:00 CEST 2015, Time: ,Sat Aug 29 15:30:00 CEST 2015, Event: ,FC Koln v Hamburg, Favorite: ,FC Koln, 44783   size:915.26,Price: ,1.84,The Draw, 58805   size:194.04,Price: ,3.75,Hamburg, 204703   size:324.27,Price: ,5.1,ok
1.120152419, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Morecambe v Notts Co, Favorite: ,Morecambe, 51311   size:7.92,Price: ,2.64,Notts Co, 486328   size:323.69,Price: ,2.86,The Draw, 58805   size:24.22,Price: ,3.5,ok
1.120138272, Sport: ,Soccer, Time: ,Sat Aug 29 18:30:00 CEST 2015, Time: ,Sat Aug 29 18:30:00 CEST 2015, Event: ,Bayern Munich v Leverkusen, Favorite: ,Bayern Munich, 5774350   size:4761.28,Price: ,1.38,The Draw, 58805   size:99.46,Price: ,5.6,Leverkusen, 44787   size:265.65,Price: ,9.8,ok
1.120147753, Sport: ,Soccer, Time: ,Sat Aug 29 20:30:00 CEST 2015, Time: ,Sat Aug 29 20:30:00 CEST 2015, Event: ,Girona v Numancia, Favorite: ,Girona, 968185   size:9.63,Price: ,1.94,The Draw, 58805   size:104.6,Price: ,3.4,Numancia, 28189   size:22.94,Price: ,4.8,x
1.120146662, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Dunfermline v Stranraer, Favorite: ,Dunfermline, 48812   size:10.32,Price: ,1.4,The Draw, 58805   size:8.19,Price: ,5.2,Stranraer, 122903   size:9.94,Price: ,8.2,ok
1.120141097, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Tamworth v Nuneaton, Favorite: ,Tamworth, 62650   size:118.65,Price: ,2.16,Nuneaton, 228536   size:3.3,Price: ,3.15,The Draw, 58805   size:2.73,Price: ,3.55,x
1.120143155, Sport: ,Soccer, Time: ,Sat Aug 29 19:45:00 CEST 2015, Time: ,Sat Aug 29 19:45:00 CEST 2015, Event: ,Waalwijk v Jong PSV, Favorite: ,Waalwijk, 48447   size:301.8,Price: ,2.42,Jong PSV, 3348592   size:129.14,Price: ,3.1,The Draw, 58805   size:57.05,Price: ,3.55,x
1.120141771, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Drammen v Fram Larvik, Favorite: ,Fram Larvik, 1146616   size:2.0,Price: ,1.14,The Draw, 58805   size:2.42,Price: ,7.8,Drammen, 5508512   size:2.56,Price: ,14.5,ok
1.120219322, Sport: ,Rugby Union, Time: ,Sat Aug 29 15:30:00 CEST 2015, Time: ,Sat Aug 29 15:30:00 CEST 2015, Event: ,Ireland v Wales, Favorite: ,Ireland, 351   size:1221.4,Price: ,1.42,Wales, 14118   size:331.49,Price: ,3.65,Draw, 246289   size:15.89,Price: ,34.0,x
