1.121115116, Sport: ,Ice Hockey, Time: ,Sun Oct 11 16:30:00 CEST 2015, Time: ,Sun Oct 11 16:30:00 CEST 2015, Event: ,Plzen v Mlada Boleslav, Favorite: ,Tie, 60104   size:18.0,Price: ,1.81,Plzen, 563267   size:19.69,Price: ,1.85,Mlada Boleslav, 3327988   size:15.7,Price: ,2.94
1.121113731, Sport: ,Ice Hockey, Time: ,Sun Oct 11 17:00:00 CEST 2015, Time: ,Sun Oct 11 17:00:00 CEST 2015, Event: ,Skalica v MHC Mountfield, Favorite: ,MHC Mountfield, 4982012   size:33.79,Price: ,2.2,Skalica, 2078556   size:5.72,Price: ,2.64,Tie, 60104   size:10.93,Price: ,4.5
1.121113794, Sport: ,Ice Hockey, Time: ,Sun Oct 11 17:00:00 CEST 2015, Time: ,Sun Oct 11 17:00:00 CEST 2015, Event: ,Zilina v Piestany, Favorite: ,Zilina, 2078590   size:137.56,Price: ,2.2,Piestany, 6651342   size:24.59,Price: ,2.66,Tie, 60104   size:113.84,Price: ,4.0
1.121103283, Sport: ,Soccer, Time: ,Sun Oct 11 17:00:00 CEST 2015, Time: ,Sun Oct 11 17:00:00 CEST 2015, Event: ,Besiktas v Shakhtar, Favorite: ,Shakhtar, 477822   size:2.55,Price: ,2.42,Besiktas, 232068   size:6.7,Price: ,2.48,The Draw, 58805   size:4.33,Price: ,3.45
1.121187930, Sport: ,Tennis, Time: ,Sun Oct 11 17:15:00 CEST 2015, Time: ,Sun Oct 11 17:15:00 CEST 2015, Event: ,Capalbo v Makiguchi, Favorite: ,Ryusei Makiguchi, 8490864   size:8.27,Price: ,1.17,Franco Capalbo, 9632691   size:5.32,Price: ,5.2
1.121187934, Sport: ,Tennis, Time: ,Sun Oct 11 17:15:00 CEST 2015, Time: ,Sun Oct 11 17:15:00 CEST 2015, Event: ,Villanueva v Espin Busleiman, Favorite: ,Gonzalo Villanueva, 9042439   size:2.73,Price: ,1.09,Geronimo Espin Busleima, 9629977   size:2.69,Price: ,9.0
1.121115000, Sport: ,Ice Hockey, Time: ,Sun Oct 11 17:30:00 CEST 2015, Time: ,Sun Oct 11 17:30:00 CEST 2015, Event: ,VSV v KAC Klagenfurt, Favorite: ,VSV, 565881   size:5.72,Price: ,2.02,KAC Klagenfurt, 1348429   size:5.72,Price: ,2.78,Tie, 60104   size:113.8,Price: ,4.0
1.120889806, Sport: ,American Football, Time: ,Sun Oct 11 19:00:00 CEST 2015, Time: ,Sun Oct 11 19:00:00 CEST 2015, Event: ,Seattle @ Cincinnati, Favorite: ,Cincinnati Bengals, 50210   size:11.57,Price: ,1.64,Seattle Seahawks, 50213   size:702.4,Price: ,2.52
1.120889847, Sport: ,American Football, Time: ,Sun Oct 11 19:00:00 CEST 2015, Time: ,Sun Oct 11 19:00:00 CEST 2015, Event: ,Jacksonville @ Tampa Bay, Favorite: ,Tampa Bay Buccaneers, 50190   size:166.21,Price: ,1.71,Jacksonville Jaguars, 50207   size:344.01,Price: ,2.34
1.121187942, Sport: ,Tennis, Time: ,Sun Oct 11 19:00:00 CEST 2015, Time: ,Sun Oct 11 19:00:00 CEST 2015, Event: ,Agamenone v Ficovich, Favorite: ,Franco Agamenone, 8979622   size:17.13,Price: ,1.41,Juan Pablo Ficovich, 8908205   size:7.37,Price: ,3.05
