1.122549123, Sport: ,Basketball, Time: ,Tue Jan 12 17:00:00 CET 2016, Time: ,Tue Jan 12 17:00:00 CET 2016, Event: ,Nevezis v AVIS Rapla, Favorite: ,Nevezis, 5154509   size:78.54,Price: ,1.51,AVIS Rapla, 10362143   size:16.84,Price: ,2.82,x
1.122474558, Sport: ,Soccer, Time: ,Tue Jan 12 20:45:00 CET 2016, Time: ,Tue Jan 12 20:45:00 CET 2016, Event: ,Bristol City v Preston, Favorite: ,Bristol City, 69745   size:112.05,Price: ,2.56,Preston, 56295   size:32.94,Price: ,3.2,The Draw, 58805   size:3157.56,Price: ,3.3,x
1.122551041, Sport: ,Soccer, Time: ,Tue Jan 12 20:45:00 CET 2016, Time: ,Tue Jan 12 20:45:00 CET 2016, Event: ,Gloucester v Curzon Ashton, Favorite: ,Gloucester, 2662209   size:4.14,Price: ,2.4,Curzon Ashton, 3396712   size:18.23,Price: ,3.1,The Draw, 58805   size:2.55,Price: ,3.5,ok
1.122549243, Sport: ,Basketball, Time: ,Tue Jan 12 18:05:00 CET 2016, Time: ,Tue Jan 12 18:05:00 CET 2016, Event: ,Horsens v Naestved, Favorite: ,Horsens, 6719071   size:14.48,Price: ,1.26,Naestved, 6719080   size:21.54,Price: ,4.1,x
1.122537812, Sport: ,Basketball, Time: ,Wed Jan 13 02:05:00 CET 2016, Time: ,Wed Jan 13 02:05:00 CET 2016, Event: ,Houston @ Memphis, Favorite: ,Memphis, 119812   size:2.55,Price: ,1.33,Houston, 13123   size:2.55,Price: ,1.48,x
1.122457142, Sport: ,Bowls, Time: ,Tue Jan 12 15:00:00 CET 2016, Time: ,Tue Jan 12 15:00:00 CET 2016, Event: ,Jason Greenslade v Jamie Chestney, Favorite: ,Jason Greenslade, 2266401   size:0.0,Price: ,0.0,Jamie Chestney, 2262228   size:0.0,Price: ,0.0,x
1.122551207, Sport: ,Soccer, Time: ,Tue Jan 12 20:45:00 CET 2016, Time: ,Tue Jan 12 20:45:00 CET 2016, Event: ,Stocksbridge Park v Gresley, Favorite: ,Stocksbridge Park, 5112674   size:2.55,Price: ,1.68,Gresley, 8077169   size:11.12,Price: ,3.45,The Draw, 58805   size:11.12,Price: ,3.45,x
1.122486819, Sport: ,Soccer, Time: ,Tue Jan 12 20:45:00 CET 2016, Time: ,Tue Jan 12 20:45:00 CET 2016, Event: ,Coventry v Walsall, Favorite: ,Coventry, 48043   size:179.22,Price: ,2.22,Walsall, 55213   size:241.73,Price: ,3.5,The Draw, 58805   size:95.97,Price: ,3.65,x
1.122550876, Sport: ,Soccer, Time: ,Tue Jan 12 15:45:00 CET 2016, Time: ,Tue Jan 12 15:45:00 CET 2016, Event: ,Kuwait SC v Al Salmiyah, Favorite: ,Kuwait SC, 3013377   size:2.55,Price: ,2.06,Al Salmiyah, 7188818   size:4.0,Price: ,3.4,The Draw, 58805   size:29.8,Price: ,3.45,x
1.122457140, Sport: ,Bowls, Time: ,Tue Jan 12 11:00:00 CET 2016, Time: ,Tue Jan 12 11:00:00 CET 2016, Event: ,Andy Thomson v Connor Cinato, Favorite: ,Andy Thomson, 2266406   size:7.09,Price: ,1.11,Connor Cinato, 10683980   size:27.21,Price: ,6.4,x
1.122554315, Sport: ,Soccer, Time: ,Tue Jan 12 20:45:00 CET 2016, Time: ,Tue Jan 12 20:45:00 CET 2016, Event: ,Staines Town v Metropolitan Police, Favorite: ,Staines Town, 2608906   size:2.07,Price: ,2.42,Metropolitan Police, 6217278   size:5.06,Price: ,2.6,The Draw, 58805   size:4.88,Price: ,3.5,x
1.122539798, Sport: ,Ice Hockey, Time: ,Tue Jan 12 17:30:00 CET 2016, Time: ,Tue Jan 12 17:30:00 CET 2016, Event: ,HC Dynamo Moscow v Jokerit Helsinki, Favorite: ,Hc Dynamo Moscow, 10698100   size:2.27,Price: ,2.2,Jokerit Helsinki, 315116   size:8.1,Price: ,2.96,Tie, 60104   size:24.29,Price: ,3.9,ok
