1.119846506, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Telford v Curzon Ashton, Favorite: ,Telford, 183604   size:2.65,Price: ,1.89,The Draw, 58805   size:2.55,Price: ,3.85,Curzon Ashton, 3396712   size:3.7,Price: ,4.3,x
1.119939955, Sport: ,Tennis, Time: ,Tue Aug 11 19:00:00 CEST 2015, Time: ,Tue Aug 11 19:00:00 CEST 2015, Event: ,Azarenka v Svitolina, Favorite: ,Victoria Azarenka, 2263640   size:634.37,Price: ,1.22,Elina Svitolina, 6324464   size:29.97,Price: ,5.3,ok
1.119846508, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Alfreton Town v Lowestoft Town, Favorite: ,Alfreton Town, 990646   size:184.67,Price: ,1.67,The Draw, 58805   size:13.81,Price: ,4.1,Lowestoft Town, 2870977   size:63.74,Price: ,5.4,x
1.119842547, Sport: ,Soccer, Time: ,Tue Aug 11 20:00:00 CEST 2015, Time: ,Tue Aug 11 20:00:00 CEST 2015, Event: ,Auxerre v Red Star, Favorite: ,Auxerre, 44800   size:199.07,Price: ,2.62,The Draw, 58805   size:111.95,Price: ,3.2,ok
1.119846502, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,North Ferriby Utd v Chorley, Favorite: ,Chorley, 4231709   size:2.51,Price: ,2.22,North Ferriby Utd, 3168552   size:7.13,Price: ,3.3,The Draw, 58805   size:6.83,Price: ,3.7,x
1.119841973, Sport: ,Soccer, Time: ,Tue Aug 11 23:45:00 CEST 2015, Time: ,Tue Aug 11 23:45:00 CEST 2015, Event: ,Univ Catolica (Ecu) v Deportivo La Guaira, Favorite: ,Univ Catolica (Ecu), 7005170   size:6.25,Price: ,1.48,The Draw, 58805   size:98.74,Price: ,4.4,Deportivo La Guaira, 7658015   size:36.36,Price: ,9.4,x
1.119956833, Sport: ,Soccer, Time: ,Tue Aug 11 20:00:00 CEST 2015, Time: ,Tue Aug 11 20:00:00 CEST 2015, Event: ,Muro CF v Olimpic Xativa, Favorite: ,Olimpic Xativa, 5213879   size:2.96,Price: ,2.14,Muro CF, 6404404   size:2.55,Price: ,3.15,The Draw, 58805   size:63.64,Price: ,3.2,x
1.119970884, Sport: ,Tennis, Time: ,Tue Aug 11 20:30:00 CEST 2015, Time: ,Tue Aug 11 20:30:00 CEST 2015, Event: ,N Djokovic v Bellucci, Favorite: ,Novak Djokovic, 2249229   size:106548.58,Price: ,1.02,Thomaz Bellucci, 2830908   size:13.36,Price: ,36.0,ok
1.119846504, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Stalybridge v Bradford PA, Favorite: ,Bradford PA, 598919   size:40.24,Price: ,2.38,Stalybridge, 597720   size:3.62,Price: ,3.05,The Draw, 58805   size:7.81,Price: ,3.6,x
1.119939030, Sport: ,Tennis, Time: ,Tue Aug 11 22:00:00 CEST 2015, Time: ,Tue Aug 11 22:00:00 CEST 2015, Event: ,B Becker v Isner, Favorite: ,John Isner, 2474763   size:2449.13,Price: ,1.23,Benjamin Becker, 2249398   size:5.0,Price: ,5.3,ok
1.119841609, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Rochdale v Coventry, Favorite: ,Rochdale, 256383   size:123.36,Price: ,2.2,The Draw, 58805   size:59.74,Price: ,3.55,Coventry, 48043   size:39.45,Price: ,3.6,x
1.119838727, Sport: ,Baseball, Time: ,Wed Aug 12 01:10:00 CEST 2015, Time: ,Wed Aug 12 01:10:00 CEST 2015, Event: ,BOS @ MIA, Favorite: ,Miami (J Nicolino), 9654348   size:315.0,Price: ,1.93,Boston (S Wright), 7555699   size:128.2,Price: ,2.02,ok
1.119845004, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Wolves v Newport County, Favorite: ,Wolves, 48044   size:49.55,Price: ,1.27,The Draw, 58805   size:3.64,Price: ,6.8,Newport County, 62623   size:28.2,Price: ,14.5,ok
1.119846174, Sport: ,Soccer, Time: ,Tue Aug 11 20:00:00 CEST 2015, Time: ,Tue Aug 11 20:00:00 CEST 2015, Event: ,Thor KA (W) v KR Reykjavik (W), Favorite: ,KR Reykjavik (W), 5281239   size:140.88,Price: ,1.06,The Draw, 58805   size:3.24,Price: ,1.26,x
1.119841440, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Bolton v Burton, Favorite: ,Bolton, 48322   size:116.28,Price: ,2.0,The Draw, 58805   size:200.46,Price: ,3.65,Burton, 205084   size:68.82,Price: ,4.3,x
1.119945173, Sport: ,Tennis, Time: ,Tue Aug 11 23:00:00 CEST 2015, Time: ,Tue Aug 11 23:00:00 CEST 2015, Event: ,Fognini/Robredo v Klaasen/Ram, Favorite: ,Klaasen/Ram, 9546313   size:2.55,Price: ,1.59,Fognini/Robredo, 10138986   size:5.17,Price: ,2.42,x
1.119842257, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,York City v Bradford, Favorite: ,Bradford, 48444   size:31.13,Price: ,2.48,York City, 256226   size:157.07,Price: ,3.15,The Draw, 58805   size:173.41,Price: ,3.5,x
1.119838791, Sport: ,Baseball, Time: ,Wed Aug 12 02:10:00 CEST 2015, Time: ,Wed Aug 12 02:10:00 CEST 2015, Event: ,TEX @ MIN, Favorite: ,Minnesota (K Gibson), 7395517   size:316.0,Price: ,1.82,Texas (Y Gallardo), 9378796   size:426.67,Price: ,2.12,ok
1.119939722, Sport: ,Tennis, Time: ,Tue Aug 11 20:15:00 CEST 2015, Time: ,Tue Aug 11 20:15:00 CEST 2015, Event: ,Bautista Agut v Tipsarevic, Favorite: ,Roberto Bautista Agut, 4290403   size:1565.17,Price: ,1.24,Janko Tipsarevic, 2249396   size:23.49,Price: ,5.0,ok
1.119844710, Sport: ,Soccer, Time: ,Tue Aug 11 20:45:00 CEST 2015, Time: ,Tue Aug 11 20:45:00 CEST 2015, Event: ,Blackburn v Shrewsbury, Favorite: ,Blackburn, 48350   size:35.66,Price: ,1.9,The Draw, 58805   size:64.8,Price: ,3.8,Shrewsbury, 148735   size:41.85,Price: ,4.7,x
