1.122535921, Sport: ,Basketball, Time: ,Wed Jan 13 12:35:00 CET 2016, Time: ,Wed Jan 13 12:35:00 CET 2016, Event: ,Qingdao v Zhejiang Chouzhou, Favorite: ,Qingdao, 8926915   size:183.23,Price: ,1.04,Zhejiang Chouzhou, 8926899   size:39.57,Price: ,1.84,ok
1.122535922, Sport: ,Basketball, Time: ,Wed Jan 13 12:35:00 CET 2016, Time: ,Wed Jan 13 12:35:00 CET 2016, Event: ,Shandong v Zhejiang Guangsha, Favorite: ,Shandong, 8926903   size:91.1,Price: ,1.63,Zhejiang Guangsha, 8926901   size:5.01,Price: ,2.26,ok
1.122535923, Sport: ,Basketball, Time: ,Wed Jan 13 12:35:00 CET 2016, Time: ,Wed Jan 13 12:35:00 CET 2016, Event: ,Shanxi v Fujian, Favorite: ,Shanxi, 8926913   size:115.2,Price: ,1.21,Fujian, 8926905   size:9.49,Price: ,4.5,ok
1.122537822, Sport: ,Basketball, Time: ,Wed Jan 13 04:35:00 CET 2016, Time: ,Wed Jan 13 04:35:00 CET 2016, Event: ,New Orleans @ LA Lakers, Favorite: ,New Orleans, 6860646   size:6.96,Price: ,1.66,LA Lakers, 2120881   size:26.92,Price: ,2.42,x
1.122564699, Sport: ,Soccer, Time: ,Wed Jan 13 15:00:00 CET 2016, Time: ,Wed Jan 13 15:00:00 CET 2016, Event: ,Ruch Chorzow v Opava, Favorite: ,Ruch Chorzow, 2160683   size:6.0,Price: ,1.67,Opava, 470216   size:6.0,Price: ,2.96,The Draw, 58805   size:14.0,Price: ,3.2,ok
1.122480871, Sport: ,Soccer, Time: ,Tue Jan 12 20:45:00 CET 2016, Time: ,Tue Jan 12 20:45:00 CET 2016, Event: ,Cliftonville v Carrick Rangers, Favorite: ,Cliftonville, 539979   size:132.96,Price: ,1.45,Carrick Rangers, 2757225   size:18.98,Price: ,7.2,The Draw, 58805   size:6.64,Price: ,5.5,x
1.122537782, Sport: ,Basketball, Time: ,Wed Jan 13 01:35:00 CET 2016, Time: ,Wed Jan 13 01:35:00 CET 2016, Event: ,Boston @ New York, Favorite: ,Boston, 13108   size:28.38,Price: ,1.94,New York, 13106   size:19.11,Price: ,2.02,x
1.122564773, Sport: ,Soccer, Time: ,Wed Jan 13 17:00:00 CET 2016, Time: ,Wed Jan 13 17:00:00 CET 2016, Event: ,Sigma Olomouc B v MKS GKS Jastrzebie Z, Favorite: ,Sigma Olomouc B, 10079892   size:3.19,Price: ,1.24,MKS GKS Jastrzebie Z, 10709665   size:8.97,Price: ,8.4,The Draw, 58805   size:2.55,Price: ,4.9,ok
1.122564255, Sport: ,Soccer, Time: ,Wed Jan 13 18:30:00 CET 2016, Time: ,Wed Jan 13 18:30:00 CET 2016, Event: ,FC Guthersloh 2000 v Arminia Bielefeld, Favorite: ,Arminia Bielefeld, 347829   size:8.35,Price: ,1.13,FC Guthersloh 2000, 8196412   size:5.98,Price: ,14.0,The Draw, 58805   size:9.77,Price: ,7.8,ok
1.122558782, Sport: ,Basketball, Time: ,Wed Jan 13 18:30:00 CET 2016, Time: ,Wed Jan 13 18:30:00 CET 2016, Event: ,Cibona v Le Havre, Favorite: ,Cibona, 767514   size:43.05,Price: ,1.61,Le Havre, 1292696   size:15.97,Price: ,2.4,x
1.122547777, Sport: ,Tennis, Time: ,Wed Jan 13 04:00:00 CET 2016, Time: ,Wed Jan 13 04:00:00 CET 2016, Event: ,Benjasupawa/Trongcharoe v Bozoljac/Vervoort, Favorite: ,Bozoljac/Vervoort, 10706505   size:11.56,Price: ,1.05,Benjasupawa/Trongcharoe, 10706504   size:2.68,Price: ,7.4,ok
1.122561467, Sport: ,Soccer, Time: ,Tue Jan 12 20:45:00 CET 2016, Time: ,Tue Jan 12 20:45:00 CET 2016, Event: ,Merthyr Town v Chippenham, Favorite: ,Merthyr Town, 8749416   size:2140.04,Price: ,1.01,Chippenham, 1282852   size:3.24,Price: ,18.0,The Draw, 58805   size:3.74,Price: ,4.6,ok
1.122559107, Sport: ,Basketball, Time: ,Wed Jan 13 17:30:00 CET 2016, Time: ,Wed Jan 13 17:30:00 CET 2016, Event: ,Helsinki v Nilan Bisons, Favorite: ,Helsinki, 9042443   size:600.38,Price: ,1.04,Nilan Bisons, 7749519   size:600.38,Price: ,1.04,x
1.122203405, Sport: ,Snooker, Time: ,Wed Jan 13 14:00:00 CET 2016, Time: ,Wed Jan 13 14:00:00 CET 2016, Event: ,Higgins v Wenbo, Favorite: ,John Higgins, 2278785   size:970.75,Price: ,1.35,Liang Wenbo, 2293301   size:40.46,Price: ,3.75,ok
1.122564181, Sport: ,Soccer, Time: ,Wed Jan 13 19:30:00 CET 2016, Time: ,Wed Jan 13 19:30:00 CET 2016, Event: ,Austria Salzburg v 1860 Munich, Favorite: ,1860 Munich, 2443   size:5.0,Price: ,1.53,Austria Salzburg, 65363   size:20.86,Price: ,4.2,The Draw, 58805   size:23.41,Price: ,3.85,ok
1.122537832, Sport: ,Basketball, Time: ,Wed Jan 13 02:05:00 CET 2016, Time: ,Wed Jan 13 02:05:00 CET 2016, Event: ,Oklahoma City @ Minnesota, Favorite: ,Oklahoma City, 3363394   size:4990.29,Price: ,1.15,Minnesota, 13118   size:61.08,Price: ,7.0,ok
1.122514554, Sport: ,Volleyball, Time: ,Wed Jan 13 18:00:00 CET 2016, Time: ,Wed Jan 13 18:00:00 CET 2016, Event: ,Panachaiki GE v AO Kifisias, Favorite: ,Panachaiki GE, 8049806   size:2.65,Price: ,1.03,AO Kifisias, 2569563   size:2.65,Price: ,1.03,x
1.122565355, Sport: ,Tennis, Time: ,Wed Jan 13 00:15:00 CET 2016, Time: ,Wed Jan 13 00:15:00 CET 2016, Event: ,H Zeballos v Estevez, Favorite: ,Horacio Zeballos, 3506037   size:185.32,Price: ,1.3,Maximiliano Estevez, 7593393   size:5.23,Price: ,3.5,x
1.122537792, Sport: ,Basketball, Time: ,Wed Jan 13 02:05:00 CET 2016, Time: ,Wed Jan 13 02:05:00 CET 2016, Event: ,Chicago @ Milwaukee, Favorite: ,Chicago, 13117   size:189.24,Price: ,1.68,Milwaukee, 13115   size:109.0,Price: ,2.34,x
1.122564625, Sport: ,Soccer, Time: ,Wed Jan 13 15:00:00 CET 2016, Time: ,Wed Jan 13 15:00:00 CET 2016, Event: ,Luzern v Schaffhausen, Favorite: ,Luzern, 65784   size:2.55,Price: ,1.3,Schaffhausen, 328835   size:6.0,Price: ,4.1,The Draw, 58805   size:2.55,Price: ,3.3,x
1.122547767, Sport: ,Tennis, Time: ,Wed Jan 13 05:45:00 CET 2016, Time: ,Wed Jan 13 05:45:00 CET 2016, Event: ,Kowalczyk/Marcan v Brunstrom/Siljestrom, Favorite: ,Brunstrom/Siljestrom, 10685000   size:3.16,Price: ,1.58,Kowalczyk/Marcan, 10431867   size:2.94,Price: ,1.7,ok
1.122564107, Sport: ,Soccer, Time: ,Wed Jan 13 13:30:00 CET 2016, Time: ,Wed Jan 13 13:30:00 CET 2016, Event: ,Ghazi El Mehalla v Misr El Makasa, Favorite: ,Misr El Makasa, 5905941   size:2.21,Price: ,1.69,Ghazi El Mehalla, 7023880   size:14.05,Price: ,4.8,The Draw, 58805   size:15.86,Price: ,3.5,ok
1.122558807, Sport: ,Basketball, Time: ,Wed Jan 13 18:30:00 CET 2016, Time: ,Wed Jan 13 18:30:00 CET 2016, Event: ,Slask Wroclaw v Boras, Favorite: ,Slask Wroclaw, 272970   size:3.25,Price: ,1.03,Boras, 7037205   size:3.25,Price: ,1.03,x
1.122537802, Sport: ,Basketball, Time: ,Wed Jan 13 02:35:00 CET 2016, Time: ,Wed Jan 13 02:35:00 CET 2016, Event: ,Cleveland @ Dallas, Favorite: ,Cleveland, 13112   size:102.99,Price: ,1.45,Dallas, 13122   size:150.9,Price: ,3.1,ok
1.122514549, Sport: ,Volleyball, Time: ,Wed Jan 13 18:00:00 CET 2016, Time: ,Wed Jan 13 18:00:00 CET 2016, Event: ,Ethnikos Alexandroupoli v Aris Marmouris, Favorite: ,Ethnikos Alexandroupoli, 5894204   size:2.65,Price: ,1.03,Aris Marmouris, 2971576   size:2.65,Price: ,1.03,ok
1.122558763, Sport: ,Basketball, Time: ,Wed Jan 13 13:00:00 CET 2016, Time: ,Wed Jan 13 13:00:00 CET 2016, Event: ,Bangkok City v Saigon Heat, Favorite: ,Bangkok City, 8685611   size:3.25,Price: ,1.03,Saigon Heat, 7008882   size:3.25,Price: ,1.03,ok
1.122514623, Sport: ,Volleyball, Time: ,Wed Jan 13 18:30:00 CET 2016, Time: ,Wed Jan 13 18:30:00 CET 2016, Event: ,Zaksa Kedzierzyn-Kozle v Cuprum Mundo Lubin, Favorite: ,ZAKSA Kedzierzyn-Kozle, 4263012   size:135.53,Price: ,1.05,Cuprum Mundo Lubin, 10410557   size:66.49,Price: ,6.6,ok
1.122514621, Sport: ,Volleyball, Time: ,Wed Jan 13 18:00:00 CET 2016, Time: ,Wed Jan 13 18:00:00 CET 2016, Event: ,Luczniczka Bydgoszcz v AZS Politechnika Warsza, Favorite: ,Luczniczka Bydgoszcz, 10442829   size:174.97,Price: ,1.19,AZS Politechnika Warsza, 6148950   size:65.18,Price: ,1.51,ok
1.122514620, Sport: ,Volleyball, Time: ,Wed Jan 13 18:00:00 CET 2016, Time: ,Wed Jan 13 18:00:00 CET 2016, Event: ,Lotos Trefl Gdansk v Banimex Bedzin, Favorite: ,Lotos Trefl Gdansk, 6008912   size:2.65,Price: ,1.03,Banimex Bedzin, 8890540   size:2.65,Price: ,1.03,x
1.122564995, Sport: ,Soccer, Time: ,Wed Jan 13 16:00:00 CET 2016, Time: ,Wed Jan 13 16:00:00 CET 2016, Event: ,SV Grodig v Union St Florian, Favorite: ,SV Grodig, 3164532   size:4.04,Price: ,1.14,Union St Florian, 3258148   size:6.62,Price: ,1.14,The Draw, 58805   size:13.61,Price: ,4.1,ok
1.122546949, Sport: ,Tennis, Time: ,Tue Jan 12 21:06:00 CET 2016, Time: ,Tue Jan 12 21:06:00 CET 2016, Event: ,Bagnis v Molteni, Favorite: ,Facundo Bagnis, 4520808   size:18490.05,Price: ,1.01,Andres Molteni, 6180419   size:12.23,Price: ,30.0,ok
1.122565886, Sport: ,Soccer, Time: ,Tue Jan 12 22:00:00 CET 2016, Time: ,Tue Jan 12 22:00:00 CET 2016, Event: ,Rio Claro FC U20 v SC Internacional PA U20, Favorite: ,SC Internacional PA U20, 10709876   size:66.49,Price: ,1.82,Rio Claro FC U20, 7360202   size:2.65,Price: ,3.6,The Draw, 58805   size:7.57,Price: ,4.8,ok
1.122514585, Sport: ,Volleyball, Time: ,Wed Jan 13 18:30:00 CET 2016, Time: ,Wed Jan 13 18:30:00 CET 2016, Event: ,Panathinaikos v GS Lamia, Favorite: ,Panathinaikos, 2276375   size:2.65,Price: ,1.03,GS Lamia, 1371922   size:2.65,Price: ,1.03,ok
1.122475187, Sport: ,Soccer, Time: ,Tue Jan 12 20:45:00 CET 2016, Time: ,Tue Jan 12 20:45:00 CET 2016, Event: ,Ashton Utd v Ramsbottom Utd, Favorite: ,Ramsbottom Utd, 7885854   size:27.52,Price: ,1.05,Ashton Utd, 5800540   size:1412.87,Price: ,1.17,The Draw, 58805   size:27.52,Price: ,1.05,x
1.122564477, Sport: ,Soccer, Time: ,Wed Jan 13 16:00:00 CET 2016, Time: ,Wed Jan 13 16:00:00 CET 2016, Event: ,Hammer SpVg v Schalke II, Favorite: ,Schalke II, 5340425   size:2.55,Price: ,1.69,Hammer SpVg, 10529574   size:2.55,Price: ,3.55,The Draw, 58805   size:25.66,Price: ,3.6,x
1.122564551, Sport: ,Soccer, Time: ,Wed Jan 13 14:00:00 CET 2016, Time: ,Wed Jan 13 14:00:00 CET 2016, Event: ,Hirnyk v Oleksandria, Favorite: ,Oleksandria, 5618507   size:5.45,Price: ,1.88,Hirnyk, 7709692   size:31.0,Price: ,3.15,The Draw, 58805   size:29.64,Price: ,3.25,ok
1.122551929, Sport: ,Basketball, Time: ,Wed Jan 13 20:00:00 CET 2016, Time: ,Wed Jan 13 20:00:00 CET 2016, Event: ,Bayern Munchen v Ratiopharm Ulm, Favorite: ,Bayern Munchen, 5859175   size:831.51,Price: ,1.04,Ratiopharm Ulm, 2114275   size:49.61,Price: ,1.67,ok
1.122565960, Sport: ,Soccer, Time: ,Wed Jan 13 00:00:00 CET 2016, Time: ,Wed Jan 13 00:00:00 CET 2016, Event: ,Corinthians Pau U20 v Guarani FC Camp U20, Favorite: ,Corinthians Pau U20, 10709889   size:9.69,Price: ,1.16,Guarani FC Camp U20, 10709891   size:2.08,Price: ,14.0,The Draw, 58805   size:5.73,Price: ,6.8,ok
1.122564033, Sport: ,Soccer, Time: ,Wed Jan 13 02:10:00 CET 2016, Time: ,Wed Jan 13 02:10:00 CET 2016, Event: ,San Lorenzo v Independiente, Favorite: ,Independiente, 194512   size:31.85,Price: ,2.06,San Lorenzo, 194503   size:80.29,Price: ,4.3,The Draw, 58805   size:26.68,Price: ,3.3,x
1.122546900, Sport: ,Tennis, Time: ,Tue Jan 12 22:30:00 CET 2016, Time: ,Tue Jan 12 22:30:00 CET 2016, Event: ,J Eysseric v Ma Gonzalez, Favorite: ,Maximo Gonzalez, 2489416   size:66.82,Price: ,1.21,Jonathan Eysseric, 2426230   size:15.78,Price: ,5.2,ok
1.122535926, Sport: ,Basketball, Time: ,Wed Jan 13 12:35:00 CET 2016, Time: ,Wed Jan 13 12:35:00 CET 2016, Event: ,Tianjin v Shenzhen New Century Le, Favorite: ,Tianjin, 8926906   size:13.25,Price: ,1.03,Dongguan, 10466369   size:27.39,Price: ,1.23,ok
1.122564847, Sport: ,Soccer, Time: ,Wed Jan 13 11:00:00 CET 2016, Time: ,Wed Jan 13 11:00:00 CET 2016, Event: ,Sparta Prague v Usti nad Labem, Favorite: ,Sparta Prague, 110475   size:66.49,Price: ,1.07,Usti Nad Labem, 3358865   size:4.02,Price: ,17.5,The Draw, 58805   size:10.38,Price: ,7.4,ok
1.122514622, Sport: ,Volleyball, Time: ,Wed Jan 13 20:30:00 CET 2016, Time: ,Wed Jan 13 20:30:00 CET 2016, Event: ,Pge Skra Belchatow v Indykpol Azs Olsztyn, Favorite: ,PGE Skra Belchatow, 10477801   size:2.55,Price: ,1.05,Indykpol AZS Olsztyn, 5394564   size:66.49,Price: ,6.6,x
1.122564403, Sport: ,Soccer, Time: ,Wed Jan 13 16:00:00 CET 2016, Time: ,Wed Jan 13 16:00:00 CET 2016, Event: ,Gornik Zabrze v MKS Kluczbork, Favorite: ,Gornik Zabrze, 503499   size:3.95,Price: ,1.14,MKS Kluczbork, 4135270   size:3.95,Price: ,1.14,The Draw, 58805   size:15.95,Price: ,2.88,x
1.122547866, Sport: ,Handball, Time: ,Wed Jan 13 18:00:00 CET 2016, Time: ,Wed Jan 13 18:00:00 CET 2016, Event: ,Turkey v Czech Republic, Favorite: ,Czech Republic, 620375   size:4.72,Price: ,1.29,Turkey, 624142   size:6.14,Price: ,3.95,Draw, 330157   size:36.92,Price: ,10.0,x
