1.121910158, Sport: ,Handball, Time: ,Sat Nov 21 17:30:00 CET 2015, Time: ,Sat Nov 21 17:30:00 CET 2015, Event: ,Vardar v Niederosterreich, Favorite: ,Vardar, 8006170   size:0.0,Price: ,0.0,Niederosterreich, 5860975   size:2.85,Price: ,1.03,Draw, 330157   size:2.85,Price: ,1.03,ok
1.121798575, Sport: ,Soccer, Time: ,Sat Nov 21 17:00:00 CET 2015, Time: ,Sat Nov 21 17:00:00 CET 2015, Event: ,Bohemians 1905 v Banik Ostrava, Favorite: ,Bohemians 1905, 2467701   size:291.02,Price: ,1.27,Banik Ostrava, 367581   size:32.24,Price: ,22.0,The Draw, 58805   size:94.46,Price: ,5.7,ok
1.121910156, Sport: ,Handball, Time: ,Sat Nov 21 20:30:00 CET 2015, Time: ,Sat Nov 21 20:30:00 CET 2015, Event: ,Guadalajara v Go Fit, Favorite: ,Guadalajara, 4995923   size:77.53,Price: ,1.46,Go Fit, 10194536   size:17.38,Price: ,3.15,Draw, 330157   size:4.92,Price: ,8.8,ok
1.121765770, Sport: ,Soccer, Time: ,Sat Nov 21 18:30:00 CET 2015, Time: ,Sat Nov 21 18:30:00 CET 2015, Event: ,Sport Huancayo v Alianza Atletico, Favorite: ,Sport Huancayo, 4972227   size:27.67,Price: ,1.29,Alianza Atletico, 898396   size:5.46,Price: ,8.6,The Draw, 58805   size:2.55,Price: ,5.8,ok
1.121857190, Sport: ,American Football, Time: ,Sat Nov 21 18:00:00 CET 2015, Time: ,Sat Nov 21 18:00:00 CET 2015, Event: ,Florida Atlantic @ Florida, Favorite: ,Florida, 484733   size:9374.73,Price: ,1.03,Florida Atlantic, 2560730   size:21.94,Price: ,14.0,ok
1.121866586, Sport: ,Soccer, Time: ,Sun Nov 22 02:00:00 CET 2015, Time: ,Sun Nov 22 02:00:00 CET 2015, Event: ,FC Juarez v Cafetaleros, Favorite: ,FC Juarez, 10002706   size:2.55,Price: ,1.85,Cafetaleros, 9988646   size:50.03,Price: ,3.8,The Draw, 58805   size:2.94,Price: ,3.55,ok
1.121857193, Sport: ,American Football, Time: ,Sat Nov 21 18:00:00 CET 2015, Time: ,Sat Nov 21 18:00:00 CET 2015, Event: ,North Carolina @ Virginia Tech, Favorite: ,North Carolina, 617088   size:324.66,Price: ,1.55,Virginia Tech, 484728   size:179.69,Price: ,2.72,ok
1.121740234, Sport: ,Soccer, Time: ,Sat Nov 21 20:00:00 CET 2015, Time: ,Sat Nov 21 20:00:00 CET 2015, Event: ,Montpellier v Reims, Favorite: ,Montpellier, 44797   size:143.51,Price: ,2.14,Reims, 298233   size:134.28,Price: ,4.1,The Draw, 58805   size:378.79,Price: ,3.35,ok
1.121812960, Sport: ,Soccer, Time: ,Sun Nov 22 05:30:00 CET 2015, Time: ,Sun Nov 22 05:30:00 CET 2015, Event: ,Hiroshima v Shonan, Favorite: ,Hiroshima, 744103   size:308.67,Price: ,1.58,Shonan, 4546954   size:308.41,Price: ,6.6,The Draw, 58805   size:48.9,Price: ,4.5,ok
1.121857199, Sport: ,American Football, Time: ,Sat Nov 21 18:00:00 CET 2015, Time: ,Sat Nov 21 18:00:00 CET 2015, Event: ,Michigan @ Penn State, Favorite: ,Michigan, 484729   size:31.91,Price: ,1.6,Penn State, 1303222   size:250.97,Price: ,2.5,ok
1.121786914, Sport: ,Volleyball, Time: ,Sat Nov 21 20:00:00 CET 2015, Time: ,Sat Nov 21 20:00:00 CET 2015, Event: ,Luczniczka Bydgoszcz v Asseco Resovia Rzeszow, Favorite: ,Asseco Resovia Rzeszow, 3657095   size:2.55,Price: ,1.13,Luczniczka Bydgoszcz, 10442829   size:11.88,Price: ,5.3,ok
1.121878345, Sport: ,Ice Hockey, Time: ,Sun Nov 22 01:05:00 CET 2015, Time: ,Sun Nov 22 01:05:00 CET 2015, Event: ,Anaheim @ Tampa Bay, Favorite: ,Tampa Bay, 2109715   size:279.0,Price: ,2.34,Anaheim, 60109   size:254.99,Price: ,2.78,Tie, 60104   size:291.0,Price: ,3.95,ok
1.121779828, Sport: ,Soccer, Time: ,Sat Nov 21 18:00:00 CET 2015, Time: ,Sat Nov 21 18:00:00 CET 2015, Event: ,Excelsior Virton v Seraing Utd, Favorite: ,Seraing Utd, 8727584   size:64.76,Price: ,2.6,Excelsior Virton, 505672   size:58.2,Price: ,2.8,The Draw, 58805   size:5.17,Price: ,3.6,x
1.121919758, Sport: ,Soccer, Time: ,Sat Nov 21 23:00:00 CET 2015, Time: ,Sat Nov 21 23:00:00 CET 2015, Event: ,Jennings Grenades FC v Five Islands FC, Favorite: ,Jennings Grenades FC, 8100432   size:8.45,Price: ,1.04,Five Islands FC, 8870555   size:8.45,Price: ,1.04,The Draw, 58805   size:13.19,Price: ,2.88,ok
1.121937889, Sport: ,Soccer, Time: ,Sat Nov 21 19:30:00 CET 2015, Time: ,Sat Nov 21 19:30:00 CET 2015, Event: ,Zwolle (W) v Twente (W), Favorite: ,Twente (W), 5272256   size:2.74,Price: ,1.13,Zwolle (W), 5288608   size:15.56,Price: ,11.0,The Draw, 58805   size:25.18,Price: ,7.0,ok
