1.122191154, Sport: ,Basketball, Time: ,Thu Dec 10 02:00:00 CET 2015, Time: ,Thu Dec 10 02:00:00 CET 2015, Event: ,Holy Cross @ Kansas, Favorite: ,Kansas, 29837   size:2.75,Price: ,1.02,Holy Cross, 707385   size:2.55,Price: ,3.2,ok
1.122204037, Sport: ,Basketball, Time: ,Thu Dec 10 19:00:00 CET 2015, Time: ,Thu Dec 10 19:00:00 CET 2015, Event: ,Nymburk (W) v BCF Elfic Fribourg Wome, Favorite: ,Nymburk (W), 10466213   size:2.75,Price: ,1.03,BCF Elfic Fribourg Wome, 10459538   size:2.75,Price: ,1.03,ok
1.122194025, Sport: ,Soccer, Time: ,Wed Dec 09 22:00:00 CET 2015, Time: ,Wed Dec 09 22:00:00 CET 2015, Event: ,Cerro Porteno v Olimpia, Favorite: ,Cerro Porteno, 335852   size:4.6,Price: ,2.44,Olimpia, 328699   size:24.2,Price: ,3.1,The Draw, 58805   size:3.76,Price: ,3.65,x
1.122193970, Sport: ,Soccer, Time: ,Thu Dec 10 00:45:00 CET 2015, Time: ,Thu Dec 10 00:45:00 CET 2015, Event: ,Brazil (W) v Trinidad and Tobago (W), Favorite: ,Brazil (W), 541863   size:1719.25,Price: ,1.06,Trinidad and Tobago (W), 8792755   size:4.12,Price: ,20.0,The Draw, 58805   size:3.57,Price: ,23.0,ok
1.122189999, Sport: ,Basketball, Time: ,Thu Dec 10 20:00:00 CET 2015, Time: ,Thu Dec 10 20:00:00 CET 2015, Event: ,Le Havre v Nanterre, Favorite: ,Nanterre, 2989492   size:2.55,Price: ,1.58,Le Havre, 1292696   size:94.2,Price: ,2.46,ok
1.122166754, Sport: ,Basketball, Time: ,Thu Dec 10 01:35:00 CET 2015, Time: ,Thu Dec 10 01:35:00 CET 2015, Event: ,Memphis @ Detroit, Favorite: ,Detroit, 13111   size:207.67,Price: ,1.6,Memphis, 119812   size:3.35,Price: ,2.62,x
1.122107377, Sport: ,Soccer, Time: ,Thu Dec 10 01:00:00 CET 2015, Time: ,Thu Dec 10 01:00:00 CET 2015, Event: ,Santa Fe v Huracan, Favorite: ,Santa Fe, 4908158   size:7.25,Price: ,1.67,Huracan, 194507   size:54.48,Price: ,7.2,The Draw, 58805   size:7.75,Price: ,3.7,x
1.122195907, Sport: ,Soccer, Time: ,Thu Dec 10 00:30:00 CET 2015, Time: ,Thu Dec 10 00:30:00 CET 2015, Event: ,Harbour View FC v Tivoli Gardens FC, Favorite: ,Harbour View FC, 7688378   size:9.65,Price: ,1.64,Tivoli Gardens FC, 7716758   size:2.52,Price: ,3.05,The Draw, 58805   size:6.54,Price: ,3.2,ok
1.122111481, Sport: ,Ice Hockey, Time: ,Thu Dec 10 19:00:00 CET 2015, Time: ,Thu Dec 10 19:00:00 CET 2015, Event: ,Lulea v Rogle, Favorite: ,Lulea, 337769   size:16.26,Price: ,1.49,Rogle, 247122   size:90.47,Price: ,4.8,Tie, 60104   size:110.91,Price: ,4.1,ok
1.122204033, Sport: ,Basketball, Time: ,Thu Dec 10 19:00:00 CET 2015, Time: ,Thu Dec 10 19:00:00 CET 2015, Event: ,Lulea BBK Women v Dunav 8806 (W), Favorite: ,Lulea BBK Women, 10262451   size:2.75,Price: ,1.03,Dunav 8806 (W), 10466212   size:2.75,Price: ,1.03,ok
1.122026734, Sport: ,Soccer, Time: ,Thu Dec 10 19:00:00 CET 2015, Time: ,Thu Dec 10 19:00:00 CET 2015, Event: ,Rapid Vienna v Dinamo Minsk, Favorite: ,Rapid Vienna, 65350   size:430.35,Price: ,1.38,Dinamo Minsk, 198689   size:65.83,Price: ,11.0,The Draw, 58805   size:148.94,Price: ,5.2,ok
1.122112575, Sport: ,Ice Hockey, Time: ,Thu Dec 10 10:30:00 CET 2015, Time: ,Thu Dec 10 10:30:00 CET 2015, Event: ,Amur v Avangard, Favorite: ,Avangard, 2558172   size:94.0,Price: ,2.02,Amur, 2240061   size:70.0,Price: ,3.4,Tie, 60104   size:70.0,Price: ,3.95,x
1.122204049, Sport: ,Basketball, Time: ,Thu Dec 10 16:00:00 CET 2015, Time: ,Thu Dec 10 16:00:00 CET 2015, Event: ,Spartak MR (W) v Adana Aski Women, Favorite: ,Spartak MR (W), 8978715   size:2.75,Price: ,1.03,Adana Aski Women, 10459023   size:2.75,Price: ,1.03,ok
1.122144331, Sport: ,Handball, Time: ,Thu Dec 10 19:45:00 CET 2015, Time: ,Thu Dec 10 19:45:00 CET 2015, Event: ,Ricoh v Karlskrona, Favorite: ,Ricoh, 8836769   size:2.75,Price: ,1.03,Karlskrona, 10260449   size:2.75,Price: ,1.03,Draw, 330157   size:75.0,Price: ,1.04,ok
1.122204689, Sport: ,Soccer, Time: ,Thu Dec 10 01:00:00 CET 2015, Time: ,Thu Dec 10 01:00:00 CET 2015, Event: ,Jorge Wilstermann v Universitario (Sucre), Favorite: ,Jorge Wilstermann, 706904   size:30.26,Price: ,1.8,Universitario (Sucre), 8858487   size:58.96,Price: ,4.6,The Draw, 58805   size:78.22,Price: ,3.9,x
1.122191167, Sport: ,Basketball, Time: ,Thu Dec 10 03:00:00 CET 2015, Time: ,Thu Dec 10 03:00:00 CET 2015, Event: ,Fresno State @ Arizona, Favorite: ,Arizona, 29835   size:1364.0,Price: ,1.11,Fresno State, 719432   size:2.0,Price: ,7.8,ok
1.122191200, Sport: ,Volleyball, Time: ,Thu Dec 10 18:00:00 CET 2015, Time: ,Thu Dec 10 18:00:00 CET 2015, Event: ,Chemik Police v Eczacibasi Vitra, Favorite: ,Chemik Police, 7733782   size:420.26,Price: ,1.18,Eczac?basi VitrA, 9039117   size:75.64,Price: ,1.18,ok
1.122195521, Sport: ,Soccer, Time: ,Wed Dec 09 22:00:00 CET 2015, Time: ,Wed Dec 09 22:00:00 CET 2015, Event: ,Goias EC U20 v Joinville EC U20, Favorite: ,Goias EC U20, 5185908   size:7.15,Price: ,1.59,Joinville EC U20, 7660873   size:4.22,Price: ,5.1,The Draw, 58805   size:4.33,Price: ,4.0,ok
1.122204967, Sport: ,Soccer, Time: ,Thu Dec 10 14:00:00 CET 2015, Time: ,Thu Dec 10 14:00:00 CET 2015, Event: ,That Ras v Kfarsoum, Favorite: ,That Ras, 5649897   size:3.83,Price: ,2.1,Kfarsoum, 5647844   size:3.48,Price: ,2.9,The Draw, 58805   size:2.55,Price: ,3.25,x
1.122187867, Sport: ,Soccer, Time: ,Thu Dec 10 11:45:00 CET 2015, Time: ,Thu Dec 10 11:45:00 CET 2015, Event: ,Hiroshima v Auckland City, Favorite: ,Hiroshima, 744103   size:25.63,Price: ,1.48,Auckland City, 2221402   size:33.49,Price: ,8.2,The Draw, 58805   size:40.82,Price: ,4.5,ok
1.122183657, Sport: ,Basketball, Time: ,Thu Dec 10 20:30:00 CET 2015, Time: ,Thu Dec 10 20:30:00 CET 2015, Event: ,Dinamo Sassari v Unicaja Malaga, Favorite: ,Unicaja Malaga, 266279   size:230.88,Price: ,1.35,Dinamo Sassari, 5520916   size:25.49,Price: ,3.4,ok
1.122180700, Sport: ,Handball, Time: ,Thu Dec 10 16:00:00 CET 2015, Time: ,Thu Dec 10 16:00:00 CET 2015, Event: ,Argentina v Brazil, Favorite: ,Brazil, 620387   size:2.75,Price: ,1.03,Argentina, 620394   size:18.0,Price: ,1.04,Draw, 330157   size:18.0,Price: ,1.04,ok
1.122027434, Sport: ,Soccer, Time: ,Thu Dec 10 19:00:00 CET 2015, Time: ,Thu Dec 10 19:00:00 CET 2015, Event: ,FC Midtjylland v Club Brugge, Favorite: ,Club Brugge, 10762   size:27.67,Price: ,2.56,FC Midtjylland, 28206   size:3.28,Price: ,2.94,The Draw, 58805   size:1205.82,Price: ,3.6,x
