1.120993214, Sport: ,Soccer, Time: ,Thu Oct 08 14:00:00 CEST 2015, Time: ,Thu Oct 08 14:00:00 CEST 2015, Event: ,Myanmar v Lebanon, Favorite: ,Lebanon, 720025   size:31.55,Price: ,1.38,Myanmar, 3531810   size:3.46,Price: ,11.5,The Draw, 58805   size:116.37,Price: ,5.0,ok
1.120991078, Sport: ,Soccer, Time: ,Thu Oct 08 14:00:00 CEST 2015, Time: ,Thu Oct 08 14:00:00 CEST 2015, Event: ,Vietnam v Iraq, Favorite: ,Iraq, 53446   size:308.24,Price: ,1.48,Vietnam, 833281   size:44.23,Price: ,8.2,The Draw, 58805   size:267.57,Price: ,4.7,x
1.120987698, Sport: ,Ice Hockey, Time: ,Thu Oct 08 15:00:00 CEST 2015, Time: ,Thu Oct 08 15:00:00 CEST 2015, Event: ,Avangard v Sibir, Favorite: ,Avangard, 2558172   size:55.85,Price: ,1.83,Sibir, 2285014   size:63.0,Price: ,3.9,Tie, 60104   size:116.11,Price: ,4.4,x
1.121120176, Sport: ,Tennis, Time: ,Thu Oct 08 14:30:00 CEST 2015, Time: ,Thu Oct 08 14:30:00 CEST 2015, Event: ,Granollers/Khachanov v Bemelmans/Petzschner, Favorite: ,Bemelmans/Petzschner, 10383945   size:2.87,Price: ,1.74,Granollers/Khachanov, 10383941   size:8.11,Price: ,2.12,x
1.120993056, Sport: ,Soccer, Time: ,Thu Oct 08 16:00:00 CEST 2015, Time: ,Thu Oct 08 16:00:00 CEST 2015, Event: ,Jordan v Australia, Favorite: ,Australia, 15296   size:190.65,Price: ,1.63,Jordan, 866340   size:16.72,Price: ,6.6,The Draw, 58805   size:27.88,Price: ,4.1,x
1.121105152, Sport: ,Soccer, Time: ,Thu Oct 08 16:00:00 CEST 2015, Time: ,Thu Oct 08 16:00:00 CEST 2015, Event: ,Olimpia Cluj (W) v Paris St-G (W), Favorite: ,Paris St-G (W), 5847706   size:1857.37,Price: ,1.02,Olimpia Cluj (W), 10140439   size:4.02,Price: ,95.0,The Draw, 58805   size:14.54,Price: ,13.5,ok
1.121107696, Sport: ,Tennis, Time: ,Thu Oct 08 15:00:00 CEST 2015, Time: ,Thu Oct 08 15:00:00 CEST 2015, Event: ,Babos/Mladenovic v Liang/Wang, Favorite: ,Babos/Mladenovic, 8242001   size:18.32,Price: ,1.3,Liang/Wang, 9128675   size:32.93,Price: ,4.1,x
1.120990934, Sport: ,Soccer, Time: ,Thu Oct 08 16:30:00 CEST 2015, Time: ,Thu Oct 08 16:30:00 CEST 2015, Event: ,Oman v Iran, Favorite: ,Iran, 47966   size:62.2,Price: ,2.0,Oman, 51305   size:42.52,Price: ,4.5,The Draw, 58805   size:11.8,Price: ,3.45,x
1.121116025, Sport: ,Tennis, Time: ,Thu Oct 08 15:30:00 CEST 2015, Time: ,Thu Oct 08 15:30:00 CEST 2015, Event: ,Kovalik v Delbonis, Favorite: ,Federico Delbonis, 6181532   size:2.55,Price: ,1.14,Jozef Kovalik, 7287668   size:2.0,Price: ,6.8,x
1.120987703, Sport: ,Ice Hockey, Time: ,Thu Oct 08 16:00:00 CEST 2015, Time: ,Thu Oct 08 16:00:00 CEST 2015, Event: ,Avtomobilist v Vladivostok, Favorite: ,Avtomobilist, 4138395   size:58.01,Price: ,2.06,Vladivostok, 7597246   size:133.07,Price: ,3.15,Tie, 60104   size:58.44,Price: ,4.2,x
1.120992222, Sport: ,Soccer, Time: ,Thu Oct 08 15:00:00 CEST 2015, Time: ,Thu Oct 08 15:00:00 CEST 2015, Event: ,England U19 v FYR Macedonia U19, Favorite: ,England U19, 183065   size:266.32,Price: ,1.27,FYR Macedonia U19, 1472346   size:5.69,Price: ,12.5,The Draw, 58805   size:2.0,Price: ,6.0,ok
1.121107799, Sport: ,Tennis, Time: ,Thu Oct 08 16:00:00 CEST 2015, Time: ,Thu Oct 08 16:00:00 CEST 2015, Event: ,E Ymer v Kravchuk, Favorite: ,Konstantin Kravchuk, 5011822   size:14.15,Price: ,1.64,Elias Ymer, 7414305   size:2.55,Price: ,2.38,ok
1.121102987, Sport: ,Soccer, Time: ,Thu Oct 08 14:00:00 CEST 2015, Time: ,Thu Oct 08 14:00:00 CEST 2015, Event: ,Groningen v Sparta Rotterdam, Favorite: ,Groningen, 48450   size:127.03,Price: ,2.04,Sparta Rotterdam, 111703   size:2.71,Price: ,3.7,The Draw, 58805   size:109.23,Price: ,3.75,x
1.120990289, Sport: ,Soccer, Time: ,Thu Oct 08 17:20:00 CEST 2015, Time: ,Thu Oct 08 17:20:00 CEST 2015, Event: ,Slovakia U21 v Cyprus U21, Favorite: ,Slovakia U21, 210052   size:3.73,Price: ,1.45,Cyprus U21, 210049   size:36.33,Price: ,8.4,The Draw, 58805   size:8.92,Price: ,4.8,ok
1.120990982, Sport: ,Soccer, Time: ,Thu Oct 08 17:30:00 CEST 2015, Time: ,Thu Oct 08 17:30:00 CEST 2015, Event: ,Qatar v China, Favorite: ,Qatar, 53447   size:33.65,Price: ,2.3,China, 51089   size:21.65,Price: ,3.6,The Draw, 58805   size:330.7,Price: ,3.2,ok
