1.121403428, Sport: ,Soccer, Time: ,Sat Oct 31 05:00:00 CET 2015, Time: ,Sat Oct 31 05:00:00 CET 2015, Event: ,Sagawa Printing SC v Sony Sendai FC, Favorite: ,Sagawa Printing SC, 7441173   size:4.14,Price: ,1.07,Sony Sendai FC, 5852913   size:4.14,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121404517, Sport: ,Soccer, Time: ,Sat Oct 31 08:00:00 CET 2015, Time: ,Sat Oct 31 08:00:00 CET 2015, Event: ,Shandong Luneng v Shijiazhuang Yongchang, Favorite: ,Shandong Luneng, 2329275   size:413.95,Price: ,1.18,Shijiazhuang Yongchang, 9279851   size:4.76,Price: ,16.5,The Draw, 58805   size:14.0,Price: ,8.0,ok
1.121385473, Sport: ,Darts, Time: ,Fri Oct 30 20:30:00 CET 2015, Time: ,Fri Oct 30 20:30:00 CET 2015, Event: ,Suljovic v Chisnall, Favorite: ,Dave Chisnall, 3535216   size:260.76,Price: ,1.65,Mensur Suljovic, 2693783   size:3.09,Price: ,2.34,ok
1.121558302, Sport: ,Volleyball, Time: ,Sat Oct 31 08:00:00 CET 2015, Time: ,Sat Oct 31 08:00:00 CET 2015, Event: ,IBK Altos v Korea Expressway, Favorite: ,IBK Altos, 10391692   size:2161.98,Price: ,1.01,Korea Expressway, 10451170   size:2161.98,Price: ,1.01,x
1.121400833, Sport: ,Soccer, Time: ,Fri Oct 30 20:00:00 CET 2015, Time: ,Fri Oct 30 20:00:00 CET 2015, Event: ,Tours v Le Havre, Favorite: ,Le Havre, 70446   size:15.07,Price: ,1.72,Tours, 1543737   size:138.95,Price: ,6.8,The Draw, 58805   size:2.8,Price: ,3.55,ok
1.121527643, Sport: ,Tennis, Time: ,Fri Oct 30 21:45:00 CET 2015, Time: ,Fri Oct 30 21:45:00 CET 2015, Event: ,Lopez/Mirnyi v Garcia-Lopez/Marrero, Favorite: ,Lopez/Mirnyi, 8329155   size:3.19,Price: ,1.43,Garcia-Lopez/Marrero, 10456995   size:2.01,Price: ,2.82,ok
1.121514963, Sport: ,Basketball, Time: ,Fri Oct 30 20:00:00 CET 2015, Time: ,Fri Oct 30 20:00:00 CET 2015, Event: ,Bayreuth v Tubingen, Favorite: ,Bayreuth, 5002542   size:50.0,Price: ,1.2,Tubingen, 1371897   size:17.79,Price: ,3.55,ok
1.121511178, Sport: ,Ice Hockey, Time: ,Fri Oct 30 20:00:00 CET 2015, Time: ,Fri Oct 30 20:00:00 CET 2015, Event: ,Herlev v Herning, Favorite: ,Herning, 70631   size:39.52,Price: ,2.08,Herlev, 227439   size:30.93,Price: ,2.38,Tie, 60104   size:21.56,Price: ,2.98,x
1.121401409, Sport: ,Soccer, Time: ,Fri Oct 30 20:00:00 CET 2015, Time: ,Fri Oct 30 20:00:00 CET 2015, Event: ,Valenciennes v Laval, Favorite: ,The Draw, 58805   size:59.46,Price: ,2.5,Valenciennes, 669343   size:2.8,Price: ,2.88,Laval, 77585   size:20.94,Price: ,3.85,ok
1.121374740, Sport: ,Darts, Time: ,Fri Oct 30 23:00:00 CET 2015, Time: ,Fri Oct 30 23:00:00 CET 2015, Event: ,van Gerwen v de Zwaan, Favorite: ,Michael van Gerwen, 2475370   size:1077.73,Price: ,1.13,Jeffrey de Zwaan, 8905184   size:128.95,Price: ,8.2,ok
1.121515136, Sport: ,Basketball, Time: ,Fri Oct 30 20:30:00 CET 2015, Time: ,Fri Oct 30 20:30:00 CET 2015, Event: ,Plymouth v Leicester, Favorite: ,Plymouth, 2939197   size:2.8,Price: ,1.02,Leicester, 2938536   size:55.0,Price: ,1.03,x
1.121511175, Sport: ,Ice Hockey, Time: ,Fri Oct 30 20:30:00 CET 2015, Time: ,Fri Oct 30 20:30:00 CET 2015, Event: ,Esbjerg v Gentofte, Favorite: ,Esbjerg, 70633   size:10.84,Price: ,1.01,Gentofte, 8834861   size:10.84,Price: ,1.01,Tie, 60104   size:10.84,Price: ,1.01,ok
1.121515137, Sport: ,Basketball, Time: ,Fri Oct 30 20:30:00 CET 2015, Time: ,Fri Oct 30 20:30:00 CET 2015, Event: ,Sheffield v Cheshire, Favorite: ,Sheffield, 2938535   size:2.8,Price: ,1.02,Cheshire, 6719053   size:2.8,Price: ,1.02,ok
1.121522354, Sport: ,Basketball, Time: ,Sat Oct 31 08:00:00 CET 2015, Time: ,Sat Oct 31 08:00:00 CET 2015, Event: ,Talk n Text v Mahindra Enforcers, Favorite: ,Talk N Text, 4425512   size:5.89,Price: ,1.15,Mahindra Enforcers, 10425277   size:4.33,Price: ,5.7,ok
1.121395204, Sport: ,Ice Hockey, Time: ,Sat Oct 31 00:05:00 CET 2015, Time: ,Sat Oct 31 00:05:00 CET 2015, Event: ,Philadelphia @ Buffalo, Favorite: ,Philadelphia, 2109791   size:5.0,Price: ,2.34,Buffalo, 4427593   size:472.0,Price: ,2.8,Tie, 60104   size:104.62,Price: ,4.1,x
1.121401121, Sport: ,Soccer, Time: ,Fri Oct 30 20:00:00 CET 2015, Time: ,Fri Oct 30 20:00:00 CET 2015, Event: ,Niort v AC Ajaccio, Favorite: ,The Draw, 58805   size:2.8,Price: ,2.5,Niort, 309687   size:582.55,Price: ,4.2,AC Ajaccio, 8720753   size:69.94,Price: ,2.58,x
1.121403263, Sport: ,Soccer, Time: ,Sat Oct 31 07:30:00 CET 2015, Time: ,Sat Oct 31 07:30:00 CET 2015, Event: ,Southern District v Wong Tai Sin, Favorite: ,Southern District, 10268893   size:4.14,Price: ,1.07,Wong Tai Sin, 8839726   size:4.14,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,ok
