1.122430921, Sport: ,Volleyball, Time: ,Sat Jan 02 06:07:00 CET 2016, Time: ,Sat Jan 02 06:07:00 CET 2016, Event: ,Seoul Woori Card Hansae v Cheonan Hyundai Capital, Favorite: ,Cheonan Hyundai Capital, 10391679   size:2.71,Price: ,1.03,Seoul Woori Card Hansae, 10391680   size:2.55,Price: ,5.9,ok
1.122381259, Sport: ,Soccer, Time: ,Sat Jan 02 17:00:00 CET 2016, Time: ,Sat Jan 02 17:00:00 CET 2016, Event: ,Academica v Uniao Madeira, Favorite: ,Academica, 203143   size:12.61,Price: ,2.42,Uniao Madeira, 505985   size:12.74,Price: ,3.4,The Draw, 58805   size:113.88,Price: ,3.15,ok
1.122381017, Sport: ,Soccer, Time: ,Sat Jan 02 18:30:00 CET 2016, Time: ,Sat Jan 02 18:30:00 CET 2016, Event: ,Moulins v Niort, Favorite: ,Niort, 309687   size:69.22,Price: ,1.92,Moulins, 676421   size:3.28,Price: ,3.75,The Draw, 58805   size:2.55,Price: ,3.15,ok
1.122383791, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Livingston v Queen of South, Favorite: ,Livingston, 57423   size:4.99,Price: ,2.58,Queen of South, 674744   size:2.69,Price: ,2.86,The Draw, 58805   size:17.95,Price: ,3.35,x
1.122382585, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Burnley v Ipswich, Favorite: ,Burnley, 56299   size:13.97,Price: ,2.24,Ipswich, 48324   size:161.76,Price: ,3.7,The Draw, 58805   size:816.04,Price: ,3.45,x
1.122381011, Sport: ,Soccer, Time: ,Sat Jan 02 19:00:00 CET 2016, Time: ,Sat Jan 02 19:00:00 CET 2016, Event: ,Rodeo FC v Mont-de-Marsan, Favorite: ,Mont-de-Marsan, 5997704   size:7.88,Price: ,1.07,Rodeo FC, 6823832   size:3.94,Price: ,1.14,The Draw, 58805   size:17.22,Price: ,2.88,ok
1.122381009, Sport: ,Soccer, Time: ,Sat Jan 02 18:00:00 CET 2016, Time: ,Sat Jan 02 18:00:00 CET 2016, Event: ,Pagny-sur-Moselle v Sochaux, Favorite: ,Sochaux, 44796   size:2.55,Price: ,1.24,Pagny-sur-Moselle, 9036185   size:4.39,Price: ,9.4,The Draw, 58805   size:15.06,Price: ,5.5,ok
1.122439846, Sport: ,Tennis, Time: ,Sat Jan 02 04:00:00 CET 2016, Time: ,Sat Jan 02 04:00:00 CET 2016, Event: ,Miedler v Congcar, Favorite: ,Lucas Miedler, 7797904   size:9.19,Price: ,1.06,Congsup Congcar, 8795655   size:9.19,Price: ,1.06,ok
1.122429491, Sport: ,Soccer, Time: ,Sat Jan 02 17:00:00 CET 2016, Time: ,Sat Jan 02 17:00:00 CET 2016, Event: ,UD Rotlet Molinar v CF Soller, Favorite: ,UD Rotlet Molinar, 8212936   size:9.99,Price: ,1.15,CF Soller, 8870825   size:9.99,Price: ,1.15,The Draw, 58805   size:2.71,Price: ,1.25,ok
1.122415537, Sport: ,Basketball, Time: ,Sat Jan 02 17:00:00 CET 2016, Time: ,Sat Jan 02 17:00:00 CET 2016, Event: ,Trabzonspor v Darussafaka, Favorite: ,Darussafaka, 631285   size:9.21,Price: ,1.64,Trabzonspor, 5048068   size:4.68,Price: ,2.26,x
