1.122573472, Sport: ,Soccer, Time: ,Fri Jan 15 00:00:00 CET 2016, Time: ,Fri Jan 15 00:00:00 CET 2016, Event: ,Banfield v Cerro Porteno, Favorite: ,Banfield, 194508   size:2.12,Price: ,2.36,Cerro Porteno, 335852   size:45.09,Price: ,3.2,The Draw, 58805   size:6.34,Price: ,3.4,x
1.122566781, Sport: ,Basketball, Time: ,Fri Jan 15 02:05:00 CET 2016, Time: ,Fri Jan 15 02:05:00 CET 2016, Event: ,Detroit @ Memphis, Favorite: ,Memphis, 119812   size:189.46,Price: ,1.31,Detroit, 13111   size:5.06,Price: ,1.57,ok
1.122496189, Sport: ,Soccer, Time: ,Fri Jan 15 09:30:00 CET 2016, Time: ,Fri Jan 15 09:30:00 CET 2016, Event: ,GM Sports v PIFA FC, Favorite: ,GM Sports, 8978864   size:3.66,Price: ,1.15,PIFA FC, 8427019   size:3.66,Price: ,1.15,The Draw, 58805   size:2.57,Price: ,2.9,x
1.122570008, Sport: ,Soccer, Time: ,Thu Jan 14 16:00:00 CET 2016, Time: ,Thu Jan 14 16:00:00 CET 2016, Event: ,Sion v Aalen, Favorite: ,Sion, 65785   size:3.46,Price: ,2.12,Aalen, 208029   size:9.24,Price: ,3.6,The Draw, 58805   size:62.25,Price: ,3.65,ok
1.122570914, Sport: ,Ice Hockey, Time: ,Thu Jan 14 19:00:00 CET 2016, Time: ,Thu Jan 14 19:00:00 CET 2016, Event: ,Brynas IF v Modo Hockey, Favorite: ,Brynas IF, 61438   size:2.79,Price: ,1.64,MODO Hockey, 8847849   size:12.84,Price: ,4.5,Tie, 60104   size:54.06,Price: ,4.2,ok
1.122571849, Sport: ,Soccer, Time: ,Thu Jan 14 22:00:00 CET 2016, Time: ,Thu Jan 14 22:00:00 CET 2016, Event: ,Sao Paulo FC U20 v Figueirense U20, Favorite: ,Sao Paulo FC U20, 6714726   size:66.05,Price: ,1.57,Figueirense U20, 6018798   size:5.39,Price: ,3.9,The Draw, 58805   size:2.97,Price: ,4.0,ok
1.122580172, Sport: ,Soccer, Time: ,Fri Jan 15 11:00:00 CET 2016, Time: ,Fri Jan 15 11:00:00 CET 2016, Event: ,Olympique de Medea U21 v USMM Hadjout U21, Favorite: ,Olympique de Medea U21, 9274396   size:5.12,Price: ,1.48,USMM Hadjout U21, 8119398   size:14.67,Price: ,5.5,The Draw, 58805   size:25.98,Price: ,3.55,x
1.122570919, Sport: ,Ice Hockey, Time: ,Thu Jan 14 19:00:00 CET 2016, Time: ,Thu Jan 14 19:00:00 CET 2016, Event: ,Djurgaardens IF v Karlskrona HK, Favorite: ,Djurgaardens IF, 10653596   size:15.32,Price: ,1.32,Karlskrona HK, 7670167   size:12.43,Price: ,7.6,Tie, 60104   size:53.87,Price: ,5.1,ok
1.122583440, Sport: ,Tennis, Time: ,Thu Jan 14 17:00:00 CET 2016, Time: ,Thu Jan 14 17:00:00 CET 2016, Event: ,Natalia Vikhlyantseva v Magdalena Frech, Favorite: ,Natalia Vikhlyantseva, 9042370   size:3.63,Price: ,1.26,Magdalena Frech, 8444351   size:4.6,Price: ,3.95,ok
1.122573907, Sport: ,Tennis, Time: ,Thu Jan 14 22:30:00 CET 2016, Time: ,Thu Jan 14 22:30:00 CET 2016, Event: ,Andreozzi v F Arguello, Favorite: ,Guido Andreozzi, 6603914   size:13.21,Price: ,1.76,Facundo Arguello, 6129383   size:5.0,Price: ,2.18,ok
1.122583441, Sport: ,Tennis, Time: ,Thu Jan 14 17:00:00 CET 2016, Time: ,Thu Jan 14 17:00:00 CET 2016, Event: ,Shelby Rogers v Olga Fridman, Favorite: ,Shelby Rogers, 4943786   size:30.36,Price: ,1.83,Olga Fridman, 9629716   size:2.16,Price: ,2.12,x
1.122547865, Sport: ,Handball, Time: ,Thu Jan 14 16:00:00 CET 2016, Time: ,Thu Jan 14 16:00:00 CET 2016, Event: ,Ukraine v Cyprus, Favorite: ,Ukraine, 620385   size:0.0,Price: ,0.0,Cyprus, 3510837   size:2.56,Price: ,110.0,Draw, 330157   size:2.56,Price: ,110.0,ok
