1.122830559, Sport: ,Tennis, Time: ,Sat Jan 30 16:30:00 CET 2016, Time: ,Sat Jan 30 16:30:00 CET 2016, Event: ,Elitsa Kostova v Ellie Halbauer, Favorite: ,Elitsa Kostova, 6196031   size:6.92,Price: ,1.08,Ellie Halbauer, 8427199   size:6.92,Price: ,1.08
1.122805219, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,Kajaanin Edustushokki v Savonlinnan Pallokerho, Favorite: ,Kajaanin Edustushokki, 10672369   size:7.94,Price: ,1.91,Savonlinnan Pallokerho, 10670738   size:131.51,Price: ,2.86,Tie, 60104   size:85.94,Price: ,4.1
1.122713081, Sport: ,Soccer, Time: ,Sat Jan 30 18:00:00 CET 2016, Time: ,Sat Jan 30 18:00:00 CET 2016, Event: ,Atalanta v Sassuolo, Favorite: ,Atalanta, 215817   size:979.06,Price: ,2.52,Sassuolo, 2013140   size:23.16,Price: ,3.25,The Draw, 58805   size:1776.26,Price: ,3.25
1.122830557, Sport: ,Tennis, Time: ,Sat Jan 30 16:30:00 CET 2016, Time: ,Sat Jan 30 16:30:00 CET 2016, Event: ,Ons Jabeur v Francoise Abanda, Favorite: ,Ons Jabeur, 6161111   size:6.92,Price: ,1.08,Francoise Abanda, 6564406   size:26.3,Price: ,1.43
1.122830558, Sport: ,Tennis, Time: ,Sat Jan 30 15:00:00 CET 2016, Time: ,Sat Jan 30 15:00:00 CET 2016, Event: ,Elizaveta Ianchuk v Elena Gabriela Ruse, Favorite: ,Elena Gabriela Ruse, 9186040   size:13.84,Price: ,1.04,Elizaveta Ianchuk, 9087359   size:6.15,Price: ,1.09
1.122805283, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,IK Pantern v Asploven HC, Favorite: ,IK Pantern, 9001037   size:2.24,Price: ,2.06,Asploven HC, 7669828   size:4.04,Price: ,3.35,Tie, 60104   size:27.4,Price: ,4.1
1.122805261, Sport: ,Ice Hockey, Time: ,Sat Jan 30 18:30:00 CET 2016, Time: ,Sat Jan 30 18:30:00 CET 2016, Event: ,Rogle BK v Vaxjo Lakers, Favorite: ,Vaxjo Lakers, 539706   size:98.0,Price: ,2.06,Rogle BK, 4138401   size:59.48,Price: ,3.05,Tie, 60104   size:85.32,Price: ,4.5
1.122805273, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,BIK Karlskoga v Leksands IF, Favorite: ,BIK Karlskoga, 7670004   size:2.19,Price: ,1.91,Leksands IF, 221649   size:6.27,Price: ,3.4,Tie, 60104   size:26.3,Price: ,4.6
1.122830560, Sport: ,Tennis, Time: ,Sat Jan 30 15:00:00 CET 2016, Time: ,Sat Jan 30 15:00:00 CET 2016, Event: ,Anna Tatishvili v Jesika Maleckova, Favorite: ,Anna Tatishvili, 2311979   size:6.92,Price: ,1.08,Jesika Maleckova, 9150595   size:31.56,Price: ,1.24
1.122805221, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,Leki Hockey v Jokipojat Joensuu, Favorite: ,Jokipojat Joensuu, 10672368   size:7.02,Price: ,2.16,Leki Hockey, 10670787   size:19.8,Price: ,2.66,Tie, 60104   size:10.27,Price: ,4.2
1.122805276, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,HC Vita Hasten v AIK Stockholm, Favorite: ,AIK Stockholm, 702159   size:5.1,Price: ,2.18,HC Vita Hasten, 8408826   size:7.93,Price: ,2.84,Tie, 60104   size:37.94,Price: ,4.1
1.122805256, Sport: ,Ice Hockey, Time: ,Sat Jan 30 18:30:00 CET 2016, Time: ,Sat Jan 30 18:30:00 CET 2016, Event: ,Modo Hockey v Farjestads BK, Favorite: ,Farjestads BK, 61442   size:9.14,Price: ,2.32,MODO Hockey, 8847849  ,ok
1.122805202, Sport: ,Ice Hockey, Time: ,Sat Jan 30 16:00:00 CET 2016, Time: ,Sat Jan 30 16:00:00 CET 2016, Event: ,Saipa Lappeenranta v Kookoo Kouvola, Favorite: ,SaiPa Lappeenranta, 292307   size:71.48,Price: ,1.46,KooKoo Kouvola, 10653340   size:9.14,Price: ,5.0,Tie, 60104   size:7.82,Price: ,5.2,ok
