1.119543118, Sport: ,Soccer, Time: ,Sat Jul 18 21:30:00 CEST 2015, Time: ,Sat Jul 18 21:30:00 CEST 2015, Event: ,Diamantes de Guayana v Monagas, Favorite: ,Monagas, 224547   size:10.92,Price: ,1.08,The Draw, 58805   size:12.2,Price: ,1.29,x
1.119541450, Sport: ,Soccer, Time: ,Sat Jul 18 21:00:00 CEST 2015, Time: ,Sat Jul 18 21:00:00 CEST 2015, Event: ,Universitario San Luis v Sportivo AC Las Parejas, Favorite: ,Universitario San Luis, 8389982   size:7.76,Price: ,1.52,The Draw, 58805   size:12.8,Price: ,3.25,Sportivo AC Las Parejas, 9564589   size:8.41,Price: ,3.3,ok
1.119454855, Sport: ,Soccer, Time: ,Sun Jul 19 04:00:00 CEST 2015, Time: ,Sun Jul 19 04:00:00 CEST 2015, Event: ,Real Salt Lake v Houston Dynamo, Favorite: ,Real Salt Lake, 1101610   size:16.65,Price: ,2.3,The Draw, 58805   size:249.74,Price: ,3.4,Houston Dynamo, 1432923   size:5.79,Price: ,3.55,ok
1.119522870, Sport: ,Volleyball, Time: ,Sat Jul 18 21:35:00 CEST 2015, Time: ,Sat Jul 18 21:35:00 CEST 2015, Event: ,Dominican Republic (W) v Argentina (W), Favorite: ,Dominican Republic (W), 8555562   size:602.92,Price: ,1.12,Argentina (W), 8723767   size:2.63,Price: ,5.9,ok
1.119398548, Sport: ,Darts, Time: ,Sat Jul 18 22:00:00 CEST 2015, Time: ,Sat Jul 18 22:00:00 CEST 2015, Event: ,Van Gerwen v Van De Pas, Favorite: ,Michael Van Gerwen, 6785355   size:1433.45,Price: ,1.09,Benito van de Pas, 9033803   size:76.41,Price: ,11.5,ok
1.119574908, Sport: ,Baseball, Time: ,Sat Jul 18 22:05:00 CEST 2015, Time: ,Sat Jul 18 22:05:00 CEST 2015, Event: ,LAD @ WSH, Favorite: ,LA Dodgers (C Kershaw), 3068257   size:315.82,Price: ,1.55,Washington (D Fister), 8516468   size:107.37,Price: ,2.74,ok
1.119454582, Sport: ,Soccer, Time: ,Sun Jul 19 01:30:00 CEST 2015, Time: ,Sun Jul 19 01:30:00 CEST 2015, Event: ,New England v New York City, Favorite: ,New England, 171907   size:85.89,Price: ,2.08,The Draw, 58805   size:243.16,Price: ,3.7,New York City, 9280784   size:82.43,Price: ,3.85,ok
1.119530321, Sport: ,Rugby Union, Time: ,Sun Jul 19 04:00:00 CEST 2015, Time: ,Sun Jul 19 04:00:00 CEST 2015, Event: ,USA v Samoa, Favorite: ,Samoa, 14119   size:8.93,Price: ,1.15,USA, 13097   size:4.14,Price: ,3.55,Draw, 246289   size:3.78,Price: ,32.0,ok
1.119574748, Sport: ,Basketball, Time: ,Sat Jul 18 21:00:00 CEST 2015, Time: ,Sat Jul 18 21:00:00 CEST 2015, Event: ,Serbia U20 v Turkey U20, Favorite: ,Serbia U20, 7407484   size:2.63,Price: ,1.21,Turkey U20, 7407488   size:3.44,Price: ,4.7,ok
1.119574627, Sport: ,Tennis, Time: ,Sat Jul 18 22:15:00 CEST 2015, Time: ,Sat Jul 18 22:15:00 CEST 2015, Event: ,Demoliner v Felix, Favorite: ,Marcelo Demoliner, 3506050   size:23.83,Price: ,1.14,Jesus Francisco Felix, 9028624   size:15.05,Price: ,6.0,ok
1.119552299, Sport: ,Soccer, Time: ,Sat Jul 18 21:00:00 CEST 2015, Time: ,Sat Jul 18 21:00:00 CEST 2015, Event: ,Fortaleza v Botafogo PB, Favorite: ,Fortaleza, 356590   size:3.52,Price: ,1.55,The Draw, 58805   size:5.46,Price: ,4.0,Botafogo PB, 5310328   size:10.35,Price: ,6.2,ok
1.119468777, Sport: ,Baseball, Time: ,Sun Jul 19 01:10:00 CEST 2015, Time: ,Sun Jul 19 01:10:00 CEST 2015, Event: ,CLE @ CIN, Favorite: ,Cleveland (C Kluber), 6555494   size:108.58,Price: ,1.64,Cincinnati (A DeSclafani), 9385641   size:106.34,Price: ,2.5,ok
