1.122557821, Sport: ,Tennis, Time: ,Mon Jan 11 16:00:00 CET 2016, Time: ,Mon Jan 11 16:00:00 CET 2016, Event: ,Sakamoto v Agamenone, Favorite: ,Pedro Sakamoto, 8304915   size:13.74,Price: ,1.04,Franco Agamenone, 8979622   size:13.74,Price: ,1.04,x
1.122473580, Sport: ,Volleyball, Time: ,Mon Jan 11 09:00:00 CET 2016, Time: ,Mon Jan 11 09:00:00 CET 2016, Event: ,Hyundai Hillstate v Korea Expressway, Favorite: ,Hyundai Hillstate, 10391682   size:2.55,Price: ,1.18,Korea Expressway, 10451170   size:2.69,Price: ,5.4,x
1.122541402, Sport: ,Tennis, Time: ,Mon Jan 11 07:11:00 CET 2016, Time: ,Mon Jan 11 07:11:00 CET 2016, Event: ,Jim Wang v Pavlasek, Favorite: ,Jimmy Wang, 5377090   size:2.2,Price: ,1.76,Adam Pavlasek, 8494652   size:3.28,Price: ,2.0,x
1.122512471, Sport: ,Ice Hockey, Time: ,Mon Jan 11 17:30:00 CET 2016, Time: ,Mon Jan 11 17:30:00 CET 2016, Event: ,Lokomotiv Yaroslavl v Torpedo N. Novgorod, Favorite: ,Lokomotiv Yaroslavl, 672199   size:12.54,Price: ,1.93,Torpedo N. Novgorod, 8835402   size:35.93,Price: ,3.55,Tie, 60104   size:45.13,Price: ,3.95,ok
1.122547749, Sport: ,Tennis, Time: ,Tue Jan 12 06:00:00 CET 2016, Time: ,Tue Jan 12 06:00:00 CET 2016, Event: ,O'Brien/Roelofse v Kretschmer/Satschko, Favorite: ,O'Brien/Roelofse, 9545182   size:9.16,Price: ,1.06,Kretschmer/Satschko, 7810209   size:9.16,Price: ,1.06,x
1.122541406, Sport: ,Tennis, Time: ,Mon Jan 11 07:15:00 CET 2016, Time: ,Mon Jan 11 07:15:00 CET 2016, Event: ,Stanek v Nedelko, Favorite: ,Robin Stanek, 8599863   size:310.14,Price: ,1.22,Ivan Nedelko, 5907135   size:5.21,Price: ,4.5,ok
1.122556570, Sport: ,Soccer, Time: ,Mon Jan 11 13:30:00 CET 2016, Time: ,Mon Jan 11 13:30:00 CET 2016, Event: ,Ironi Nesher v Hapoel Beit Shean, Favorite: ,Ironi Nesher, 8876717   size:2.07,Price: ,1.32,Hapoel Beit Shean, 8126403   size:5.17,Price: ,6.8,The Draw, 58805   size:16.5,Price: ,5.2,ok
1.122541362, Sport: ,Tennis, Time: ,Tue Jan 12 06:00:00 CET 2016, Time: ,Tue Jan 12 06:00:00 CET 2016, Event: ,Mat Viola v Vorster, Favorite: ,Matteo Viola, 4946664   size:2.55,Price: ,1.46,Tucker Vorster, 8842203   size:2.55,Price: ,2.88,ok
1.122541366, Sport: ,Tennis, Time: ,Tue Jan 12 06:00:00 CET 2016, Time: ,Tue Jan 12 06:00:00 CET 2016, Event: ,D Medvedev v Trongcharoenchaikul, Favorite: ,Daniil Medvedev, 7797742   size:16.75,Price: ,1.06,Wishaya Trongcharoencha, 9376582   size:8.87,Price: ,5.8,ok
1.122545963, Sport: ,Soccer, Time: ,Mon Jan 11 20:45:00 CET 2016, Time: ,Mon Jan 11 20:45:00 CET 2016, Event: ,Thamesmead Town FC v Maldon & Tiptree FC, Favorite: ,Thamesmead Town FC, 7794920   size:7.85,Price: ,1.07,Maldon & Tiptree FC, 8429656   size:7.85,Price: ,1.07,The Draw, 58805   size:15.97,Price: ,2.88,x
1.122544633, Sport: ,Soccer, Time: ,Mon Jan 11 20:45:00 CET 2016, Time: ,Mon Jan 11 20:45:00 CET 2016, Event: ,Farnborough v East Thurrock, Favorite: ,East Thurrock, 1338701   size:2.92,Price: ,1.62,Farnborough, 256188   size:15.84,Price: ,5.2,The Draw, 58805   size:3.77,Price: ,4.0,x
1.122436274, Sport: ,Soccer, Time: ,Mon Jan 11 16:00:00 CET 2016, Time: ,Mon Jan 11 16:00:00 CET 2016, Event: ,Smouha v El Daklyeh, Favorite: ,Smouha, 5170871   size:18.1,Price: ,2.5,El Daklyeh, 5907009   size:5.0,Price: ,3.35,The Draw, 58805   size:23.37,Price: ,3.1,x
1.122415750, Sport: ,Ice Hockey, Time: ,Tue Jan 12 01:05:00 CET 2016, Time: ,Tue Jan 12 01:05:00 CET 2016, Event: ,Boston @ NY Rangers, Favorite: ,NY Rangers, 60103   size:5.74,Price: ,2.22,Boston, 2112316   size:8.08,Price: ,2.78,Tie, 60104   size:6.41,Price: ,4.1,ok
1.122512504, Sport: ,Ice Hockey, Time: ,Mon Jan 11 17:30:00 CET 2016, Time: ,Mon Jan 11 17:30:00 CET 2016, Event: ,SKA St. Petersburg v KHL Zagreb, Favorite: ,SKA St. Petersburg, 8986371   size:26.92,Price: ,1.53,KHL Zagreb, 10653700   size:35.05,Price: ,4.9,Tie, 60104   size:32.56,Price: ,5.2,ok
