1.121369726, Sport: ,Soccer, Time: ,Sat Oct 24 16:00:00 CEST 2015, Time: ,Sat Oct 24 16:00:00 CEST 2015, Event: ,Amorebieta v Sestao River, Favorite: ,Amorebieta, 5756673   size:54.38,Price: ,2.36,Sestao River, 7602486   size:11.11,Price: ,3.5,The Draw, 58805   size:70.53,Price: ,3.15
1.121432440, Sport: ,Soccer, Time: ,Sat Oct 24 16:30:00 CEST 2015, Time: ,Sat Oct 24 16:30:00 CEST 2015, Event: ,GKS Tychy v Nadwislan Gora, Favorite: ,GKS Tychy, 2618019   size:137.57,Price: ,1.06,Nadwislan Gora, 10064486   size:10.0,Price: ,3.85,The Draw, 58805   size:20.0,Price: ,3.2
1.121369707, Sport: ,Soccer, Time: ,Sat Oct 24 16:45:00 CEST 2015, Time: ,Sat Oct 24 16:45:00 CEST 2015, Event: ,Pena Sport FC v CD Izarra, Favorite: ,Pena Sport FC, 9310977   size:8.49,Price: ,2.5,CD Izarra, 9320407   size:6.52,Price: ,2.98,The Draw, 58805   size:15.43,Price: ,3.25
1.121268130, Sport: ,Soccer, Time: ,Sat Oct 24 17:00:00 CEST 2015, Time: ,Sat Oct 24 17:00:00 CEST 2015, Event: ,Banik Ostrava v Pribram, Favorite: ,Banik Ostrava, 367581   size:17.5,Price: ,2.34,Pribram, 1533863   size:15.43,Price: ,3.25,The Draw, 58805   size:7.08,Price: ,3.55
1.121369705, Sport: ,Soccer, Time: ,Sat Oct 24 17:00:00 CEST 2015, Time: ,Sat Oct 24 17:00:00 CEST 2015, Event: ,Atletico Astorga v Somozas, Favorite: ,Atletico Astorga, 8792395   size:21.37,Price: ,2.3,Somozas, 5924373   size:28.15,Price: ,3.4,The Draw, 58805   size:49.03,Price: ,3.25
1.121268056, Sport: ,Soccer, Time: ,Sat Oct 24 17:00:00 CEST 2015, Time: ,Sat Oct 24 17:00:00 CEST 2015, Event: ,Mlada Boleslav v Slovacko, Favorite: ,Mlada Boleslav, 886284   size:32.23,Price: ,1.37,Slovacko, 1533861   size:5.0,Price: ,9.2,The Draw, 58805   size:36.24,Price: ,5.6
1.121268204, Sport: ,Soccer, Time: ,Sat Oct 24 17:00:00 CEST 2015, Time: ,Sat Oct 24 17:00:00 CEST 2015, Event: ,Zlin v Teplice, Favorite: ,Teplice, 174264   size:15.28,Price: ,2.58,Zlin, 367580   size:17.37,Price: ,3.0,The Draw, 58805   size:25.45,Price: ,3.4
1.121432385, Sport: ,Soccer, Time: ,Sat Oct 24 17:15:00 CEST 2015, Time: ,Sat Oct 24 17:15:00 CEST 2015, Event: ,Valletta v Qormi FC, Favorite: ,Valletta, 166888   size:3.62,Price: ,1.07,Qormi FC, 6702687   size:18.0,Price: ,1.08,The Draw, 58805   size:18.0,Price: ,2.9
1.121267904, Sport: ,Soccer, Time: ,Sat Oct 24 17:45:00 CEST 2015, Time: ,Sat Oct 24 17:45:00 CEST 2015, Event: ,FC Zurich v St Gallen, Favorite: ,FC Zurich, 65783   size:13.0,Price: ,1.97,St Gallen, 6392   size:3.87,Price: ,4.2,The Draw, 58805   size:112.34,Price: ,3.75
1.121267828, Sport: ,Soccer, Time: ,Sat Oct 24 17:45:00 CEST 2015, Time: ,Sat Oct 24 17:45:00 CEST 2015, Event: ,Luzern v FC Vaduz, Favorite: ,Luzern, 65784   size:28.02,Price: ,1.51,FC Vaduz, 46945   size:6.05,Price: ,7.6,The Draw, 58805   size:35.31,Price: ,4.7
1.121432495, Sport: ,Soccer, Time: ,Sat Oct 24 18:00:00 CEST 2015, Time: ,Sat Oct 24 18:00:00 CEST 2015, Event: ,Polonia Bytom v Okocimski Brzesko, Favorite: ,Polonia Bytom, 2486928   size:10.0,Price: ,1.88,Okocimski Brzesko, 4193202   size:10.0,Price: ,2.74,The Draw, 58805   size:20.93,Price: ,2.92
1.121268500, Sport: ,Soccer, Time: ,Sat Oct 24 18:00:00 CEST 2015, Time: ,Sat Oct 24 18:00:00 CEST 2015, Event: ,Haugesund v Valerenga, Favorite: ,Valerenga, 132563   size:411.24,Price: ,2.18,Haugesund, 152566   size:184.41,Price: ,3.4,The Draw, 58805   size:120.53,Price: ,3.65
