1.121525589, Sport: ,Soccer, Time: ,Fri Oct 30 11:00:00 CET 2015, Time: ,Fri Oct 30 11:00:00 CET 2015, Event: ,FKS Stal Mielec U19 v AP LKS Lodz U19, Favorite: ,FKS Stal Mielec U19, 7619052   size:5.92,Price: ,1.2,AP LKS Lodz U19, 7196125   size:5.92,Price: ,1.2,The Draw, 58805   size:5.0,Price: ,3.45,ok
1.121397507, Sport: ,Soccer, Time: ,Fri Oct 30 19:00:00 CET 2015, Time: ,Fri Oct 30 19:00:00 CET 2015, Event: ,Stuttgart II v Hansa Rostock, Favorite: ,Stuttgart II, 6507690   size:12.27,Price: ,2.66,Hansa Rostock, 44524   size:5.0,Price: ,2.98,The Draw, 58805   size:19.25,Price: ,3.3,ok
1.121396417, Sport: ,Soccer, Time: ,Fri Oct 30 14:30:00 CET 2015, Time: ,Fri Oct 30 14:30:00 CET 2015, Event: ,FC Goa v Pune City, Favorite: ,FC Goa, 8900343   size:11.84,Price: ,2.46,Pune City, 8897749   size:15.41,Price: ,3.05,The Draw, 58805   size:15.51,Price: ,3.3,x
1.121524817, Sport: ,Soccer, Time: ,Fri Oct 30 15:00:00 CET 2015, Time: ,Fri Oct 30 15:00:00 CET 2015, Event: ,That Ras v Al Asalah, Favorite: ,That Ras, 5649897   size:3.4,Price: ,1.47,Al Asalah, 6750872   size:7.92,Price: ,6.4,The Draw, 58805   size:3.96,Price: ,3.5,ok
1.121396933, Sport: ,Soccer, Time: ,Fri Oct 30 16:30:00 CET 2015, Time: ,Fri Oct 30 16:30:00 CET 2015, Event: ,Znojmo v Ceske Budejovice, Favorite: ,Znojmo, 4142628   size:4.44,Price: ,1.43,Ceske Budejovice, 367577   size:6.06,Price: ,5.2,The Draw, 58805   size:2.49,Price: ,3.65,ok
1.121526141, Sport: ,Soccer, Time: ,Fri Oct 30 14:00:00 CET 2015, Time: ,Fri Oct 30 14:00:00 CET 2015, Event: ,AS Vointa Snagov v Delta Dobrogea, Favorite: ,AS Vointa Snagov, 8735699   size:4.16,Price: ,1.07,Delta Dobrogea, 8886241   size:4.16,Price: ,1.07,The Draw, 58805   size:5.0,Price: ,2.9,x
1.121554755, Sport: ,Tennis, Time: ,Fri Oct 30 12:30:00 CET 2015, Time: ,Fri Oct 30 12:30:00 CET 2015, Event: ,Jana Fett v Pemra Ozgen, Favorite: ,Jana Fett, 9087351   size:3.57,Price: ,1.4,Pemra Ozgen, 2420585   size:13.96,Price: ,3.1,ok
1.121524762, Sport: ,Soccer, Time: ,Fri Oct 30 12:30:00 CET 2015, Time: ,Fri Oct 30 12:30:00 CET 2015, Event: ,Hapoel Beit Shean v Hapoel Asi Gilboa, Favorite: ,Hapoel Beit Shean, 8126403   size:4.16,Price: ,1.07,Hapoel Asi Gilboa, 6144716   size:4.16,Price: ,1.07,The Draw, 58805   size:5.93,Price: ,2.9,x
1.121523430, Sport: ,Soccer, Time: ,Fri Oct 30 15:00:00 CET 2015, Time: ,Fri Oct 30 15:00:00 CET 2015, Event: ,US Chaouia v Amal Bou Saada, Favorite: ,Amal Bou Saada, 8529127   size:4.16,Price: ,1.07,US Chaouia, 8210746   size:3.24,Price: ,1.09,The Draw, 58805   size:5.57,Price: ,2.88,ok
1.121514976, Sport: ,Basketball, Time: ,Fri Oct 30 20:30:00 CET 2015, Time: ,Fri Oct 30 20:30:00 CET 2015, Event: ,Cocinas Clavijo v Barcelona B, Favorite: ,Cocinas Clavijo, 7736139   size:9.71,Price: ,1.03,Barcelona B, 6719087   size:9.71,Price: ,1.03,x
1.121490169, Sport: ,Soccer, Time: ,Fri Oct 30 14:00:00 CET 2015, Time: ,Fri Oct 30 14:00:00 CET 2015, Event: ,Ironi Ramat HaSharon v Ironi Kiryat Gat, Favorite: ,Ironi Ramat HaSharon, 6242601   size:2.55,Price: ,1.67,Ironi Kiryat Gat, 6955790   size:3.03,Price: ,4.6,The Draw, 58805   size:23.39,Price: ,3.65,ok
1.121563065, Sport: ,Tennis, Time: ,Fri Oct 30 14:00:00 CET 2015, Time: ,Fri Oct 30 14:00:00 CET 2015, Event: ,Gasquet v Karlovic, Favorite: ,Richard Gasquet, 2249399   size:227.33,Price: ,1.61,Ivo Karlovic, 2263570   size:110.72,Price: ,2.54,ok
1.121511063, Sport: ,Basketball, Time: ,Fri Oct 30 20:00:00 CET 2015, Time: ,Fri Oct 30 20:00:00 CET 2015, Event: ,Bayern Munchen v Strasbourg, Favorite: ,Bayern Munchen, 5859175   size:5.06,Price: ,1.26,Strasbourg, 1193143   size:4.07,Price: ,4.1,ok
1.121398544, Sport: ,Soccer, Time: ,Fri Oct 30 20:00:00 CET 2015, Time: ,Fri Oct 30 20:00:00 CET 2015, Event: ,FC Oss v Breda, Favorite: ,Breda, 48448   size:6.45,Price: ,1.92,FC Oss, 4987328   size:115.4,Price: ,4.0,The Draw, 58805   size:92.62,Price: ,4.0,ok
