1.120233451, Sport
1.120233387, Sport: ,Tennis, Time: ,Wed Aug 26 23:30:00 CEST 2015, Time: ,Wed Aug 26 23:30:00 CEST 2015, Event: ,Bertens v Anderson, Favorite: ,Kiki Bertens, 5611697   size:204.43,Price: ,1.44,Robin Anderson, 8947134   size:7.03,Price: ,3.05,ok
1.120233894, Sport: ,Basketball, Time: ,Wed Aug 26 22:00:00 CEST 2015, Time: ,Wed Aug 26 22:00:00 CEST 2015, Event: ,Cameroon v Algeria, Favorite: ,Cameroon, 3029810   size:100.66,Price: ,1.19,Algeria, 208015   size:98.56,Price: ,5.5,x
1.120124482, Sport: ,Soccer, Time: ,Wed Aug 26 23:00:00 CEST 2015, Time: ,Wed Aug 26 23:00:00 CEST 2015, Event: ,CD Dragon v CD Chalatenago, Favorite: ,CD Dragon, 8467366   size:2.55,Price: ,1.64,The Draw, 58805   size:14.61,Price: ,2.9,CD Chalatenago, 10104394   size:6.37,Price: ,4.4,ok
1.120233621, Sport: ,Tennis, Time: ,Wed Aug 26 22:00:00 CEST 2015, Time: ,Wed Aug 26 22:00:00 CEST 2015, Event: ,A Zverev v H Zeballos, Favorite: ,Alexander Zverev, 7430944   size:2.5,Price: ,1.17,Horacio Zeballos, 3506037   size:46.02,Price: ,6.2,ok
1.120233423, Sport: ,Tennis, Time: ,Wed Aug 26 23:30:00 CEST 2015, Time: ,Wed Aug 26 23:30:00 CEST 2015, Event: ,Burger v Siegemund, Favorite: ,Laura Siegemund, 4829328   size:3.39,Price: ,1.23,Cindy Burger, 8535288   size:7.99,Price: ,4.9,ok
1.120124427, Sport: ,Soccer, Time: ,Wed Aug 26 22:00:00 CEST 2015, Time: ,Wed Aug 26 22:00:00 CEST 2015, Event: ,Carabobo FC v Llaneros, Favorite: ,Carabobo FC, 893607   size:7.27,Price: ,1.73,The Draw, 58805   size:19.07,Price: ,3.75,Llaneros, 7658017   size:33.98,Price: ,6.0,ok
1.120247509, Sport: ,Soccer, Time: ,Wed Aug 26 21:30:00 CEST 2015, Time: ,Wed Aug 26 21:30:00 CEST 2015, Event: ,Trujillanos v Deportivo Lara, Favorite: ,Trujillanos, 1224046   size:8.93,Price: ,2.36,The Draw, 58805   size:252.91,Price: ,3.15,Deportivo Lara, 4908157   size:243.29,Price: ,3.25,x
