1.121839452, Sport: ,Tennis, Time: ,Mon Nov 16 22:05:00 CET 2015, Time: ,Mon Nov 16 22:05:00 CET 2015, Event: ,Jaziri v N Rubin, Favorite: ,Malek Jaziri, 5776215   size:491.02,Price: ,1.29,Noah Rubin, 7593248   size:51.23,Price: ,4.2,ok
1.121764814, Sport: ,Soccer, Time: ,Tue Nov 17 06:30:00 CET 2015, Time: ,Tue Nov 17 06:30:00 CET 2015, Event: ,Guam v Iran, Favorite: ,Iran, 47966   size:131.16,Price: ,1.16,Guam, 6865298   size:2.75,Price: ,27.0,The Draw, 58805   size:13.0,Price: ,8.6,ok
1.121841445, Sport: ,Tennis, Time: ,Tue Nov 17 05:30:00 CET 2015, Time: ,Tue Nov 17 05:30:00 CET 2015, Event: ,L Zhang v Chie Hsu, Favorite: ,Ling Zhang, 4182952   size:52.09,Price: ,1.54,Chieh-Yu Hsu, 8427398   size:73.27,Price: ,2.52,ok
1.121746609, Sport: ,Basketball, Time: ,Tue Nov 17 02:00:00 CET 2015, Time: ,Tue Nov 17 02:00:00 CET 2015, Event: ,Gardner-Webb @ Vanderbilt, Favorite: ,Gardner-Webb, 4373614   size:8.42,Price: ,1.04,Vanderbilt, 701625   size:8.42,Price: ,1.04,x
1.121799652, Sport: ,Basketball, Time: ,Tue Nov 17 09:15:00 CET 2015, Time: ,Tue Nov 17 09:15:00 CET 2015, Event: ,Barako Bull Energy v Mahindra Enforcers, Favorite: ,Barako Bull Energy, 5087272   size:2.55,Price: ,1.47,Mahindra Enforcers, 10425277   size:2.55,Price: ,2.8,ok
1.121828729, Sport: ,Ice Hockey, Time: ,Tue Nov 17 01:35:00 CET 2015, Time: ,Tue Nov 17 01:35:00 CET 2015, Event: ,Vancouver @ Montreal, Favorite: ,Montreal, 2112345   size:19.9,Price: ,2.1,Vancouver, 2109691   size:5.0,Price: ,3.35,Tie, 60104   size:17.01,Price: ,4.3,x
1.121839456, Sport: ,Tennis, Time: ,Tue Nov 17 02:15:00 CET 2015, Time: ,Tue Nov 17 02:15:00 CET 2015, Event: ,Lapentti v Fritz, Favorite: ,Taylor Fritz, 10279360   size:23.82,Price: ,1.31,Giovanni Lapentti, 1565   size:8.75,Price: ,3.65,ok
1.121839457, Sport: ,Tennis, Time: ,Mon Nov 16 21:45:00 CET 2015, Time: ,Mon Nov 16 21:45:00 CET 2015, Event: ,R Harrison v Michalicka, Favorite: ,Ryan Harrison, 2923247   size:301.24,Price: ,1.35,Marek Michalicka, 7048682   size:48.64,Price: ,3.6,ok
1.121839334, Sport: ,Tennis, Time: ,Mon Nov 16 22:13:00 CET 2015, Time: ,Mon Nov 16 22:13:00 CET 2015, Event: ,R Olivo v Kicker, Favorite: ,Renzo Olivo, 4822931   size:257.79,Price: ,1.53,Nicolas Kicker, 8326744   size:124.52,Price: ,2.38,x
1.121829147, Sport: ,Ice Hockey, Time: ,Tue Nov 17 02:05:00 CET 2015, Time: ,Tue Nov 17 02:05:00 CET 2015, Event: ,Winnipeg @ St Louis, Favorite: ,St Louis, 2110000   size:914.0,Price: ,1.98,Winnipeg, 5866888   size:107.61,Price: ,3.45,Tie, 60104   size:153.81,Price: ,4.4,ok
