1.122200593, Sport: ,Soccer, Time: ,Tue Dec 15 19:00:00 CET 2015, Time: ,Tue Dec 15 19:00:00 CET 2015, Event: ,Mgladbach v Werder Bremen, Favorite: ,Mgladbach, 84649   size:540.8,Price: ,1.73,Werder Bremen, 6555433   size:52.37,Price: ,4.9,The Draw, 58805   size:143.67,Price: ,4.2,x
1.122202256, Sport: ,Soccer, Time: ,Tue Dec 15 20:45:00 CET 2015, Time: ,Tue Dec 15 20:45:00 CET 2015, Event: ,Huddersfield v Rotherham, Favorite: ,Huddersfield, 78984   size:336.71,Price: ,2.02,Rotherham, 18565   size:234.76,Price: ,4.3,The Draw, 58805   size:836.51,Price: ,3.65,ok
1.122277532, Sport: ,Soccer, Time: ,Tue Dec 15 20:45:00 CET 2015, Time: ,Tue Dec 15 20:45:00 CET 2015, Event: ,AFC Fylde v Skelmersdale Utd, Favorite: ,AFC Fylde, 4317866   size:5.06,Price: ,1.25,Skelmersdale Utd, 3491517   size:5.16,Price: ,6.6,The Draw, 58805   size:3.78,Price: ,5.6,x
1.122275351, Sport: ,Basketball, Time: ,Wed Dec 16 04:05:00 CET 2015, Time: ,Wed Dec 16 04:05:00 CET 2015, Event: ,Houston @ Sacramento, Favorite: ,Sacramento, 13127   size:2.67,Price: ,1.46,Houston, 13123   size:2.53,Price: ,1.75,ok
1.122201327, Sport: ,Soccer, Time: ,Tue Dec 15 20:45:00 CET 2015, Time: ,Tue Dec 15 20:45:00 CET 2015, Event: ,Hartlepool v Salford City, Favorite: ,Hartlepool, 48303   size:121.84,Price: ,1.68,Salford City, 4236580   size:34.27,Price: ,5.5,The Draw, 58805   size:14.57,Price: ,4.2,x
1.122201843, Sport: ,Soccer, Time: ,Tue Dec 15 20:45:00 CET 2015, Time: ,Tue Dec 15 20:45:00 CET 2015, Event: ,Cardiff v Brentford, Favorite: ,Cardiff, 79343   size:42.61,Price: ,2.58,Brentford, 78864   size:18.05,Price: ,3.1,The Draw, 58805   size:2434.98,Price: ,3.45,ok
1.122293102, Sport: ,Tennis, Time: ,Tue Dec 15 15:30:00 CET 2015, Time: ,Tue Dec 15 15:30:00 CET 2015, Event: ,Pietro Licciardi v Mousa Shanan Zayed, Favorite: ,Pietro Licciardi, 8619041   size:13.63,Price: ,1.04,Mousa Shanan Zayed, 6948128   size:13.63,Price: ,1.04,ok
1.122277538, Sport: ,Soccer, Time: ,Tue Dec 15 20:45:00 CET 2015, Time: ,Tue Dec 15 20:45:00 CET 2015, Event: ,Southport v Worcester, Favorite: ,Southport, 18568   size:19.46,Price: ,1.85,Worcester, 1034121   size:7.4,Price: ,5.0,The Draw, 58805   size:2.72,Price: ,3.65,x
1.122293104, Sport: ,Tennis, Time: ,Tue Dec 15 15:30:00 CET 2015, Time: ,Tue Dec 15 15:30:00 CET 2015, Event: ,Robbie Ridout v Michael Geerts, Favorite: ,Michael Geerts, 8874195   size:5.94,Price: ,1.14,Robbie Ridout, 9565003   size:3.74,Price: ,4.2,ok
1.122200519, Sport: ,Soccer, Time: ,Tue Dec 15 20:30:00 CET 2015, Time: ,Tue Dec 15 20:30:00 CET 2015, Event: ,Erzgebirge v FC Heidenheim, Favorite: ,FC Heidenheim, 3237590   size:120.73,Price: ,2.8,Erzgebirge, 476499   size:5.08,Price: ,2.92,The Draw, 58805   size:79.13,Price: ,3.3,ok
1.122293106, Sport: ,Tennis, Time: ,Tue Dec 15 17:00:00 CET 2015, Time: ,Tue Dec 15 17:00:00 CET 2015, Event: ,Zhuoyang Qiu v Delf Gohlke, Favorite: ,Zhuoyang Qiu, 8812602   size:13.62,Price: ,1.04,Delf Gohlke, 9630275   size:13.62,Price: ,1.04,x
1.122277534, Sport: ,Soccer, Time: ,Tue Dec 15 20:45:00 CET 2015, Time: ,Tue Dec 15 20:45:00 CET 2015, Event: ,FC Halifax Town v Tamworth, Favorite: ,FC Halifax Town, 4231683   size:56.1,Price: ,2.12,Tamworth, 62650   size:5.0,Price: ,3.6,The Draw, 58805   size:97.63,Price: ,3.7,ok
1.122235174, Sport: ,Handball, Time: ,Tue Dec 15 19:00:00 CET 2015, Time: ,Tue Dec 15 19:00:00 CET 2015, Event: ,Kristianstad v Malmo, Favorite: ,Kristianstad, 2929927   size:4.07,Price: ,1.1,Malmo, 3374028   size:3.15,Price: ,4.4,Draw, 330157   size:6.43,Price: ,1.17,ok
